mu,sigma,mmin,mmax,log_like,log_detfrac,weight
1.326620506620945994e+00,2.018402815592113819e-01,1.060827543595207922e+00,1.769554077780407297e+00,8.876812653450545554e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.611754569047465502e+00,1.545009649543221064e+00,1.161269389303447364e+00,1.656361598561417292e+00,8.895591556960256696e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.458432623143640416e+00,1.231519958318597618e+00,1.135840223042786201e+00,1.585330990082968405e+00,9.054950910881805726e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.341550721049509232e+00,8.551867197618304162e-02,1.115944502733942301e+00,2.921615697292229363e+00,9.351448772062933301e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.317951304701991067e+00,1.589691167435562658e-01,1.174663508118057420e+00,1.943816108881407878e+00,9.216375768680420322e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.304271260767940532e+00,1.235034175116360711e-01,1.028134207658004673e+00,2.264020045509782086e+00,9.182651349226756565e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.381842374662706430e+00,1.166721104337208603e-01,1.087477267865247788e+00,2.844855914515601825e+00,9.123681871240860630e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.337398102174933046e+00,9.229930799154607846e-02,1.088022340174807479e+00,1.868359048127816502e+00,9.354496130074925020e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.314638819646086976e+00,8.791985380137415373e-02,1.092054009524988656e+00,1.871201995519236050e+00,9.334886676028474994e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.375690044184445293e+00,1.190848324169150541e+00,1.136447031008144926e+00,1.712461723754171938e+00,8.669746163650221149e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.329570221243724149e+00,6.974925450350999423e-02,1.043637486248124802e+00,1.585654257951622848e+00,9.260542966128109299e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.292547946689351912e+00,1.551959959779442288e-01,1.160792285670757540e+00,2.831617624181507864e+00,9.306022334625463088e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.418503780729192254e+00,9.058032190832625286e-02,1.089545305618716098e+00,2.639471493922784351e+00,8.636289932631831334e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.485630684354472875e+00,2.558585843205053445e-01,1.132818540583840017e+00,1.579832774072150503e+00,9.023566560004475434e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.302913750060132436e+00,9.215919295499548636e-02,1.127398193422885608e+00,2.476546952003209068e+00,9.320839939122625140e+01,0.000000000000000000e+00,1.000000000000000000e+00
