mu,sigma,mmin,mmax
1.304931873256689467e+00,1.121409479009328747e+00,1.086787811363636003e+00,1.986269262522992740e+00
1.557693679015634824e+00,1.511120804568662379e+00,1.146297984145490112e+00,2.357376963658928126e+00
1.557693679015634824e+00,1.201555550728768296e+00,1.146297984145490112e+00,2.357376963658928126e+00
1.794612538940430380e+00,1.770631051530979772e+00,1.097227130544420337e+00,2.357091817499645803e+00
1.362739060953518377e+00,6.207210303707322296e-01,1.105439479982930795e+00,2.114495135399310666e+00
1.557693679015634824e+00,4.546257701830708209e-01,1.146297984145490112e+00,2.357376963658928126e+00
1.602944352651613613e+00,9.697727388412291649e-01,1.182729501371830416e+00,2.142121085541033754e+00
1.794612538940430380e+00,1.082716292875017805e+00,1.097227130544420337e+00,2.357091817499645803e+00
1.272270215822300266e+00,3.358225852352098029e-01,1.055826281773234454e+00,2.046951863701338858e+00
1.304931873256689467e+00,4.969260441444856014e-01,1.086787811363636003e+00,1.986269262522992740e+00
1.272270215822300266e+00,1.573912226437341744e+00,1.055826281773234454e+00,2.046951863701338858e+00
1.362739060953518377e+00,1.644628620221196158e+00,1.105439479982930795e+00,2.114495135399310666e+00
1.304931873256689467e+00,3.867516040301494096e-01,1.086787811363636003e+00,1.986269262522992740e+00
1.272270215822300266e+00,1.762680996440364023e+00,1.055826281773234454e+00,2.046951863701338858e+00
1.304931873256689467e+00,3.474437651075024114e-01,1.086787811363636003e+00,1.986269262522992740e+00
1.757060393750903282e+00,8.999569244242766608e-01,1.002377114356153953e+00,2.290880107859525783e+00
1.557693679015634824e+00,8.228235292749991325e-01,1.146297984145490112e+00,2.357376963658928126e+00
1.362739060953518377e+00,1.385396687731225818e+00,1.105439479982930795e+00,2.114495135399310666e+00
1.557693679015634824e+00,1.248968078278567262e+00,1.146297984145490112e+00,2.357376963658928126e+00
1.272270215822300266e+00,1.482860034179624975e+00,1.055826281773234454e+00,2.046951863701338858e+00
1.757060393750903282e+00,5.029510809068638011e-01,1.002377114356153953e+00,2.290880107859525783e+00
1.602944352651613613e+00,1.344301293416915843e+00,1.182729501371830416e+00,2.142121085541033754e+00
1.557693679015634824e+00,1.990475234099519097e+00,1.146297984145490112e+00,2.357376963658928126e+00
1.304931873256689467e+00,6.198303261850962587e-01,1.086787811363636003e+00,1.986269262522992740e+00
1.237367494096837550e+00,8.888155977750183956e-01,1.192954523041498405e+00,2.216669493583318218e+00
1.602944352651613613e+00,4.343519635304837756e-01,1.182729501371830416e+00,2.142121085541033754e+00
1.272270215822300266e+00,1.542782311755491742e-01,1.055826281773234454e+00,2.046951863701338858e+00
1.304931873256689467e+00,1.435994530559625559e+00,1.086787811363636003e+00,1.986269262522992740e+00
1.362739060953518377e+00,1.385396687731225818e+00,1.105439479982930795e+00,2.114495135399310666e+00
1.602944352651613613e+00,3.322041240375028792e-01,1.182729501371830416e+00,2.142121085541033754e+00
1.272270215822300266e+00,8.005558864250073015e-01,1.055826281773234454e+00,2.046951863701338858e+00
1.362739060953518377e+00,1.034880790987254828e+00,1.105439479982930795e+00,2.114495135399310666e+00
1.757060393750903282e+00,3.641744796790230554e-01,1.002377114356153953e+00,2.290880107859525783e+00
1.557693679015634824e+00,6.272149316305264399e-02,1.146297984145490112e+00,2.357376963658928126e+00
1.237367494096837550e+00,1.282579997793467097e+00,1.192954523041498405e+00,2.216669493583318218e+00
1.602944352651613613e+00,6.921823746112482079e-01,1.182729501371830416e+00,2.142121085541033754e+00
