mu,sigma,mmin,mmax,log_like,log_detfrac,weight
1.424128560847930824e+00,1.188597788404266026e-01,1.143770294809794974e+00,2.801104272188871036e+00,2.894039214215495903e+01,1.217024783055257853e+00,1.000000000000000000e+00
1.181449952814397131e+00,1.920083452870216534e-01,1.150257408766391043e+00,2.849260245922822676e+00,3.400778178729536450e+01,1.059890320099987626e+00,1.000000000000000000e+00
1.372302995211611254e+00,1.300830237177978133e-01,1.146856338017981258e+00,2.577314719659194786e+00,3.309937466768736414e+01,1.164259738513585107e+00,1.000000000000000000e+00
1.279407179557569663e+00,1.787383987197546931e-01,1.094244435525616232e+00,2.512140908124596450e+00,3.326736173050770162e+01,1.073982707206198706e+00,1.000000000000000000e+00
1.300416354350857562e+00,1.845358618205088230e-01,1.160566279744703833e+00,2.188742881424361908e+00,3.503443473866223457e+01,1.132947935451814603e+00,1.000000000000000000e+00
1.330779306864622535e+00,1.838219764040645021e-01,1.044301614933892841e+00,2.515005966153272876e+00,3.236328992680714833e+01,1.119258108564316068e+00,1.000000000000000000e+00
1.233760856025702290e+00,1.999899069930201057e-01,1.111985710455531073e+00,2.745079725529547154e+00,3.356600583286950723e+01,1.060063301802654623e+00,1.000000000000000000e+00
1.333409547011742191e+00,1.595342132098983845e-01,1.166418214958634625e+00,2.678536668444506219e+00,3.490515059605211690e+01,1.139976213859084764e+00,1.000000000000000000e+00
1.284506288539514873e+00,2.381847436371370974e-01,1.055775153325091642e+00,2.425759654386516750e+00,3.148964315459903673e+01,1.120694310171328922e+00,1.000000000000000000e+00
1.177828381406742952e+00,2.068445793546681011e-01,1.167153770482050934e+00,2.383473108837708132e+00,3.574660012424588729e+01,1.072323849303379761e+00,1.000000000000000000e+00
1.243959564852753275e+00,1.701305829387121937e-01,1.162676291532392048e+00,2.784523010306177326e+00,3.512313084736270241e+01,1.078377444878689584e+00,1.000000000000000000e+00
1.277018799701122864e+00,1.534103685358832458e-01,1.170850643772840982e+00,2.254695834893037709e+00,3.527096074200348852e+01,1.089005587163434319e+00,1.000000000000000000e+00
1.191444861105299680e+00,3.188512106175611649e-01,1.170593941736266297e+00,2.107329654739354297e+00,3.351686585411508190e+01,1.199491591316883099e+00,1.000000000000000000e+00
1.149473454993163557e+00,3.565640583993845425e-01,1.076538718943267359e+00,2.010104676971047333e+00,3.038569803750176490e+01,1.148925570498538162e+00,1.000000000000000000e+00
1.213547402396983443e+00,2.252056894435716106e-01,1.144082567376560444e+00,2.960470015381525766e+00,3.454323574428470067e+01,1.106244439268621482e+00,1.000000000000000000e+00
1.173546794991475073e+00,2.620255784898034013e-01,1.151773952753818886e+00,2.547596601639862346e+00,3.459221730822295626e+01,1.131015973940442620e+00,1.000000000000000000e+00
1.319524974005356288e+00,2.282511490094534523e-01,1.117715179194393338e+00,2.254154152635671871e+00,3.283020336453360954e+01,1.156178439635781485e+00,1.000000000000000000e+00
1.396792418435797600e+00,1.616227829348774181e-01,1.124424286204581014e+00,2.449125967987605179e+00,3.199087490669385403e+01,1.189113105553911254e+00,1.000000000000000000e+00
1.189475731261543157e+00,1.657002153491645147e-01,1.173213998928033241e+00,2.814020404133109832e+00,3.386334787984061734e+01,1.038440833414740583e+00,1.000000000000000000e+00
1.282614648328624707e+00,2.269996691820125867e-01,1.161594109716522549e+00,1.809962118936165432e+00,3.440164563582072077e+01,1.149725323014252343e+00,1.000000000000000000e+00
1.330028760969696355e+00,5.228638007232566665e-01,1.125878023654887317e+00,1.654752347546431412e+00,3.196234242705060780e+01,1.146784933989147826e+00,1.000000000000000000e+00
1.544599477212203587e+00,9.785374011550153073e-01,1.096122784686223373e+00,1.652996627247440564e+00,3.087930450568366680e+01,1.134878822253005737e+00,1.000000000000000000e+00
1.308762659624441493e+00,1.108574676828237626e+00,1.089225969075844347e+00,1.716251459155910597e+00,2.870454949692326352e+01,1.156195984478520344e+00,1.000000000000000000e+00
1.600881520914549050e+00,7.955097307394440875e-01,1.040340732755715036e+00,1.789759540270065452e+00,2.613123926701509347e+01,1.206460217131029911e+00,1.000000000000000000e+00
1.323578822357807550e+00,1.290806249942737516e-01,1.077449159058509132e+00,2.786145423379369213e+00,3.299304617514605553e+01,1.091842603427602754e+00,1.000000000000000000e+00
1.390499484110607087e+00,9.260810918547373038e-01,1.010000471400635202e+00,1.728117635197512492e+00,2.657573685127020724e+01,1.144251305542496322e+00,1.000000000000000000e+00
1.265401289989341871e+00,1.087227788429117714e+00,1.152326120592704228e+00,1.659680785156339766e+00,3.203393848765566787e+01,1.172749679489991204e+00,1.000000000000000000e+00
1.205429004855433250e+00,2.781637052855094883e-01,1.041488910751971808e+00,2.483513143649465515e+00,3.029569133595288477e+01,1.103014284959683122e+00,1.000000000000000000e+00
1.278226750378922860e+00,2.004329693533157264e-01,1.162829225253451115e+00,2.198421318692404203e+00,3.526184345984215440e+01,1.129749139845006356e+00,1.000000000000000000e+00
1.345059552161534944e+00,2.096727982903849874e-01,1.153370692292133626e+00,1.787614019378022778e+00,3.322778004078429603e+01,1.172576501997552922e+00,1.000000000000000000e+00
1.288320700883220704e+00,1.372363885637912506e-01,1.166289400279070243e+00,2.732350424636060815e+00,3.464248007171865140e+01,1.081067189724534083e+00,1.000000000000000000e+00
1.157105240977451155e+00,2.267433645652959795e-01,1.149488077213468129e+00,2.551394307362587099e+00,3.461159366834178996e+01,1.082170662120969462e+00,1.000000000000000000e+00
1.280206968034507398e+00,2.050235924136423749e-01,1.165089839147829709e+00,2.578985303425567643e+00,3.530146688363615226e+01,1.134573089498228216e+00,1.000000000000000000e+00
1.171255357040116074e+00,1.878882327631356541e-01,1.166962147454974508e+00,2.778707244719805125e+00,3.511036021126723483e+01,1.044517911873797278e+00,1.000000000000000000e+00
1.172763035260164344e+00,2.208792253085236079e-01,1.144097114977640661e+00,2.626120388677044559e+00,3.438049145461284439e+01,1.078423418333291028e+00,1.000000000000000000e+00
1.194268539876244706e+00,2.255342048498036045e-01,1.164570586008929931e+00,2.541960794867166307e+00,3.579119340056087140e+01,1.099085439861875013e+00,1.000000000000000000e+00
