mu,sigma,mmin,mmax,log_like,log_detfrac,weight
1.353418190630912399e+00,2.307495953465350524e-01,1.163573486145580649e+00,1.896586560029285495e+00,-3.587462242901002440e+01,1.192835799728990676e+00,1.000000000000000000e+00
1.762983837075448701e+00,9.468173940170552250e-01,1.125865447173721279e+00,1.785083604411585201e+00,-3.570901371296250204e+01,1.276406672309877033e+00,1.000000000000000000e+00
1.958359573015376887e+00,5.254846632494785119e-01,1.066131852825221715e+00,2.114382326966890435e+00,-3.637566472790471295e+01,1.477720527876304368e+00,1.000000000000000000e+00
1.356943405314253948e+00,1.392703590977337313e+00,1.344985677952247993e+00,1.987715253489095169e+00,-3.645514163262358664e+01,1.426175729823533578e+00,1.000000000000000000e+00
1.516121250731604864e+00,9.089562660337878741e-01,1.309049847349429863e+00,2.005637418454765619e+00,-3.553031849351846461e+01,1.418310309426630500e+00,1.000000000000000000e+00
1.461782701047938948e+00,1.765255810805008430e-01,1.315072783247792865e+00,2.674732228252722610e+00,-3.579401813132540866e+01,1.278278027896930125e+00,1.000000000000000000e+00
1.477901471672467215e+00,3.161495892448929479e-01,1.170440364171233094e+00,2.780601309335869686e+00,-3.529258860948613119e+01,1.359437287886950285e+00,1.000000000000000000e+00
1.468388907550747025e+00,3.442996019409267916e-01,1.216776218334430615e+00,2.227135221091799178e+00,-3.528293165851271596e+01,1.381387059786640892e+00,1.000000000000000000e+00
1.568933711666117725e+00,1.307187376806937529e+00,1.289415117024121260e+00,1.856967446885196660e+00,-3.588312482033248330e+01,1.401032081028832810e+00,1.000000000000000000e+00
1.569491728823144694e+00,3.915398353921926144e-01,1.109270248936333969e+00,1.894531534402507322e+00,-3.513021947989400218e+01,1.331969224377529404e+00,1.000000000000000000e+00
1.676309522830000232e+00,1.371841530677531562e+00,1.031968102553411315e+00,2.320691621078511346e+00,-3.660297257038022423e+01,1.448707758484496955e+00,1.000000000000000000e+00
1.531278798562889953e+00,7.956722417868445918e-01,1.052749031564098825e+00,2.063894174513167812e+00,-3.524637369270607934e+01,1.353057634573073598e+00,1.000000000000000000e+00
1.254584597184850159e+00,1.739986880239285050e+00,1.073477161887742337e+00,2.017687057934276496e+00,-3.506547112257895549e+01,1.330928898279068129e+00,1.000000000000000000e+00
1.471039251969858297e+00,1.136882213777812956e+00,1.245477368385005557e+00,1.748340521420503002e+00,-3.572560616402539324e+01,1.297647245130154392e+00,1.000000000000000000e+00
1.427096344931464866e+00,1.178664447193627618e+00,1.272454945640575596e+00,1.833255632768952204e+00,-3.565317346480419758e+01,1.360681223526127637e+00,1.000000000000000000e+00
1.717989978655257932e+00,5.271346988301107706e-01,1.168182454642189727e+00,2.199219397522556463e+00,-3.633729698920749485e+01,1.457343503254841410e+00,1.000000000000000000e+00
1.576803587455682720e+00,1.973011766407415379e-01,1.157899837950769673e+00,2.424561077278532206e+00,-3.561631316935431357e+01,1.382774494928990405e+00,1.000000000000000000e+00
1.437071620185302212e+00,1.025569697989150431e+00,1.256990549008601299e+00,1.806552020387384383e+00,-3.546768597428583547e+01,1.331574713668272958e+00,1.000000000000000000e+00
1.277684200099904466e+00,2.210590322309615718e-01,1.204742551990307442e+00,2.540961727314954732e+00,-3.635176987651116320e+01,1.186977053324996811e+00,1.000000000000000000e+00
1.506297076384536915e+00,1.672541719499803570e+00,1.169954747125287797e+00,2.371406779006217214e+00,-3.710653733799037468e+01,1.519368213167672899e+00,1.000000000000000000e+00
1.454060549799876423e+00,6.965236482117096450e-01,1.038376183923455542e+00,2.177634509612372593e+00,-3.564144702962718014e+01,1.363940261228060447e+00,1.000000000000000000e+00
1.292137872778758911e+00,1.309118071438404085e+00,1.041688345734233190e+00,2.523869623127619199e+00,-3.718616748383323056e+01,1.509763742904971506e+00,1.000000000000000000e+00
1.219941795913862759e+00,7.864755083610772690e-01,1.135870514611697191e+00,1.802229745604959188e+00,-3.558364702463083518e+01,1.254601757050097799e+00,1.000000000000000000e+00
1.266712000750421785e+00,1.414463977738219302e+00,1.090439258332329020e+00,2.001107749321110685e+00,-3.495443031009138934e+01,1.321572960548226705e+00,1.000000000000000000e+00
1.333558557824496615e+00,1.368451775998745124e+00,1.258050226180925657e+00,1.677768741710915279e+00,-3.595701490267672540e+01,1.190839401523848817e+00,1.000000000000000000e+00
1.154281233424749864e+00,1.843036178805393277e+00,1.014605998048165425e+00,1.767717302744707730e+00,-3.624106336384964067e+01,1.193610204152485421e+00,1.000000000000000000e+00
1.079922346845810566e+00,1.963029701645319314e+00,1.010180647038025681e+00,1.898983436044624495e+00,-3.517806544542403202e+01,1.259589073774125323e+00,1.000000000000000000e+00
1.374645102232390670e+00,6.404853927238539635e-01,1.316698114134418507e+00,2.084831670410765003e+00,-3.577697476731272985e+01,1.435146720117050911e+00,1.000000000000000000e+00
1.645262761522292561e+00,1.672040790274069710e+00,1.267757911274085991e+00,2.014548373608370468e+00,-3.540756824970196703e+01,1.413185020063202124e+00,1.000000000000000000e+00
1.779386156996600077e+00,5.103781335134491837e-01,1.342047975898933654e+00,2.026330536319542741e+00,-3.730582393868200342e+01,1.464986803843244756e+00,1.000000000000000000e+00
1.833078279137751565e+00,1.972080516486143464e+00,1.066576744005573785e+00,2.215015451107779310e+00,-3.606669017795065457e+01,1.422207091696154668e+00,1.000000000000000000e+00
