mu,sigma,mmin,mmax
1.456345742166829105e+00,3.723752687078629720e-01,1.119685859488217083e+00,1.835176278552391071e+00
1.431677265472252047e+00,1.125657092993220809e+00,1.011678081791886896e+00,2.357491687715787876e+00
1.703528940160707883e+00,1.778882337977716777e+00,1.065454672450162343e+00,2.281590305793622875e+00
1.477662403086205112e+00,1.512610859779740524e+00,1.132238397580616063e+00,1.885991801560997327e+00
1.792156547064506888e+00,1.229553043230186660e+00,1.040123811965529832e+00,2.352983965813689071e+00
1.792156547064506888e+00,9.921635044556764704e-01,1.040123811965529832e+00,2.352983965813689071e+00
1.260704210620370969e+00,4.954021382620260594e-01,1.168780286911250688e+00,2.334858565490901761e+00
1.792156547064506888e+00,5.883697134554705110e-01,1.040123811965529832e+00,2.352983965813689071e+00
1.703528940160707883e+00,8.370902550433650946e-01,1.065454672450162343e+00,2.281590305793622875e+00
1.792156547064506888e+00,1.768789136510190430e-01,1.040123811965529832e+00,2.352983965813689071e+00
1.456345742166829105e+00,1.526049013261124854e+00,1.119685859488217083e+00,1.835176278552391071e+00
1.792156547064506888e+00,1.899474430718987694e+00,1.040123811965529832e+00,2.352983965813689071e+00
1.703528940160707883e+00,8.011067633248614150e-01,1.065454672450162343e+00,2.281590305793622875e+00
1.284332667502996017e+00,1.014436059333578832e+00,1.165954156403129494e+00,1.919945251474417525e+00
1.456345742166829105e+00,1.454498256417872781e+00,1.119685859488217083e+00,1.835176278552391071e+00
1.792156547064506888e+00,8.081820116651605712e-01,1.040123811965529832e+00,2.352983965813689071e+00
1.260704210620370969e+00,3.164256009363808353e-01,1.168780286911250688e+00,2.334858565490901761e+00
1.703528940160707883e+00,1.969828615872376565e+00,1.065454672450162343e+00,2.281590305793622875e+00
1.477662403086205112e+00,1.085544673181504827e+00,1.132238397580616063e+00,1.885991801560997327e+00
1.792156547064506888e+00,1.638861384972847723e+00,1.040123811965529832e+00,2.352983965813689071e+00
1.260704210620370969e+00,1.173566507022202332e+00,1.168780286911250688e+00,2.334858565490901761e+00
1.284332667502996017e+00,2.268973567680165893e-01,1.165954156403129494e+00,1.919945251474417525e+00
1.703528940160707883e+00,1.295010181654021153e+00,1.065454672450162343e+00,2.281590305793622875e+00
1.735327986077306761e+00,1.523732000959300281e+00,1.160630870433249084e+00,2.098949736757260265e+00
1.792156547064506888e+00,1.665093421972458465e+00,1.040123811965529832e+00,2.352983965813689071e+00
1.703528940160707883e+00,1.825760559560375418e+00,1.065454672450162343e+00,2.281590305793622875e+00
1.703528940160707883e+00,1.939072637243991482e+00,1.065454672450162343e+00,2.281590305793622875e+00
1.477662403086205112e+00,1.897998542333819039e+00,1.132238397580616063e+00,1.885991801560997327e+00
1.431677265472252047e+00,1.866664130177936309e-01,1.011678081791886896e+00,2.357491687715787876e+00
1.260704210620370969e+00,1.511418999818053166e+00,1.168780286911250688e+00,2.334858565490901761e+00
1.260704210620370969e+00,4.740010293101282191e-02,1.168780286911250688e+00,2.334858565490901761e+00
1.703528940160707883e+00,4.771702576874869983e-02,1.065454672450162343e+00,2.281590305793622875e+00
1.735327986077306761e+00,1.744479414356675528e-01,1.160630870433249084e+00,2.098949736757260265e+00
1.456345742166829105e+00,1.480900766920089762e+00,1.119685859488217083e+00,1.835176278552391071e+00
1.792156547064506888e+00,3.799443565958199320e-01,1.040123811965529832e+00,2.352983965813689071e+00
1.284332667502996017e+00,3.571895573931538337e-01,1.165954156403129494e+00,1.919945251474417525e+00
