m1_source,m2_source,dL,z,likelihood,posterior
5.647195129415240267e+00,1.475248471804007977e+00,3.323833896435041311e+02,7.145066372560499035e-02,7.886779392100629442e-06,7.886779392100629442e-06
5.662975517990218144e+00,1.434348239080364573e+00,3.988559300000000007e+02,8.494866002537650174e-02,5.341839317410335415e-06,5.341839317410335415e-06
6.501705523783909868e+00,1.300641095995899166e+00,3.853843299999999772e+02,8.223160434755179271e-02,5.750546541094857094e-06,5.750546541094857094e-06
5.389483794411115802e+00,1.539303741026301964e+00,3.074965901012963059e+02,6.633662523169775449e-02,9.303492801989562744e-06,9.303492801989562744e-06
6.950309223486025090e+00,1.270246115902408102e+00,3.045402399999999830e+02,6.572685643543915712e-02,9.495835882549145997e-06,9.495835882549145997e-06
6.123023227380207878e+00,1.409451906904270801e+00,2.757689536735309161e+02,5.976699378982730515e-02,1.171100013683309062e-05,1.171100013683309062e-05
4.641151277876254255e+00,1.773909233499148419e+00,2.527303923937641912e+02,5.496054917535866946e-02,1.407054008294706302e-05,1.407054008294706302e-05
3.453455132373287384e+00,2.236855768146206014e+00,3.183673587837843115e+02,6.857464741924489127e-02,8.642745820417914245e-06,8.642745820417914245e-06
6.096214675220416268e+00,1.415711662494610890e+00,2.712815776426099887e+02,5.883321467646345643e-02,1.212295165442235093e-05,1.212295165442235093e-05
6.749824496049732225e+00,1.325645510698539642e+00,2.442697799999999972e+02,5.318766497712267699e-02,1.511278059039947139e-05,1.511278059039947139e-05
5.198110102691846812e+00,1.614206215393735100e+00,2.577303167005061937e+02,5.600628189165625381e-02,1.350317032249992167e-05,1.350317032249992167e-05
5.910670427298679641e+00,1.376077978050399109e+00,4.279381300000000010e+02,9.078309800916342653e-02,4.591030746376603663e-06,4.591030746376603663e-06
5.394832465115800169e+00,1.563518084267168540e+00,2.618696095221317819e+02,5.687090861192897751e-02,1.305831087782271076e-05,1.305831087782271076e-05
4.925416697396872934e+00,1.639760478051070391e+00,3.286991199999999935e+02,7.069570434257006764e-02,8.075927133592888444e-06,8.075927133592888444e-06
7.060846946042443228e+00,1.270107084377035012e+00,2.706979680927502159e+02,5.871168730844547601e-02,1.217807093985934125e-05,1.217807093985934125e-05
