m,likelihood
1.333437835648413783e+00,1.000000000000000000e+00
1.333439148256326812e+00,1.000000000000000000e+00
1.333446854404065629e+00,1.000000000000000000e+00
1.333571114623731235e+00,1.000000000000000000e+00
1.333491134567023950e+00,1.000000000000000000e+00
1.334421036212539713e+00,1.000000000000000000e+00
1.333741582499949452e+00,1.000000000000000000e+00
1.333132498797809262e+00,1.000000000000000000e+00
1.332376906792466897e+00,1.000000000000000000e+00
1.331986128609135678e+00,1.000000000000000000e+00
1.332498887400703991e+00,1.000000000000000000e+00
1.333851425185233586e+00,1.000000000000000000e+00
1.332993301061032421e+00,1.000000000000000000e+00
1.334665163513776953e+00,1.000000000000000000e+00
1.332839683191003877e+00,1.000000000000000000e+00
1.333085424969371324e+00,1.000000000000000000e+00
1.334446237995498663e+00,1.000000000000000000e+00
1.334734336235407826e+00,1.000000000000000000e+00
1.333290636935359652e+00,1.000000000000000000e+00
1.331406969084435676e+00,1.000000000000000000e+00
1.331993186839687260e+00,1.000000000000000000e+00
1.333377882017450444e+00,1.000000000000000000e+00
1.333156143596186505e+00,1.000000000000000000e+00
1.333083338678141994e+00,1.000000000000000000e+00
1.332419339232589373e+00,1.000000000000000000e+00
1.332474676749580311e+00,1.000000000000000000e+00
1.333323966869413013e+00,1.000000000000000000e+00
1.331264543123687139e+00,1.000000000000000000e+00
1.333569958049341198e+00,1.000000000000000000e+00
1.333255549696889419e+00,1.000000000000000000e+00
1.332748097329387482e+00,1.000000000000000000e+00
1.333475187671627760e+00,1.000000000000000000e+00
1.334008206500022498e+00,1.000000000000000000e+00
1.333288563467020404e+00,1.000000000000000000e+00
1.333274425256538720e+00,1.000000000000000000e+00
1.333702541802302965e+00,1.000000000000000000e+00
1.333821288521420900e+00,1.000000000000000000e+00
1.334670922660521564e+00,1.000000000000000000e+00
1.331047091967992868e+00,1.000000000000000000e+00
1.331998353496903098e+00,1.000000000000000000e+00
1.334293018851392398e+00,1.000000000000000000e+00
1.333849678171947328e+00,1.000000000000000000e+00
1.333622147947358005e+00,1.000000000000000000e+00
1.332030128450065298e+00,1.000000000000000000e+00
1.334202982733806442e+00,1.000000000000000000e+00
1.331689101168674227e+00,1.000000000000000000e+00
1.331047048960319001e+00,1.000000000000000000e+00
1.335208160968455848e+00,1.000000000000000000e+00
1.333532681126319952e+00,1.000000000000000000e+00
1.332740577869816478e+00,1.000000000000000000e+00
1.333641512637326887e+00,1.000000000000000000e+00
1.335176042545552555e+00,1.000000000000000000e+00
1.333381072680702273e+00,1.000000000000000000e+00
1.332962522790386961e+00,1.000000000000000000e+00
1.334651172419205167e+00,1.000000000000000000e+00
1.332762691308090108e+00,1.000000000000000000e+00
1.333450260303105317e+00,1.000000000000000000e+00
1.333072211856726197e+00,1.000000000000000000e+00
1.332309258017658093e+00,1.000000000000000000e+00
1.332702566274525324e+00,1.000000000000000000e+00
1.332986595440846189e+00,1.000000000000000000e+00
1.331693539531927595e+00,1.000000000000000000e+00
1.330398052355891814e+00,1.000000000000000000e+00
1.334772006495472008e+00,1.000000000000000000e+00
1.333286372954281651e+00,1.000000000000000000e+00
1.334397224800846882e+00,1.000000000000000000e+00
1.332818323556678619e+00,1.000000000000000000e+00
1.333042077072421394e+00,1.000000000000000000e+00
1.331668195780820518e+00,1.000000000000000000e+00
1.332882777838911625e+00,1.000000000000000000e+00
1.333573480600420025e+00,1.000000000000000000e+00
1.333314889296312256e+00,1.000000000000000000e+00
1.332938308714240350e+00,1.000000000000000000e+00
1.332034110028601948e+00,1.000000000000000000e+00
1.333811856638936755e+00,1.000000000000000000e+00
1.333586439970903870e+00,1.000000000000000000e+00
1.334124795271814490e+00,1.000000000000000000e+00
1.333745481599733385e+00,1.000000000000000000e+00
1.335310197191684978e+00,1.000000000000000000e+00
1.333628252185467877e+00,1.000000000000000000e+00
1.333754967462685403e+00,1.000000000000000000e+00
1.332777504000739466e+00,1.000000000000000000e+00
1.331602262006804871e+00,1.000000000000000000e+00
1.333529434933335978e+00,1.000000000000000000e+00
1.331602925620400280e+00,1.000000000000000000e+00
1.333442838488854143e+00,1.000000000000000000e+00
1.332834685370809291e+00,1.000000000000000000e+00
1.332303488955119741e+00,1.000000000000000000e+00
1.332555536449919087e+00,1.000000000000000000e+00
1.332849804665618088e+00,1.000000000000000000e+00
1.331131481780470915e+00,1.000000000000000000e+00
1.332516736667721302e+00,1.000000000000000000e+00
1.333739594890064106e+00,1.000000000000000000e+00
1.332622073220362191e+00,1.000000000000000000e+00
1.333628418326270992e+00,1.000000000000000000e+00
1.333213773910893352e+00,1.000000000000000000e+00
1.332408236013718383e+00,1.000000000000000000e+00
1.332519539575408141e+00,1.000000000000000000e+00
1.331845978005733233e+00,1.000000000000000000e+00
1.332689935788627267e+00,1.000000000000000000e+00
