m,likelihood
1.388798205458644297e+00,1.000000000000000000e+00
1.388607663815109694e+00,1.000000000000000000e+00
1.388808773210862491e+00,1.000000000000000000e+00
1.388771362980186774e+00,1.000000000000000000e+00
1.388503442706299662e+00,1.000000000000000000e+00
1.388675835164131289e+00,1.000000000000000000e+00
1.388568416196096944e+00,1.000000000000000000e+00
1.388383943397374587e+00,1.000000000000000000e+00
1.388316347543540719e+00,1.000000000000000000e+00
1.388605439922568241e+00,1.000000000000000000e+00
1.388494129928398158e+00,1.000000000000000000e+00
1.388211327676673656e+00,1.000000000000000000e+00
1.388709520208197379e+00,1.000000000000000000e+00
1.388523534451392427e+00,1.000000000000000000e+00
1.388588476200723232e+00,1.000000000000000000e+00
1.388521447381157792e+00,1.000000000000000000e+00
1.388407764108642972e+00,1.000000000000000000e+00
1.388512163530573496e+00,1.000000000000000000e+00
1.388691693685745410e+00,1.000000000000000000e+00
1.388771961798163979e+00,1.000000000000000000e+00
1.388632553132076008e+00,1.000000000000000000e+00
1.388402482887691969e+00,1.000000000000000000e+00
1.388450727541124197e+00,1.000000000000000000e+00
1.388604001759099260e+00,1.000000000000000000e+00
1.388667014315578152e+00,1.000000000000000000e+00
1.388313511979277548e+00,1.000000000000000000e+00
1.388355410029616710e+00,1.000000000000000000e+00
1.388498953321759100e+00,1.000000000000000000e+00
1.388511272375405614e+00,1.000000000000000000e+00
1.388429998491174766e+00,1.000000000000000000e+00
1.388838140284407663e+00,1.000000000000000000e+00
1.388415322594922063e+00,1.000000000000000000e+00
1.388532491097975274e+00,1.000000000000000000e+00
1.388764594882294423e+00,1.000000000000000000e+00
1.388447441828851492e+00,1.000000000000000000e+00
1.388910056947570526e+00,1.000000000000000000e+00
1.388992399116548482e+00,1.000000000000000000e+00
1.388628971396869582e+00,1.000000000000000000e+00
1.388764119198759195e+00,1.000000000000000000e+00
1.388575751579746331e+00,1.000000000000000000e+00
1.388342063621672118e+00,1.000000000000000000e+00
1.388642860581757121e+00,1.000000000000000000e+00
1.388497071190613275e+00,1.000000000000000000e+00
1.388617050823508281e+00,1.000000000000000000e+00
1.388494083511665478e+00,1.000000000000000000e+00
1.388595307795796874e+00,1.000000000000000000e+00
1.388669148136805864e+00,1.000000000000000000e+00
1.388283998654462614e+00,1.000000000000000000e+00
1.388526025005728748e+00,1.000000000000000000e+00
1.388160241891423397e+00,1.000000000000000000e+00
1.388718137973536493e+00,1.000000000000000000e+00
1.388644812348855284e+00,1.000000000000000000e+00
1.388470834990438663e+00,1.000000000000000000e+00
1.388904345514074601e+00,1.000000000000000000e+00
1.388614855887285948e+00,1.000000000000000000e+00
1.389246614373195854e+00,1.000000000000000000e+00
1.388537892540807617e+00,1.000000000000000000e+00
1.388436367693697271e+00,1.000000000000000000e+00
1.388349224609796373e+00,1.000000000000000000e+00
1.389111517320277489e+00,1.000000000000000000e+00
1.388760536014495006e+00,1.000000000000000000e+00
1.388643140025551004e+00,1.000000000000000000e+00
1.389171521559365852e+00,1.000000000000000000e+00
1.388722759537930118e+00,1.000000000000000000e+00
1.388693186932844492e+00,1.000000000000000000e+00
1.388521208251561667e+00,1.000000000000000000e+00
1.388910098796121151e+00,1.000000000000000000e+00
1.388597645911840317e+00,1.000000000000000000e+00
1.388852544642434461e+00,1.000000000000000000e+00
1.388151353383937581e+00,1.000000000000000000e+00
1.388721826775092261e+00,1.000000000000000000e+00
1.388447324344843414e+00,1.000000000000000000e+00
1.388422559467733519e+00,1.000000000000000000e+00
1.388634563837154223e+00,1.000000000000000000e+00
1.388512441223273441e+00,1.000000000000000000e+00
1.388540947779835166e+00,1.000000000000000000e+00
1.388705562250819314e+00,1.000000000000000000e+00
1.388862401972459804e+00,1.000000000000000000e+00
1.388230335710098906e+00,1.000000000000000000e+00
1.388672148444616727e+00,1.000000000000000000e+00
1.388474970954248988e+00,1.000000000000000000e+00
1.388393293969066189e+00,1.000000000000000000e+00
1.388357294276598264e+00,1.000000000000000000e+00
1.388187472727902660e+00,1.000000000000000000e+00
1.388642922766993193e+00,1.000000000000000000e+00
1.388827812139811435e+00,1.000000000000000000e+00
1.388692807473709712e+00,1.000000000000000000e+00
1.388494151019148193e+00,1.000000000000000000e+00
1.388522742795020637e+00,1.000000000000000000e+00
1.388782828542813652e+00,1.000000000000000000e+00
1.388584112174001017e+00,1.000000000000000000e+00
1.388475458995147349e+00,1.000000000000000000e+00
1.388758490650611632e+00,1.000000000000000000e+00
1.388696630985269298e+00,1.000000000000000000e+00
1.388777570950326501e+00,1.000000000000000000e+00
1.388929643412677217e+00,1.000000000000000000e+00
1.388639691075197025e+00,1.000000000000000000e+00
1.388533793956029827e+00,1.000000000000000000e+00
1.388564054730640374e+00,1.000000000000000000e+00
1.388321631666090683e+00,1.000000000000000000e+00
