m,likelihood
1.361775964077063694e+00,1.000000000000000000e+00
1.350752856993829853e+00,1.000000000000000000e+00
1.373168285376620501e+00,1.000000000000000000e+00
1.357517880134282873e+00,1.000000000000000000e+00
1.367218634227955754e+00,1.000000000000000000e+00
1.353802688118922903e+00,1.000000000000000000e+00
1.343623287420756096e+00,1.000000000000000000e+00
1.373239721983845252e+00,1.000000000000000000e+00
1.358383221810073538e+00,1.000000000000000000e+00
1.362484238201045139e+00,1.000000000000000000e+00
1.347186816333038051e+00,1.000000000000000000e+00
1.343948368268923721e+00,1.000000000000000000e+00
1.367380490598468112e+00,1.000000000000000000e+00
1.368280996591258791e+00,1.000000000000000000e+00
1.341059805241307412e+00,1.000000000000000000e+00
1.353944521529111933e+00,1.000000000000000000e+00
1.349458457199078421e+00,1.000000000000000000e+00
1.365205757714808010e+00,1.000000000000000000e+00
1.349341987049844205e+00,1.000000000000000000e+00
1.352204603893500723e+00,1.000000000000000000e+00
1.352016098651889209e+00,1.000000000000000000e+00
1.349669842735489178e+00,1.000000000000000000e+00
1.364989568852431168e+00,1.000000000000000000e+00
1.360837914363063339e+00,1.000000000000000000e+00
1.355084877522424014e+00,1.000000000000000000e+00
1.332952240272514910e+00,1.000000000000000000e+00
1.361425977463255776e+00,1.000000000000000000e+00
1.351952729312826396e+00,1.000000000000000000e+00
1.353244451177065599e+00,1.000000000000000000e+00
1.363900455215987462e+00,1.000000000000000000e+00
1.364334688852197885e+00,1.000000000000000000e+00
1.363996509445768890e+00,1.000000000000000000e+00
1.370870818578067807e+00,1.000000000000000000e+00
1.340235824869611569e+00,1.000000000000000000e+00
1.354367980618721656e+00,1.000000000000000000e+00
1.369440968083622368e+00,1.000000000000000000e+00
1.377056319195570699e+00,1.000000000000000000e+00
1.357505032605441198e+00,1.000000000000000000e+00
1.356259302648173293e+00,1.000000000000000000e+00
1.350747157480016503e+00,1.000000000000000000e+00
1.350330782058572154e+00,1.000000000000000000e+00
1.360401227033481542e+00,1.000000000000000000e+00
1.334377084503610256e+00,1.000000000000000000e+00
1.348717250613036711e+00,1.000000000000000000e+00
1.365842282302752730e+00,1.000000000000000000e+00
1.328750707440451650e+00,1.000000000000000000e+00
1.376076413665481946e+00,1.000000000000000000e+00
1.355965509902848254e+00,1.000000000000000000e+00
1.362361718711121217e+00,1.000000000000000000e+00
1.341888751193532237e+00,1.000000000000000000e+00
1.361016561421129145e+00,1.000000000000000000e+00
1.363599323327870927e+00,1.000000000000000000e+00
1.352334821744252791e+00,1.000000000000000000e+00
1.359733312980373476e+00,1.000000000000000000e+00
1.342778147777532904e+00,1.000000000000000000e+00
1.344072655027288343e+00,1.000000000000000000e+00
1.360052554466197883e+00,1.000000000000000000e+00
1.359594507324386692e+00,1.000000000000000000e+00
1.360064742689715667e+00,1.000000000000000000e+00
1.365219510570195194e+00,1.000000000000000000e+00
1.351117346907464434e+00,1.000000000000000000e+00
1.346993494798649715e+00,1.000000000000000000e+00
1.346809799777169081e+00,1.000000000000000000e+00
1.361158067256307502e+00,1.000000000000000000e+00
1.341799395302934350e+00,1.000000000000000000e+00
1.372338587558581846e+00,1.000000000000000000e+00
1.352676263113189892e+00,1.000000000000000000e+00
1.371551604194292562e+00,1.000000000000000000e+00
1.344992614760213145e+00,1.000000000000000000e+00
1.338132333258167606e+00,1.000000000000000000e+00
1.342324528843054976e+00,1.000000000000000000e+00
1.359806535117853432e+00,1.000000000000000000e+00
1.349207669206937910e+00,1.000000000000000000e+00
1.358513936784034426e+00,1.000000000000000000e+00
1.349279655881971962e+00,1.000000000000000000e+00
1.355905415694411031e+00,1.000000000000000000e+00
1.352732238921352970e+00,1.000000000000000000e+00
1.367071837719028515e+00,1.000000000000000000e+00
1.366118140495894417e+00,1.000000000000000000e+00
1.351265238567058935e+00,1.000000000000000000e+00
1.365187909768495800e+00,1.000000000000000000e+00
1.359809691088962325e+00,1.000000000000000000e+00
1.352938957548461607e+00,1.000000000000000000e+00
1.363317995655998649e+00,1.000000000000000000e+00
1.355929409422623522e+00,1.000000000000000000e+00
1.375821985166900685e+00,1.000000000000000000e+00
1.358814460807159064e+00,1.000000000000000000e+00
1.374376193106656041e+00,1.000000000000000000e+00
1.364525244071945087e+00,1.000000000000000000e+00
1.374255277822109100e+00,1.000000000000000000e+00
1.358532868056899101e+00,1.000000000000000000e+00
1.367521470083866264e+00,1.000000000000000000e+00
1.356182917258800025e+00,1.000000000000000000e+00
1.353822430177600511e+00,1.000000000000000000e+00
1.361089976073625252e+00,1.000000000000000000e+00
1.349801093050631229e+00,1.000000000000000000e+00
1.356824449249318887e+00,1.000000000000000000e+00
1.348605418022796654e+00,1.000000000000000000e+00
1.343856432815429658e+00,1.000000000000000000e+00
1.350537345847991011e+00,1.000000000000000000e+00
