m,likelihood
1.342540199389941513e+00,1.000000000000000000e+00
1.348139157236073027e+00,1.000000000000000000e+00
1.358660337653331940e+00,1.000000000000000000e+00
1.352187070347937281e+00,1.000000000000000000e+00
1.354344323223322766e+00,1.000000000000000000e+00
1.348193921483018087e+00,1.000000000000000000e+00
1.361913597888068539e+00,1.000000000000000000e+00
1.371974739537256349e+00,1.000000000000000000e+00
1.342910239594818700e+00,1.000000000000000000e+00
1.363441325467809495e+00,1.000000000000000000e+00
1.356229841503053368e+00,1.000000000000000000e+00
1.351979938994278818e+00,1.000000000000000000e+00
1.353455823898801924e+00,1.000000000000000000e+00
1.346547428351288156e+00,1.000000000000000000e+00
1.361269952528545435e+00,1.000000000000000000e+00
1.368936978980464181e+00,1.000000000000000000e+00
1.364051228857403819e+00,1.000000000000000000e+00
1.360155017450952686e+00,1.000000000000000000e+00
1.333913206251252426e+00,1.000000000000000000e+00
1.329039371630312605e+00,1.000000000000000000e+00
1.348771691124395655e+00,1.000000000000000000e+00
1.342731424200723556e+00,1.000000000000000000e+00
1.350332958995381194e+00,1.000000000000000000e+00
1.339493630555518733e+00,1.000000000000000000e+00
1.352913549393108816e+00,1.000000000000000000e+00
1.355950488904177798e+00,1.000000000000000000e+00
1.358031880479382947e+00,1.000000000000000000e+00
1.348350114125744126e+00,1.000000000000000000e+00
1.359502547419372487e+00,1.000000000000000000e+00
1.365490123795976229e+00,1.000000000000000000e+00
1.341784958729232091e+00,1.000000000000000000e+00
1.350423742077502043e+00,1.000000000000000000e+00
1.365334102048603171e+00,1.000000000000000000e+00
1.363586053766705275e+00,1.000000000000000000e+00
1.378339902343025170e+00,1.000000000000000000e+00
1.343545637778819524e+00,1.000000000000000000e+00
1.359175691961487020e+00,1.000000000000000000e+00
1.354216629349417778e+00,1.000000000000000000e+00
1.345328636923152965e+00,1.000000000000000000e+00
1.349149556211577172e+00,1.000000000000000000e+00
1.334094406408884215e+00,1.000000000000000000e+00
1.350303641746276817e+00,1.000000000000000000e+00
1.374008018122555130e+00,1.000000000000000000e+00
1.353420604886314438e+00,1.000000000000000000e+00
1.348227550671797115e+00,1.000000000000000000e+00
1.346064888353135203e+00,1.000000000000000000e+00
1.348922691237279370e+00,1.000000000000000000e+00
1.342213442155008263e+00,1.000000000000000000e+00
1.350437198299474950e+00,1.000000000000000000e+00
1.339330661548811419e+00,1.000000000000000000e+00
1.359801735379750909e+00,1.000000000000000000e+00
1.358663853994580117e+00,1.000000000000000000e+00
1.351286339732593822e+00,1.000000000000000000e+00
1.366573126328385346e+00,1.000000000000000000e+00
1.351050498017487334e+00,1.000000000000000000e+00
1.359752214690652439e+00,1.000000000000000000e+00
1.335148531015583950e+00,1.000000000000000000e+00
1.339816224167064584e+00,1.000000000000000000e+00
1.373099434338148184e+00,1.000000000000000000e+00
1.338342722330876144e+00,1.000000000000000000e+00
1.363098582258465363e+00,1.000000000000000000e+00
1.351259945021201725e+00,1.000000000000000000e+00
1.362417654243865739e+00,1.000000000000000000e+00
1.371407795632785920e+00,1.000000000000000000e+00
1.377645654552790866e+00,1.000000000000000000e+00
1.373991745293777322e+00,1.000000000000000000e+00
1.357106970304065907e+00,1.000000000000000000e+00
1.360264795620587774e+00,1.000000000000000000e+00
1.350624242164682354e+00,1.000000000000000000e+00
1.344407617831187673e+00,1.000000000000000000e+00
1.344308300404597700e+00,1.000000000000000000e+00
1.367438579591293779e+00,1.000000000000000000e+00
1.344733361913747816e+00,1.000000000000000000e+00
1.358835948569349306e+00,1.000000000000000000e+00
1.351810053194365979e+00,1.000000000000000000e+00
1.357573335974461504e+00,1.000000000000000000e+00
1.345213458737848367e+00,1.000000000000000000e+00
1.351937217223172727e+00,1.000000000000000000e+00
1.365297094368062458e+00,1.000000000000000000e+00
1.349737548610667082e+00,1.000000000000000000e+00
1.343676484490663459e+00,1.000000000000000000e+00
1.334835612832382168e+00,1.000000000000000000e+00
1.344421796107359457e+00,1.000000000000000000e+00
1.359754996548104389e+00,1.000000000000000000e+00
1.359390615525044810e+00,1.000000000000000000e+00
1.354325677108110026e+00,1.000000000000000000e+00
1.351140899919905713e+00,1.000000000000000000e+00
1.338197099415212143e+00,1.000000000000000000e+00
1.343934772251109022e+00,1.000000000000000000e+00
1.373891271657169177e+00,1.000000000000000000e+00
1.356974220712686918e+00,1.000000000000000000e+00
1.361240611219821428e+00,1.000000000000000000e+00
1.354101277422165683e+00,1.000000000000000000e+00
1.349302030667796082e+00,1.000000000000000000e+00
1.357435787207152744e+00,1.000000000000000000e+00
1.362872674233418735e+00,1.000000000000000000e+00
1.350766794141254890e+00,1.000000000000000000e+00
1.352506901794344074e+00,1.000000000000000000e+00
1.333658288670408254e+00,1.000000000000000000e+00
1.347687098820668394e+00,1.000000000000000000e+00
