m,likelihood
1.555682581979328294e+00,1.000000000000000000e+00
1.562604955696878406e+00,1.000000000000000000e+00
1.559773299068171415e+00,1.000000000000000000e+00
1.560146295343262768e+00,1.000000000000000000e+00
1.560624446773548168e+00,1.000000000000000000e+00
1.558518715338301330e+00,1.000000000000000000e+00
1.557272591458296773e+00,1.000000000000000000e+00
1.556719304511482660e+00,1.000000000000000000e+00
1.561237585414622098e+00,1.000000000000000000e+00
1.567895021058921090e+00,1.000000000000000000e+00
1.561966020765214180e+00,1.000000000000000000e+00
1.566395029923357107e+00,1.000000000000000000e+00
1.557765765711551786e+00,1.000000000000000000e+00
1.554264256584382276e+00,1.000000000000000000e+00
1.564897121054555251e+00,1.000000000000000000e+00
1.556805513036228161e+00,1.000000000000000000e+00
1.559926209786377971e+00,1.000000000000000000e+00
1.561781404682153651e+00,1.000000000000000000e+00
1.560052715581110805e+00,1.000000000000000000e+00
1.562615176632751623e+00,1.000000000000000000e+00
1.558850844179628492e+00,1.000000000000000000e+00
1.556606964426158202e+00,1.000000000000000000e+00
1.551189521476617594e+00,1.000000000000000000e+00
1.553289724418529527e+00,1.000000000000000000e+00
1.566794204038705063e+00,1.000000000000000000e+00
1.557245602583307686e+00,1.000000000000000000e+00
1.554912551310525970e+00,1.000000000000000000e+00
1.553864461902131566e+00,1.000000000000000000e+00
1.555739211179202330e+00,1.000000000000000000e+00
1.560299865857176282e+00,1.000000000000000000e+00
1.551685670068796430e+00,1.000000000000000000e+00
1.561762844797609961e+00,1.000000000000000000e+00
1.565492579795972228e+00,1.000000000000000000e+00
1.555642354852103670e+00,1.000000000000000000e+00
1.564895923705823755e+00,1.000000000000000000e+00
1.556092288003030344e+00,1.000000000000000000e+00
1.562999627328124586e+00,1.000000000000000000e+00
1.553539976544356715e+00,1.000000000000000000e+00
1.561261078617215858e+00,1.000000000000000000e+00
1.554727738202251963e+00,1.000000000000000000e+00
1.559491698709125851e+00,1.000000000000000000e+00
1.561115241362161399e+00,1.000000000000000000e+00
1.557480845656694646e+00,1.000000000000000000e+00
1.558339807088161999e+00,1.000000000000000000e+00
1.563891467666911339e+00,1.000000000000000000e+00
1.552647822981568559e+00,1.000000000000000000e+00
1.560049822979075795e+00,1.000000000000000000e+00
1.547324114085058655e+00,1.000000000000000000e+00
1.557319432993598207e+00,1.000000000000000000e+00
1.555531376433851198e+00,1.000000000000000000e+00
1.557200912090612288e+00,1.000000000000000000e+00
1.559249390626415543e+00,1.000000000000000000e+00
1.559696020133148231e+00,1.000000000000000000e+00
1.563592842255919768e+00,1.000000000000000000e+00
1.565959190050919103e+00,1.000000000000000000e+00
1.564092056577490286e+00,1.000000000000000000e+00
1.563422494746371516e+00,1.000000000000000000e+00
1.552412857997151674e+00,1.000000000000000000e+00
1.555446797378935653e+00,1.000000000000000000e+00
1.553717245086220444e+00,1.000000000000000000e+00
1.555018172170105961e+00,1.000000000000000000e+00
1.557234479521737880e+00,1.000000000000000000e+00
1.556202533569925661e+00,1.000000000000000000e+00
1.561739572208935778e+00,1.000000000000000000e+00
1.565709760925831251e+00,1.000000000000000000e+00
1.558099687940043054e+00,1.000000000000000000e+00
1.562660396348940273e+00,1.000000000000000000e+00
1.551314146079755485e+00,1.000000000000000000e+00
1.552658785983781931e+00,1.000000000000000000e+00
1.558642434967773882e+00,1.000000000000000000e+00
1.558954234752504275e+00,1.000000000000000000e+00
1.562108921920282167e+00,1.000000000000000000e+00
1.553838490579626530e+00,1.000000000000000000e+00
1.558650448927189958e+00,1.000000000000000000e+00
1.562391050749505794e+00,1.000000000000000000e+00
1.558443047309316043e+00,1.000000000000000000e+00
1.560474318848265929e+00,1.000000000000000000e+00
1.566474513252956058e+00,1.000000000000000000e+00
1.562110516590530462e+00,1.000000000000000000e+00
1.557316337856174959e+00,1.000000000000000000e+00
1.559168121677531049e+00,1.000000000000000000e+00
1.557879465636212046e+00,1.000000000000000000e+00
1.554640407624874099e+00,1.000000000000000000e+00
1.559447878115287400e+00,1.000000000000000000e+00
1.554788210800572390e+00,1.000000000000000000e+00
1.556603294378174684e+00,1.000000000000000000e+00
1.556629809078041937e+00,1.000000000000000000e+00
1.562010141534064145e+00,1.000000000000000000e+00
1.560587478882901946e+00,1.000000000000000000e+00
1.557207478618979790e+00,1.000000000000000000e+00
1.558727965215625400e+00,1.000000000000000000e+00
1.557903766299525428e+00,1.000000000000000000e+00
1.561042761397096523e+00,1.000000000000000000e+00
1.559905952075898439e+00,1.000000000000000000e+00
1.554355344665441452e+00,1.000000000000000000e+00
1.556402336369951289e+00,1.000000000000000000e+00
1.558906048968979885e+00,1.000000000000000000e+00
1.564140639363021723e+00,1.000000000000000000e+00
1.559866948461995584e+00,1.000000000000000000e+00
1.553583934218329743e+00,1.000000000000000000e+00
