m,likelihood
1.338879306350378107e+00,1.000000000000000000e+00
1.338364708593871022e+00,1.000000000000000000e+00
1.337865071194777933e+00,1.000000000000000000e+00
1.337886691160546926e+00,1.000000000000000000e+00
1.337608870418968809e+00,1.000000000000000000e+00
1.338541006827282276e+00,1.000000000000000000e+00
1.338269829003088995e+00,1.000000000000000000e+00
1.339068451807696514e+00,1.000000000000000000e+00
1.338679858082281848e+00,1.000000000000000000e+00
1.337723278722697362e+00,1.000000000000000000e+00
1.337568627751922756e+00,1.000000000000000000e+00
1.338066291920100737e+00,1.000000000000000000e+00
1.337713566828387934e+00,1.000000000000000000e+00
1.337800870703992340e+00,1.000000000000000000e+00
1.339064386977624643e+00,1.000000000000000000e+00
1.338404165498244369e+00,1.000000000000000000e+00
1.338481019071551925e+00,1.000000000000000000e+00
1.337101962748415751e+00,1.000000000000000000e+00
1.337506513285735998e+00,1.000000000000000000e+00
1.336897931827475183e+00,1.000000000000000000e+00
1.337078234069320359e+00,1.000000000000000000e+00
1.338922634204802842e+00,1.000000000000000000e+00
1.337454448801644880e+00,1.000000000000000000e+00
1.338421949821624768e+00,1.000000000000000000e+00
1.338285408658515863e+00,1.000000000000000000e+00
1.339821266579862113e+00,1.000000000000000000e+00
1.338310789980255544e+00,1.000000000000000000e+00
1.338856944146658456e+00,1.000000000000000000e+00
1.337857645090430481e+00,1.000000000000000000e+00
1.337952555813110234e+00,1.000000000000000000e+00
1.338730267902552118e+00,1.000000000000000000e+00
1.338275048219043972e+00,1.000000000000000000e+00
1.337339157274644252e+00,1.000000000000000000e+00
1.338056770112310945e+00,1.000000000000000000e+00
1.337759820920899845e+00,1.000000000000000000e+00
1.337748531746603797e+00,1.000000000000000000e+00
1.336441612837266257e+00,1.000000000000000000e+00
1.338566808303234712e+00,1.000000000000000000e+00
1.338740273234102274e+00,1.000000000000000000e+00
1.337806093374874328e+00,1.000000000000000000e+00
1.337280960114699768e+00,1.000000000000000000e+00
1.338604182125332720e+00,1.000000000000000000e+00
1.337828179062977796e+00,1.000000000000000000e+00
1.338450644978820270e+00,1.000000000000000000e+00
1.338210325545694745e+00,1.000000000000000000e+00
1.337481753742328916e+00,1.000000000000000000e+00
1.337795712413940574e+00,1.000000000000000000e+00
1.338419651575127434e+00,1.000000000000000000e+00
1.338960316523639449e+00,1.000000000000000000e+00
1.338796765495915420e+00,1.000000000000000000e+00
1.338487984187983093e+00,1.000000000000000000e+00
1.337192375668205369e+00,1.000000000000000000e+00
1.338488235299550189e+00,1.000000000000000000e+00
1.339390698432599169e+00,1.000000000000000000e+00
1.337968847080700296e+00,1.000000000000000000e+00
1.338081342946911834e+00,1.000000000000000000e+00
1.337591289489439506e+00,1.000000000000000000e+00
1.338829295812696163e+00,1.000000000000000000e+00
1.337421409622114421e+00,1.000000000000000000e+00
1.338856106692564163e+00,1.000000000000000000e+00
1.339733332507266228e+00,1.000000000000000000e+00
1.338005183810321519e+00,1.000000000000000000e+00
1.338390763938553274e+00,1.000000000000000000e+00
1.338660170996788690e+00,1.000000000000000000e+00
1.337739461643102423e+00,1.000000000000000000e+00
1.338962564588996651e+00,1.000000000000000000e+00
1.338250637690766798e+00,1.000000000000000000e+00
1.338897101833846026e+00,1.000000000000000000e+00
1.337135150155247532e+00,1.000000000000000000e+00
1.338550564943035370e+00,1.000000000000000000e+00
1.338921340780860225e+00,1.000000000000000000e+00
1.338311522451565816e+00,1.000000000000000000e+00
1.338945845374664101e+00,1.000000000000000000e+00
1.338343464858648302e+00,1.000000000000000000e+00
1.337028609168013693e+00,1.000000000000000000e+00
1.338971390919554416e+00,1.000000000000000000e+00
1.338452033026451549e+00,1.000000000000000000e+00
1.338203657487302856e+00,1.000000000000000000e+00
1.338177863416657898e+00,1.000000000000000000e+00
1.339264144676719281e+00,1.000000000000000000e+00
1.337702737621791815e+00,1.000000000000000000e+00
1.337676068083776704e+00,1.000000000000000000e+00
1.338629410361505956e+00,1.000000000000000000e+00
1.337523734736791869e+00,1.000000000000000000e+00
1.337863771576981664e+00,1.000000000000000000e+00
1.338095489398046567e+00,1.000000000000000000e+00
1.338193245305832058e+00,1.000000000000000000e+00
1.337736480733910938e+00,1.000000000000000000e+00
1.338986529434127659e+00,1.000000000000000000e+00
1.339015530976898294e+00,1.000000000000000000e+00
1.338053271037581649e+00,1.000000000000000000e+00
1.337390954914275065e+00,1.000000000000000000e+00
1.337886720963954001e+00,1.000000000000000000e+00
1.338409360761137368e+00,1.000000000000000000e+00
1.338252307467738156e+00,1.000000000000000000e+00
1.337938040690361818e+00,1.000000000000000000e+00
1.337363116531767648e+00,1.000000000000000000e+00
1.338966616642639051e+00,1.000000000000000000e+00
1.338818609915270796e+00,1.000000000000000000e+00
1.337492263163780670e+00,1.000000000000000000e+00
