m,likelihood
1.311621744562560643e+00,1.000000000000000000e+00
1.314190305605010822e+00,1.000000000000000000e+00
1.311796554998677200e+00,1.000000000000000000e+00
1.332123811899483368e+00,1.000000000000000000e+00
1.314447869440958261e+00,1.000000000000000000e+00
1.316583503126144583e+00,1.000000000000000000e+00
1.324620012387644596e+00,1.000000000000000000e+00
1.277924948342978428e+00,1.000000000000000000e+00
1.291692438325913850e+00,1.000000000000000000e+00
1.306163723278819688e+00,1.000000000000000000e+00
1.285508814962827762e+00,1.000000000000000000e+00
1.334398471648771345e+00,1.000000000000000000e+00
1.287152287619007351e+00,1.000000000000000000e+00
1.288580328671698361e+00,1.000000000000000000e+00
1.317931220492669864e+00,1.000000000000000000e+00
1.283218933181971222e+00,1.000000000000000000e+00
1.337609366049971493e+00,1.000000000000000000e+00
1.319532879261565927e+00,1.000000000000000000e+00
1.289701544112785925e+00,1.000000000000000000e+00
1.313362224090139252e+00,1.000000000000000000e+00
1.295776341521424069e+00,1.000000000000000000e+00
1.366150351991089806e+00,1.000000000000000000e+00
1.274777823295133450e+00,1.000000000000000000e+00
1.295633165962684297e+00,1.000000000000000000e+00
1.303685601132451577e+00,1.000000000000000000e+00
1.306742951431324906e+00,1.000000000000000000e+00
1.323277096315288670e+00,1.000000000000000000e+00
1.319765011341166527e+00,1.000000000000000000e+00
1.290355064455388279e+00,1.000000000000000000e+00
1.320724747982818803e+00,1.000000000000000000e+00
1.299648692766570468e+00,1.000000000000000000e+00
1.296396430849533710e+00,1.000000000000000000e+00
1.305451076443991276e+00,1.000000000000000000e+00
1.318351288858396586e+00,1.000000000000000000e+00
1.321079471097626135e+00,1.000000000000000000e+00
1.340153980321146854e+00,1.000000000000000000e+00
1.290800089102630333e+00,1.000000000000000000e+00
1.293578116735907946e+00,1.000000000000000000e+00
1.291202846012257099e+00,1.000000000000000000e+00
1.335926594280666846e+00,1.000000000000000000e+00
1.310698410687909377e+00,1.000000000000000000e+00
1.274806177849086009e+00,1.000000000000000000e+00
1.271304081261878105e+00,1.000000000000000000e+00
1.291302334603364743e+00,1.000000000000000000e+00
1.277416404738762834e+00,1.000000000000000000e+00
1.344443629106383487e+00,1.000000000000000000e+00
1.282700596899595036e+00,1.000000000000000000e+00
1.310414760095445885e+00,1.000000000000000000e+00
1.330383044012419358e+00,1.000000000000000000e+00
1.322191232271163530e+00,1.000000000000000000e+00
1.331965285472658467e+00,1.000000000000000000e+00
1.318701092438618661e+00,1.000000000000000000e+00
1.301238002732028942e+00,1.000000000000000000e+00
1.308230196152157632e+00,1.000000000000000000e+00
1.328239049459968735e+00,1.000000000000000000e+00
1.333198980359440400e+00,1.000000000000000000e+00
1.300310172180594082e+00,1.000000000000000000e+00
1.331276469351542202e+00,1.000000000000000000e+00
1.300993820454447780e+00,1.000000000000000000e+00
1.292641046428445906e+00,1.000000000000000000e+00
1.300664898116203450e+00,1.000000000000000000e+00
1.323004151627434233e+00,1.000000000000000000e+00
1.332656339295777315e+00,1.000000000000000000e+00
1.293294925689893571e+00,1.000000000000000000e+00
1.277086711960330856e+00,1.000000000000000000e+00
1.324177197400117301e+00,1.000000000000000000e+00
1.338220324923136584e+00,1.000000000000000000e+00
1.301637078100688516e+00,1.000000000000000000e+00
1.292914451395356989e+00,1.000000000000000000e+00
1.319593600785951892e+00,1.000000000000000000e+00
1.336629220027565124e+00,1.000000000000000000e+00
1.321088353621223899e+00,1.000000000000000000e+00
1.314340973403890889e+00,1.000000000000000000e+00
1.329208706596834988e+00,1.000000000000000000e+00
1.301767916510427003e+00,1.000000000000000000e+00
1.299822170332268767e+00,1.000000000000000000e+00
1.329611056253801271e+00,1.000000000000000000e+00
1.313781425873217668e+00,1.000000000000000000e+00
1.312434243329980044e+00,1.000000000000000000e+00
1.302464030948045082e+00,1.000000000000000000e+00
1.318566131895218652e+00,1.000000000000000000e+00
1.287672825937694387e+00,1.000000000000000000e+00
1.313366417740437830e+00,1.000000000000000000e+00
1.326969812045717179e+00,1.000000000000000000e+00
1.289900553670287664e+00,1.000000000000000000e+00
1.301931309764244649e+00,1.000000000000000000e+00
1.293541109779057452e+00,1.000000000000000000e+00
1.303348256408572992e+00,1.000000000000000000e+00
1.301890619328308629e+00,1.000000000000000000e+00
1.339216950202718248e+00,1.000000000000000000e+00
1.339380015257735979e+00,1.000000000000000000e+00
1.297631278786461673e+00,1.000000000000000000e+00
1.325533258713001317e+00,1.000000000000000000e+00
1.320063581166772915e+00,1.000000000000000000e+00
1.332419413727985669e+00,1.000000000000000000e+00
1.304209716610496672e+00,1.000000000000000000e+00
1.305851340749794254e+00,1.000000000000000000e+00
1.319624651712250074e+00,1.000000000000000000e+00
1.285304079660247956e+00,1.000000000000000000e+00
1.315067385605629191e+00,1.000000000000000000e+00
