m,likelihood
1.271028768723305946e+00,1.000000000000000000e+00
1.271889231476507343e+00,1.000000000000000000e+00
1.276708253289333905e+00,1.000000000000000000e+00
1.237719390407122866e+00,1.000000000000000000e+00
1.254503105776505478e+00,1.000000000000000000e+00
1.244346211964898474e+00,1.000000000000000000e+00
1.247134589651109238e+00,1.000000000000000000e+00
1.278795843942039490e+00,1.000000000000000000e+00
1.253954445750252056e+00,1.000000000000000000e+00
1.236957735684647064e+00,1.000000000000000000e+00
1.271592129772716406e+00,1.000000000000000000e+00
1.247797349315210580e+00,1.000000000000000000e+00
1.243902270634644536e+00,1.000000000000000000e+00
1.262411324128493773e+00,1.000000000000000000e+00
1.267973160109654440e+00,1.000000000000000000e+00
1.267846407158366162e+00,1.000000000000000000e+00
1.275955769808173823e+00,1.000000000000000000e+00
1.266545090814134689e+00,1.000000000000000000e+00
1.256283700880961307e+00,1.000000000000000000e+00
1.251672735807978443e+00,1.000000000000000000e+00
1.253132959414804848e+00,1.000000000000000000e+00
1.271016123267331155e+00,1.000000000000000000e+00
1.267355436705677851e+00,1.000000000000000000e+00
1.261505015435090193e+00,1.000000000000000000e+00
1.256701058250540459e+00,1.000000000000000000e+00
1.268723781115456584e+00,1.000000000000000000e+00
1.282974220381490671e+00,1.000000000000000000e+00
1.256550418141721304e+00,1.000000000000000000e+00
1.255227239100474179e+00,1.000000000000000000e+00
1.259006394422685471e+00,1.000000000000000000e+00
1.250051560284544783e+00,1.000000000000000000e+00
1.255132377645982178e+00,1.000000000000000000e+00
1.286182361215457037e+00,1.000000000000000000e+00
1.241142494106442840e+00,1.000000000000000000e+00
1.249763359400639429e+00,1.000000000000000000e+00
1.253230772491357392e+00,1.000000000000000000e+00
1.261431452122734553e+00,1.000000000000000000e+00
1.278146545875886275e+00,1.000000000000000000e+00
1.264026251916207100e+00,1.000000000000000000e+00
1.269559674849433772e+00,1.000000000000000000e+00
1.256727620293574432e+00,1.000000000000000000e+00
1.212256911680101856e+00,1.000000000000000000e+00
1.269162939594031592e+00,1.000000000000000000e+00
1.280791416489529766e+00,1.000000000000000000e+00
1.260319513293684413e+00,1.000000000000000000e+00
1.247305752207648277e+00,1.000000000000000000e+00
1.283095320673949935e+00,1.000000000000000000e+00
1.256256116008980239e+00,1.000000000000000000e+00
1.257882282967197840e+00,1.000000000000000000e+00
1.242966590910592917e+00,1.000000000000000000e+00
1.256403588412823957e+00,1.000000000000000000e+00
1.241532059684116396e+00,1.000000000000000000e+00
1.292317911745045844e+00,1.000000000000000000e+00
1.268184521613078486e+00,1.000000000000000000e+00
1.254831592932592388e+00,1.000000000000000000e+00
1.247133712581302234e+00,1.000000000000000000e+00
1.248614983308167004e+00,1.000000000000000000e+00
1.263071598863996226e+00,1.000000000000000000e+00
1.268819670711690106e+00,1.000000000000000000e+00
1.244434887868818951e+00,1.000000000000000000e+00
1.237385186694533790e+00,1.000000000000000000e+00
1.268880349076090486e+00,1.000000000000000000e+00
1.257116743304838691e+00,1.000000000000000000e+00
1.248376318735554991e+00,1.000000000000000000e+00
1.258296902441970788e+00,1.000000000000000000e+00
1.261712558617568813e+00,1.000000000000000000e+00
1.269790732931399990e+00,1.000000000000000000e+00
1.239902127042190827e+00,1.000000000000000000e+00
1.260425939059613532e+00,1.000000000000000000e+00
1.252567183309863719e+00,1.000000000000000000e+00
1.279864532001806054e+00,1.000000000000000000e+00
1.252077933821815758e+00,1.000000000000000000e+00
1.250779250986187918e+00,1.000000000000000000e+00
1.251318638681775619e+00,1.000000000000000000e+00
1.258583674992282964e+00,1.000000000000000000e+00
1.241019239384264949e+00,1.000000000000000000e+00
1.242391287653223264e+00,1.000000000000000000e+00
1.263852322167662079e+00,1.000000000000000000e+00
1.248666831306980862e+00,1.000000000000000000e+00
1.260098045808897504e+00,1.000000000000000000e+00
1.304120332484258737e+00,1.000000000000000000e+00
1.236955155243467441e+00,1.000000000000000000e+00
1.285082929428484677e+00,1.000000000000000000e+00
1.274119419296663169e+00,1.000000000000000000e+00
1.248288231068269694e+00,1.000000000000000000e+00
1.230304686323067109e+00,1.000000000000000000e+00
1.254344746896549179e+00,1.000000000000000000e+00
1.274781122951659684e+00,1.000000000000000000e+00
1.282272544478914034e+00,1.000000000000000000e+00
1.262585663532442171e+00,1.000000000000000000e+00
1.275939932696897872e+00,1.000000000000000000e+00
1.236539769666300748e+00,1.000000000000000000e+00
1.292107226453970359e+00,1.000000000000000000e+00
1.279664243581895677e+00,1.000000000000000000e+00
1.269475393087142301e+00,1.000000000000000000e+00
1.274361109856458452e+00,1.000000000000000000e+00
1.258325942811752141e+00,1.000000000000000000e+00
1.242493007516679793e+00,1.000000000000000000e+00
1.267097260479027598e+00,1.000000000000000000e+00
1.249341165625447836e+00,1.000000000000000000e+00
