m,likelihood
1.364248870216800524e+00,1.000000000000000000e+00
1.365175175354570669e+00,1.000000000000000000e+00
1.365577796834164470e+00,1.000000000000000000e+00
1.367057055703217783e+00,1.000000000000000000e+00
1.362188075094629802e+00,1.000000000000000000e+00
1.367687698630168924e+00,1.000000000000000000e+00
1.366059202524252614e+00,1.000000000000000000e+00
1.364174211087342048e+00,1.000000000000000000e+00
1.364978439800909049e+00,1.000000000000000000e+00
1.366038074630563814e+00,1.000000000000000000e+00
1.367261265105606194e+00,1.000000000000000000e+00
1.365256831581815211e+00,1.000000000000000000e+00
1.366683833077917409e+00,1.000000000000000000e+00
1.361381395267614369e+00,1.000000000000000000e+00
1.364092403227702865e+00,1.000000000000000000e+00
1.362750255692423806e+00,1.000000000000000000e+00
1.366885671911719502e+00,1.000000000000000000e+00
1.365056396587057019e+00,1.000000000000000000e+00
1.364240248192560623e+00,1.000000000000000000e+00
1.364538076328423610e+00,1.000000000000000000e+00
1.365473764420496838e+00,1.000000000000000000e+00
1.364796275326758401e+00,1.000000000000000000e+00
1.365492960389661947e+00,1.000000000000000000e+00
1.369074130405762535e+00,1.000000000000000000e+00
1.364750152605267441e+00,1.000000000000000000e+00
1.364540165222081214e+00,1.000000000000000000e+00
1.366257971180599107e+00,1.000000000000000000e+00
1.367486807683521821e+00,1.000000000000000000e+00
1.362735201861875245e+00,1.000000000000000000e+00
1.368020670151886664e+00,1.000000000000000000e+00
1.364305868490842455e+00,1.000000000000000000e+00
1.363027910423519007e+00,1.000000000000000000e+00
1.363340009200394221e+00,1.000000000000000000e+00
1.366995735660518685e+00,1.000000000000000000e+00
1.368904632629293294e+00,1.000000000000000000e+00
1.367244844480077548e+00,1.000000000000000000e+00
1.363737645633454898e+00,1.000000000000000000e+00
1.362363837233479869e+00,1.000000000000000000e+00
1.366097769752625313e+00,1.000000000000000000e+00
1.365826620470190100e+00,1.000000000000000000e+00
1.363027725353902264e+00,1.000000000000000000e+00
1.367080329565015573e+00,1.000000000000000000e+00
1.365032753399709309e+00,1.000000000000000000e+00
1.368324391387674366e+00,1.000000000000000000e+00
1.362012145453682210e+00,1.000000000000000000e+00
1.365878810633830875e+00,1.000000000000000000e+00
1.365591380586939518e+00,1.000000000000000000e+00
1.366892807362064977e+00,1.000000000000000000e+00
1.367063180094935548e+00,1.000000000000000000e+00
1.363140359319377826e+00,1.000000000000000000e+00
1.364179144138925048e+00,1.000000000000000000e+00
1.362386491463559945e+00,1.000000000000000000e+00
1.366678247699235627e+00,1.000000000000000000e+00
1.368881215165368870e+00,1.000000000000000000e+00
1.366433646144321390e+00,1.000000000000000000e+00
1.366523453502297425e+00,1.000000000000000000e+00
1.364562728308263084e+00,1.000000000000000000e+00
1.366958495814116326e+00,1.000000000000000000e+00
1.366255259420009249e+00,1.000000000000000000e+00
1.367700881780390842e+00,1.000000000000000000e+00
1.366632470306903269e+00,1.000000000000000000e+00
1.363616451580406341e+00,1.000000000000000000e+00
1.368724654063973700e+00,1.000000000000000000e+00
1.364960509509166808e+00,1.000000000000000000e+00
1.363257658140868189e+00,1.000000000000000000e+00
1.365030614039827173e+00,1.000000000000000000e+00
1.366171699435672959e+00,1.000000000000000000e+00
1.367219870047043706e+00,1.000000000000000000e+00
1.362325817515439352e+00,1.000000000000000000e+00
1.362357695957472359e+00,1.000000000000000000e+00
1.366833370630147648e+00,1.000000000000000000e+00
1.360879161648105518e+00,1.000000000000000000e+00
1.365109800948301144e+00,1.000000000000000000e+00
1.365789826352557856e+00,1.000000000000000000e+00
1.372033115863178443e+00,1.000000000000000000e+00
1.368987494284859441e+00,1.000000000000000000e+00
1.366576589113387197e+00,1.000000000000000000e+00
1.368492842325177206e+00,1.000000000000000000e+00
1.365683739819598008e+00,1.000000000000000000e+00
1.366467808146254015e+00,1.000000000000000000e+00
1.366031514283408743e+00,1.000000000000000000e+00
1.362790833121132028e+00,1.000000000000000000e+00
1.361650545467665063e+00,1.000000000000000000e+00
1.365982679698586111e+00,1.000000000000000000e+00
1.366847694428144466e+00,1.000000000000000000e+00
1.364919068349059073e+00,1.000000000000000000e+00
1.362778434808675554e+00,1.000000000000000000e+00
1.365049514261704289e+00,1.000000000000000000e+00
1.366097264629165364e+00,1.000000000000000000e+00
1.368141534504442536e+00,1.000000000000000000e+00
1.365182019306245165e+00,1.000000000000000000e+00
1.363572208253155837e+00,1.000000000000000000e+00
1.368103660027708335e+00,1.000000000000000000e+00
1.364894186069106841e+00,1.000000000000000000e+00
1.368284647935784193e+00,1.000000000000000000e+00
1.363172710775356400e+00,1.000000000000000000e+00
1.366462856940061421e+00,1.000000000000000000e+00
1.366352981260767097e+00,1.000000000000000000e+00
1.366928216485044922e+00,1.000000000000000000e+00
1.367131871572861312e+00,1.000000000000000000e+00
