m,likelihood
1.205665524712556280e+00,1.000000000000000000e+00
1.205733490554228515e+00,1.000000000000000000e+00
1.208437875218449697e+00,1.000000000000000000e+00
1.206902838630480090e+00,1.000000000000000000e+00
1.207542853962390694e+00,1.000000000000000000e+00
1.206234759461211281e+00,1.000000000000000000e+00
1.207104966349777486e+00,1.000000000000000000e+00
1.206202026448218501e+00,1.000000000000000000e+00
1.205731887768427324e+00,1.000000000000000000e+00
1.204646644215016327e+00,1.000000000000000000e+00
1.208689645455012229e+00,1.000000000000000000e+00
1.207072578945799668e+00,1.000000000000000000e+00
1.205872619441658022e+00,1.000000000000000000e+00
1.204476053123615165e+00,1.000000000000000000e+00
1.207958766626563429e+00,1.000000000000000000e+00
1.206616288145236471e+00,1.000000000000000000e+00
1.208779636946790248e+00,1.000000000000000000e+00
1.206138479523822138e+00,1.000000000000000000e+00
1.206666331277679083e+00,1.000000000000000000e+00
1.203844249031185365e+00,1.000000000000000000e+00
1.203725242645780069e+00,1.000000000000000000e+00
1.208128252317215434e+00,1.000000000000000000e+00
1.204356335884307683e+00,1.000000000000000000e+00
1.206593719524394315e+00,1.000000000000000000e+00
1.205274600726888190e+00,1.000000000000000000e+00
1.209116198086832350e+00,1.000000000000000000e+00
1.206881024211035713e+00,1.000000000000000000e+00
1.208517415321292754e+00,1.000000000000000000e+00
1.205031662318436503e+00,1.000000000000000000e+00
1.208971744503215318e+00,1.000000000000000000e+00
1.203380192190558029e+00,1.000000000000000000e+00
1.209221023058375755e+00,1.000000000000000000e+00
1.211004410277846555e+00,1.000000000000000000e+00
1.207543373615425297e+00,1.000000000000000000e+00
1.207416578872472890e+00,1.000000000000000000e+00
1.209326332875075183e+00,1.000000000000000000e+00
1.204737839580496406e+00,1.000000000000000000e+00
1.206157247841598279e+00,1.000000000000000000e+00
1.205327897361331502e+00,1.000000000000000000e+00
1.205391465278176311e+00,1.000000000000000000e+00
1.204647757108893602e+00,1.000000000000000000e+00
1.202431455594673126e+00,1.000000000000000000e+00
1.204916684181326580e+00,1.000000000000000000e+00
1.209706731772648203e+00,1.000000000000000000e+00
1.206474896502599981e+00,1.000000000000000000e+00
1.205192548808798447e+00,1.000000000000000000e+00
1.203782316965923416e+00,1.000000000000000000e+00
1.204469688324545151e+00,1.000000000000000000e+00
1.204526311119993531e+00,1.000000000000000000e+00
1.206564167982203672e+00,1.000000000000000000e+00
1.204077538180933882e+00,1.000000000000000000e+00
1.208614698205766835e+00,1.000000000000000000e+00
1.202599249974529272e+00,1.000000000000000000e+00
1.201630743941567658e+00,1.000000000000000000e+00
1.206043001993047481e+00,1.000000000000000000e+00
1.208793177393130636e+00,1.000000000000000000e+00
1.207048520685442661e+00,1.000000000000000000e+00
1.207293688577212309e+00,1.000000000000000000e+00
1.205860269617660796e+00,1.000000000000000000e+00
1.204677936267442906e+00,1.000000000000000000e+00
1.208643004500348228e+00,1.000000000000000000e+00
1.205488214494539800e+00,1.000000000000000000e+00
1.207852515472243926e+00,1.000000000000000000e+00
1.207367102874475906e+00,1.000000000000000000e+00
1.206300634841268593e+00,1.000000000000000000e+00
1.208443258542058363e+00,1.000000000000000000e+00
1.206932645192572817e+00,1.000000000000000000e+00
1.204752555854916807e+00,1.000000000000000000e+00
1.205452941011201151e+00,1.000000000000000000e+00
1.204754485407615983e+00,1.000000000000000000e+00
1.204463704593663920e+00,1.000000000000000000e+00
1.207824176011840667e+00,1.000000000000000000e+00
1.208874339797410435e+00,1.000000000000000000e+00
1.208910677035798020e+00,1.000000000000000000e+00
1.205077355329722932e+00,1.000000000000000000e+00
1.206752548528247315e+00,1.000000000000000000e+00
1.205292920799835965e+00,1.000000000000000000e+00
1.206136991761572075e+00,1.000000000000000000e+00
1.205964212594450524e+00,1.000000000000000000e+00
1.207930593723580470e+00,1.000000000000000000e+00
1.202755282443289664e+00,1.000000000000000000e+00
1.208003359946629107e+00,1.000000000000000000e+00
1.206334175679458998e+00,1.000000000000000000e+00
1.205376586402540529e+00,1.000000000000000000e+00
1.210083408157458074e+00,1.000000000000000000e+00
1.203899909957316883e+00,1.000000000000000000e+00
1.205588119710712780e+00,1.000000000000000000e+00
1.205769048932108012e+00,1.000000000000000000e+00
1.207063055421866871e+00,1.000000000000000000e+00
1.204671293885941408e+00,1.000000000000000000e+00
1.205302779034431282e+00,1.000000000000000000e+00
1.204458240827670279e+00,1.000000000000000000e+00
1.207878043001427093e+00,1.000000000000000000e+00
1.208329156894613066e+00,1.000000000000000000e+00
1.207513466173647299e+00,1.000000000000000000e+00
1.205344471822447305e+00,1.000000000000000000e+00
1.208127949825781311e+00,1.000000000000000000e+00
1.204226145303694206e+00,1.000000000000000000e+00
1.208423568121852032e+00,1.000000000000000000e+00
1.207577785686659411e+00,1.000000000000000000e+00
