m,likelihood
1.316444307377353518e+00,1.000000000000000000e+00
1.306810330120735664e+00,1.000000000000000000e+00
1.319012778835366495e+00,1.000000000000000000e+00
1.317716379079618250e+00,1.000000000000000000e+00
1.329386791523377687e+00,1.000000000000000000e+00
1.308976101683739790e+00,1.000000000000000000e+00
1.347565680644245756e+00,1.000000000000000000e+00
1.317139484036222052e+00,1.000000000000000000e+00
1.323416698526727053e+00,1.000000000000000000e+00
1.308280289259963203e+00,1.000000000000000000e+00
1.322720557522321094e+00,1.000000000000000000e+00
1.316033828171074171e+00,1.000000000000000000e+00
1.297717800901552199e+00,1.000000000000000000e+00
1.333492401761178670e+00,1.000000000000000000e+00
1.327139457557817925e+00,1.000000000000000000e+00
1.326753840083054969e+00,1.000000000000000000e+00
1.318628286871333488e+00,1.000000000000000000e+00
1.305936827587775628e+00,1.000000000000000000e+00
1.306857972513580490e+00,1.000000000000000000e+00
1.336634297976048380e+00,1.000000000000000000e+00
1.317171335897673101e+00,1.000000000000000000e+00
1.310697305750580188e+00,1.000000000000000000e+00
1.314896724852926857e+00,1.000000000000000000e+00
1.320167645688663738e+00,1.000000000000000000e+00
1.317138050694415696e+00,1.000000000000000000e+00
1.330478142096970240e+00,1.000000000000000000e+00
1.330816595494740850e+00,1.000000000000000000e+00
1.336197605486715290e+00,1.000000000000000000e+00
1.311924512533529485e+00,1.000000000000000000e+00
1.340155234564436304e+00,1.000000000000000000e+00
1.338913693843068131e+00,1.000000000000000000e+00
1.313228111563609968e+00,1.000000000000000000e+00
1.315927421038838752e+00,1.000000000000000000e+00
1.311694900369150041e+00,1.000000000000000000e+00
1.309050514222567685e+00,1.000000000000000000e+00
1.334221785118109072e+00,1.000000000000000000e+00
1.301302688470557634e+00,1.000000000000000000e+00
1.306023322777837281e+00,1.000000000000000000e+00
1.317333461386962501e+00,1.000000000000000000e+00
1.308218989003413935e+00,1.000000000000000000e+00
1.322692631163874033e+00,1.000000000000000000e+00
1.325383156717856892e+00,1.000000000000000000e+00
1.328140445790664703e+00,1.000000000000000000e+00
1.319517178396561574e+00,1.000000000000000000e+00
1.338026582958172561e+00,1.000000000000000000e+00
1.327000737434491651e+00,1.000000000000000000e+00
1.290271149496116987e+00,1.000000000000000000e+00
1.327469325570852066e+00,1.000000000000000000e+00
1.303003398314670047e+00,1.000000000000000000e+00
1.309845783753673221e+00,1.000000000000000000e+00
1.319285079900909707e+00,1.000000000000000000e+00
1.315811047526576960e+00,1.000000000000000000e+00
1.310053076679417616e+00,1.000000000000000000e+00
1.325639503120958684e+00,1.000000000000000000e+00
1.295333157617507558e+00,1.000000000000000000e+00
1.306247805094207903e+00,1.000000000000000000e+00
1.312930146142447851e+00,1.000000000000000000e+00
1.323246073559398051e+00,1.000000000000000000e+00
1.330332518989328694e+00,1.000000000000000000e+00
1.321137137397462968e+00,1.000000000000000000e+00
1.333557450954875323e+00,1.000000000000000000e+00
1.316678495772277913e+00,1.000000000000000000e+00
1.326042868454609280e+00,1.000000000000000000e+00
1.314451714681396766e+00,1.000000000000000000e+00
1.329862845359855994e+00,1.000000000000000000e+00
1.310033229125534771e+00,1.000000000000000000e+00
1.326884391122304052e+00,1.000000000000000000e+00
1.332423189503912253e+00,1.000000000000000000e+00
1.299431245812923796e+00,1.000000000000000000e+00
1.318542027096105018e+00,1.000000000000000000e+00
1.333624268618376352e+00,1.000000000000000000e+00
1.333707836898091692e+00,1.000000000000000000e+00
1.309070557251479361e+00,1.000000000000000000e+00
1.319076577146012230e+00,1.000000000000000000e+00
1.319193803769071582e+00,1.000000000000000000e+00
1.319208762917319477e+00,1.000000000000000000e+00
1.324662789371323868e+00,1.000000000000000000e+00
1.289574918959422112e+00,1.000000000000000000e+00
1.320225565052601580e+00,1.000000000000000000e+00
1.318462970394146172e+00,1.000000000000000000e+00
1.334788286283777659e+00,1.000000000000000000e+00
1.343648267989238976e+00,1.000000000000000000e+00
1.315977005696257418e+00,1.000000000000000000e+00
1.319246449925004505e+00,1.000000000000000000e+00
1.306699784637959327e+00,1.000000000000000000e+00
1.295652169815365129e+00,1.000000000000000000e+00
1.339846623554513227e+00,1.000000000000000000e+00
1.319460532163217348e+00,1.000000000000000000e+00
1.309692129347655332e+00,1.000000000000000000e+00
1.318368829419201749e+00,1.000000000000000000e+00
1.328599830463004450e+00,1.000000000000000000e+00
1.346453880793802238e+00,1.000000000000000000e+00
1.312101373934850157e+00,1.000000000000000000e+00
1.316614074075129759e+00,1.000000000000000000e+00
1.295624562640232513e+00,1.000000000000000000e+00
1.335963291715035917e+00,1.000000000000000000e+00
1.295106845620301206e+00,1.000000000000000000e+00
1.329885934322243779e+00,1.000000000000000000e+00
1.322450509789794282e+00,1.000000000000000000e+00
1.306639089948669286e+00,1.000000000000000000e+00
