tm, m, likelihood
2.868708620244458718e+00,1.818427645528330805e+00,1.000000000000000000e+00
2.866702627320287355e+00,1.025191512702340102e+00,1.000000000000000000e+00
2.858355573513652104e+00,1.776840631460585129e+00,1.000000000000000000e+00
2.864199342773626533e+00,1.815334844718048846e+00,1.000000000000000000e+00
2.868841060732869597e+00,1.823736886209658792e+00,1.000000000000000000e+00
2.866892853415505371e+00,1.817254139949204816e+00,1.000000000000000000e+00
2.866702627320287355e+00,1.025191512702340102e+00,1.000000000000000000e+00
2.871626417705431589e+00,1.583892636064501591e+00,1.000000000000000000e+00
2.862247698469709167e+00,1.058770268936643832e+00,1.000000000000000000e+00
2.891325217813951465e+00,1.533231736231662534e+00,1.000000000000000000e+00
2.882618733463310434e+00,1.822119812275872608e+00,1.000000000000000000e+00
2.872693212053487155e+00,1.764579783263183543e+00,1.000000000000000000e+00
2.868274852769707284e+00,1.432042185510385535e+00,1.000000000000000000e+00
2.872693212053487155e+00,1.764579783263183543e+00,1.000000000000000000e+00
2.863216320368498380e+00,1.395673060327137893e+00,1.000000000000000000e+00
2.888816133477731807e+00,1.357760893775041389e+00,1.000000000000000000e+00
2.875796315647582979e+00,1.278486775957190291e+00,1.000000000000000000e+00
2.882039142838988877e+00,1.689865238865594366e+00,1.000000000000000000e+00
2.873018286117261511e+00,1.533661973718470684e+00,1.000000000000000000e+00
2.882618733463310434e+00,1.822119812275872608e+00,1.000000000000000000e+00
2.868841060732869597e+00,1.823736886209658792e+00,1.000000000000000000e+00
2.872693212053487155e+00,1.764579783263183543e+00,1.000000000000000000e+00
2.869610289332114483e+00,1.040962358142148547e+00,1.000000000000000000e+00
2.857216284855324862e+00,1.594379215043113529e+00,1.000000000000000000e+00
2.876969224791784630e+00,1.242489910156199695e+00,1.000000000000000000e+00
2.867287614061999612e+00,1.822644949818867266e+00,1.000000000000000000e+00
2.857237264873999205e+00,1.783988926355295934e+00,1.000000000000000000e+00
2.866034563201334873e+00,1.795679654888257648e+00,1.000000000000000000e+00
2.871626417705431589e+00,1.583892636064501591e+00,1.000000000000000000e+00
2.873699509585392775e+00,1.018869136915300455e+00,1.000000000000000000e+00
2.866034563201334873e+00,1.795679654888257648e+00,1.000000000000000000e+00
2.866892853415505371e+00,1.817254139949204816e+00,1.000000000000000000e+00
2.865656424989180273e+00,1.337738770405376698e+00,1.000000000000000000e+00
2.868841060732869597e+00,1.823736886209658792e+00,1.000000000000000000e+00
2.857237264873999205e+00,1.783988926355295934e+00,1.000000000000000000e+00
2.891951578823332536e+00,1.358087711883145809e+00,1.000000000000000000e+00
2.882618733463310434e+00,1.822119812275872608e+00,1.000000000000000000e+00
2.882618733463310434e+00,1.822119812275872608e+00,1.000000000000000000e+00
2.876097236529095102e+00,1.521034531342214446e+00,1.000000000000000000e+00
2.888989255108299403e+00,1.835460822718530283e+00,1.000000000000000000e+00
2.867287614061999612e+00,1.822644949818867266e+00,1.000000000000000000e+00
2.869134531897287843e+00,1.472566777965195861e+00,1.000000000000000000e+00
2.882618733463310434e+00,1.822119812275872608e+00,1.000000000000000000e+00
2.862247698469709167e+00,1.058770268936643832e+00,1.000000000000000000e+00
2.866892853415505371e+00,1.817254139949204816e+00,1.000000000000000000e+00
2.885134011035666912e+00,1.722152373371051093e+00,1.000000000000000000e+00
2.863626470366040344e+00,1.472685657857952135e+00,1.000000000000000000e+00
2.857237264873999205e+00,1.783988926355295934e+00,1.000000000000000000e+00
2.866892853415505371e+00,1.817254139949204816e+00,1.000000000000000000e+00
2.868841060732869597e+00,1.823736886209658792e+00,1.000000000000000000e+00
2.863626470366040344e+00,1.472685657857952135e+00,1.000000000000000000e+00
2.867287614061999612e+00,1.822644949818867266e+00,1.000000000000000000e+00
2.868841060732869597e+00,1.823736886209658792e+00,1.000000000000000000e+00
2.868708620244458718e+00,1.818427645528330805e+00,1.000000000000000000e+00
2.866892853415505371e+00,1.817254139949204816e+00,1.000000000000000000e+00
2.893063332984938008e+00,1.838717274575693450e+00,1.000000000000000000e+00
2.895508438260950612e+00,1.507928564169622732e+00,1.000000000000000000e+00
2.867287614061999612e+00,1.822644949818867266e+00,1.000000000000000000e+00
2.881098978751423179e+00,1.340759812195315703e+00,1.000000000000000000e+00
2.874215307556017063e+00,1.817806897340559447e+00,1.000000000000000000e+00
2.868841060732869597e+00,1.823736886209658792e+00,1.000000000000000000e+00
2.885134011035666912e+00,1.722152373371051093e+00,1.000000000000000000e+00
2.867287614061999612e+00,1.822644949818867266e+00,1.000000000000000000e+00
2.874215307556017063e+00,1.817806897340559447e+00,1.000000000000000000e+00
2.868708620244458718e+00,1.818427645528330805e+00,1.000000000000000000e+00
2.860691202918512754e+00,1.228760055022537045e+00,1.000000000000000000e+00
2.879375799768880473e+00,1.324472396603376012e+00,1.000000000000000000e+00
2.867287614061999612e+00,1.822644949818867266e+00,1.000000000000000000e+00
2.893063332984938008e+00,1.838717274575693450e+00,1.000000000000000000e+00
2.860910223528896346e+00,1.665089509245000876e+00,1.000000000000000000e+00
2.864199342773626533e+00,1.815334844718048846e+00,1.000000000000000000e+00
2.866034563201334873e+00,1.795679654888257648e+00,1.000000000000000000e+00
2.882618733463310434e+00,1.822119812275872608e+00,1.000000000000000000e+00
2.868708620244458718e+00,1.818427645528330805e+00,1.000000000000000000e+00
2.878200807894292002e+00,1.449724463633543792e+00,1.000000000000000000e+00
2.877660737148117764e+00,1.594059711426420112e+00,1.000000000000000000e+00
2.872693212053487155e+00,1.764579783263183543e+00,1.000000000000000000e+00
2.874215307556017063e+00,1.817806897340559447e+00,1.000000000000000000e+00
2.888989255108299403e+00,1.835460822718530283e+00,1.000000000000000000e+00
2.866892853415505371e+00,1.817254139949204816e+00,1.000000000000000000e+00
2.860304493554231442e+00,1.684187239148275950e+00,1.000000000000000000e+00
2.864199342773626533e+00,1.815334844718048846e+00,1.000000000000000000e+00
2.868708620244458718e+00,1.818427645528330805e+00,1.000000000000000000e+00
2.882618733463310434e+00,1.822119812275872608e+00,1.000000000000000000e+00
2.885134011035666912e+00,1.722152373371051093e+00,1.000000000000000000e+00
2.874215307556017063e+00,1.817806897340559447e+00,1.000000000000000000e+00
2.875749246166611872e+00,1.539420891579444506e+00,1.000000000000000000e+00
2.882618733463310434e+00,1.822119812275872608e+00,1.000000000000000000e+00
2.865656424989180273e+00,1.337738770405376698e+00,1.000000000000000000e+00
2.858355573513652104e+00,1.776840631460585129e+00,1.000000000000000000e+00
2.876097236529095102e+00,1.521034531342214446e+00,1.000000000000000000e+00
2.891951578823332536e+00,1.358087711883145809e+00,1.000000000000000000e+00
2.866892853415505371e+00,1.817254139949204816e+00,1.000000000000000000e+00
2.867287614061999612e+00,1.822644949818867266e+00,1.000000000000000000e+00
2.869550004570470492e+00,1.356330545446861713e+00,1.000000000000000000e+00
2.863626470366040344e+00,1.472685657857952135e+00,1.000000000000000000e+00
2.868708620244458718e+00,1.818427645528330805e+00,1.000000000000000000e+00
2.882618733463310434e+00,1.822119812275872608e+00,1.000000000000000000e+00
2.895751137819202459e+00,1.270458879172852384e+00,1.000000000000000000e+00
2.867287614061999612e+00,1.822644949818867266e+00,1.000000000000000000e+00
