m,likelihood
1.439864920381104696e+00,1.000000000000000000e+00
1.439754454371841463e+00,1.000000000000000000e+00
1.439884888322493950e+00,1.000000000000000000e+00
1.439723198542208982e+00,1.000000000000000000e+00
1.439754076117227610e+00,1.000000000000000000e+00
1.439755217620558359e+00,1.000000000000000000e+00
1.439512584574859755e+00,1.000000000000000000e+00
1.439514425530196151e+00,1.000000000000000000e+00
1.439670931271093357e+00,1.000000000000000000e+00
1.439593122955474813e+00,1.000000000000000000e+00
1.439774224446400464e+00,1.000000000000000000e+00
1.439741968458524646e+00,1.000000000000000000e+00
1.439931676974816277e+00,1.000000000000000000e+00
1.439869868465654124e+00,1.000000000000000000e+00
1.439980848927997492e+00,1.000000000000000000e+00
1.439763988029675978e+00,1.000000000000000000e+00
1.439851789753666900e+00,1.000000000000000000e+00
1.439938775359008494e+00,1.000000000000000000e+00
1.439787545313214734e+00,1.000000000000000000e+00
1.439974136706493102e+00,1.000000000000000000e+00
1.439996825274721948e+00,1.000000000000000000e+00
1.439751881483734675e+00,1.000000000000000000e+00
1.439975705990044652e+00,1.000000000000000000e+00
1.439812180168425382e+00,1.000000000000000000e+00
1.440085493106352921e+00,1.000000000000000000e+00
1.439573429907281543e+00,1.000000000000000000e+00
1.439949074703755549e+00,1.000000000000000000e+00
1.439557561709707612e+00,1.000000000000000000e+00
1.439874125112607928e+00,1.000000000000000000e+00
1.439906695165508399e+00,1.000000000000000000e+00
1.440062568718071256e+00,1.000000000000000000e+00
1.439619648320765055e+00,1.000000000000000000e+00
1.439825965221767978e+00,1.000000000000000000e+00
1.439750584441827463e+00,1.000000000000000000e+00
1.440113954228199544e+00,1.000000000000000000e+00
1.439848545401770874e+00,1.000000000000000000e+00
1.440036734340299995e+00,1.000000000000000000e+00
1.439455851655243368e+00,1.000000000000000000e+00
1.439552896118167835e+00,1.000000000000000000e+00
1.439564984694740035e+00,1.000000000000000000e+00
1.439951144065045652e+00,1.000000000000000000e+00
1.439644441102016614e+00,1.000000000000000000e+00
1.439834126295244765e+00,1.000000000000000000e+00
1.439876642608572066e+00,1.000000000000000000e+00
1.439905581321416550e+00,1.000000000000000000e+00
1.439816169135613277e+00,1.000000000000000000e+00
1.439970721158533751e+00,1.000000000000000000e+00
1.439951300039918225e+00,1.000000000000000000e+00
1.440045873345465299e+00,1.000000000000000000e+00
1.439956684112190244e+00,1.000000000000000000e+00
1.439699083983878136e+00,1.000000000000000000e+00
1.439600940796553541e+00,1.000000000000000000e+00
1.440040671436648712e+00,1.000000000000000000e+00
1.439682748457784545e+00,1.000000000000000000e+00
1.439746271769664521e+00,1.000000000000000000e+00
1.439835360668614506e+00,1.000000000000000000e+00
1.439843023584799875e+00,1.000000000000000000e+00
1.439966599354514099e+00,1.000000000000000000e+00
1.439479957461983650e+00,1.000000000000000000e+00
1.439895430873615600e+00,1.000000000000000000e+00
1.439726592011597806e+00,1.000000000000000000e+00
1.439872529232645970e+00,1.000000000000000000e+00
1.439604395836144635e+00,1.000000000000000000e+00
1.440141727636160773e+00,1.000000000000000000e+00
1.439768515917111857e+00,1.000000000000000000e+00
1.439564139599186499e+00,1.000000000000000000e+00
1.439879785458347827e+00,1.000000000000000000e+00
1.440044370319283340e+00,1.000000000000000000e+00
1.439715460812791559e+00,1.000000000000000000e+00
1.439500570839365334e+00,1.000000000000000000e+00
1.439782643040942389e+00,1.000000000000000000e+00
1.439918235883550279e+00,1.000000000000000000e+00
1.439745645886711500e+00,1.000000000000000000e+00
1.439919140006352460e+00,1.000000000000000000e+00
1.439842515199855066e+00,1.000000000000000000e+00
1.439673505578566992e+00,1.000000000000000000e+00
1.439673787481555500e+00,1.000000000000000000e+00
1.440065599342758018e+00,1.000000000000000000e+00
1.439677297636734021e+00,1.000000000000000000e+00
1.439888272432602090e+00,1.000000000000000000e+00
1.439456802749728759e+00,1.000000000000000000e+00
1.439756780315258666e+00,1.000000000000000000e+00
1.439779073255443409e+00,1.000000000000000000e+00
1.440061823275011976e+00,1.000000000000000000e+00
1.439617435072916285e+00,1.000000000000000000e+00
1.439842577662902467e+00,1.000000000000000000e+00
1.439967707426345722e+00,1.000000000000000000e+00
1.439936516608048445e+00,1.000000000000000000e+00
1.439952037250619599e+00,1.000000000000000000e+00
1.439814878134913601e+00,1.000000000000000000e+00
1.439578501599824811e+00,1.000000000000000000e+00
1.439790068869315043e+00,1.000000000000000000e+00
1.439914169260084975e+00,1.000000000000000000e+00
1.439642466358400652e+00,1.000000000000000000e+00
1.439901865013196058e+00,1.000000000000000000e+00
1.439682553470922111e+00,1.000000000000000000e+00
1.439726493697278231e+00,1.000000000000000000e+00
1.440218773408990627e+00,1.000000000000000000e+00
1.439730846014943833e+00,1.000000000000000000e+00
1.439749069533302617e+00,1.000000000000000000e+00
