m,likelihood
1.388818856451566219e+00,1.000000000000000000e+00
1.388805217551601912e+00,1.000000000000000000e+00
1.388563738429680505e+00,1.000000000000000000e+00
1.388549215981031315e+00,1.000000000000000000e+00
1.388854778561987136e+00,1.000000000000000000e+00
1.388566829270177605e+00,1.000000000000000000e+00
1.388484848710779040e+00,1.000000000000000000e+00
1.388989180604098150e+00,1.000000000000000000e+00
1.388263510832777214e+00,1.000000000000000000e+00
1.388499536233940290e+00,1.000000000000000000e+00
1.388700201002643242e+00,1.000000000000000000e+00
1.388774601917534657e+00,1.000000000000000000e+00
1.388606932369644387e+00,1.000000000000000000e+00
1.388626924604457358e+00,1.000000000000000000e+00
1.388786662946859263e+00,1.000000000000000000e+00
1.388419958576550206e+00,1.000000000000000000e+00
1.388322519277433553e+00,1.000000000000000000e+00
1.388734076768647796e+00,1.000000000000000000e+00
1.388846542068168155e+00,1.000000000000000000e+00
1.388792647442007144e+00,1.000000000000000000e+00
1.388542863187905985e+00,1.000000000000000000e+00
1.388594285663629524e+00,1.000000000000000000e+00
1.388559253465034393e+00,1.000000000000000000e+00
1.388494429841970135e+00,1.000000000000000000e+00
1.388439663922061085e+00,1.000000000000000000e+00
1.388815573862369757e+00,1.000000000000000000e+00
1.388508161856961687e+00,1.000000000000000000e+00
1.388746528593692409e+00,1.000000000000000000e+00
1.388272223992518262e+00,1.000000000000000000e+00
1.388695674429611504e+00,1.000000000000000000e+00
1.388561446023276247e+00,1.000000000000000000e+00
1.388129143935475041e+00,1.000000000000000000e+00
1.388632291147554154e+00,1.000000000000000000e+00
1.388717404977354075e+00,1.000000000000000000e+00
1.388511167642884292e+00,1.000000000000000000e+00
1.388558095084080568e+00,1.000000000000000000e+00
1.388257636900018355e+00,1.000000000000000000e+00
1.388607599521314073e+00,1.000000000000000000e+00
1.388441720996247186e+00,1.000000000000000000e+00
1.388525690929555134e+00,1.000000000000000000e+00
1.388475234531986180e+00,1.000000000000000000e+00
1.388703457704437261e+00,1.000000000000000000e+00
1.388415786511924654e+00,1.000000000000000000e+00
1.388366428942751973e+00,1.000000000000000000e+00
1.388554881286864884e+00,1.000000000000000000e+00
1.388891621782722963e+00,1.000000000000000000e+00
1.389033786542924309e+00,1.000000000000000000e+00
1.388956394916861070e+00,1.000000000000000000e+00
1.388720974013390119e+00,1.000000000000000000e+00
1.388678706262276741e+00,1.000000000000000000e+00
1.388638542974320877e+00,1.000000000000000000e+00
1.388611479659956238e+00,1.000000000000000000e+00
1.388820370923511849e+00,1.000000000000000000e+00
1.388582643594976407e+00,1.000000000000000000e+00
1.388602737001790155e+00,1.000000000000000000e+00
1.388769061168879881e+00,1.000000000000000000e+00
1.388632644796993887e+00,1.000000000000000000e+00
1.388349407947979230e+00,1.000000000000000000e+00
1.388985828842199899e+00,1.000000000000000000e+00
1.388967617954444567e+00,1.000000000000000000e+00
1.388783720915585773e+00,1.000000000000000000e+00
1.388471629635796623e+00,1.000000000000000000e+00
1.388227960904157232e+00,1.000000000000000000e+00
1.388256426693942780e+00,1.000000000000000000e+00
1.388795718857143591e+00,1.000000000000000000e+00
1.388646585890929597e+00,1.000000000000000000e+00
1.388431393053139118e+00,1.000000000000000000e+00
1.388864223448368573e+00,1.000000000000000000e+00
1.388757736574224966e+00,1.000000000000000000e+00
1.388576332326070251e+00,1.000000000000000000e+00
1.388452985212279334e+00,1.000000000000000000e+00
1.388907876712634160e+00,1.000000000000000000e+00
1.389050078329594928e+00,1.000000000000000000e+00
1.388889132442714835e+00,1.000000000000000000e+00
1.388526139318171149e+00,1.000000000000000000e+00
1.388860656805802618e+00,1.000000000000000000e+00
1.389060886210812473e+00,1.000000000000000000e+00
1.388456107406248252e+00,1.000000000000000000e+00
1.388281932905991001e+00,1.000000000000000000e+00
1.388433342640847057e+00,1.000000000000000000e+00
1.388581400197769433e+00,1.000000000000000000e+00
1.388319026154042790e+00,1.000000000000000000e+00
1.388639914812649589e+00,1.000000000000000000e+00
1.388529171111605232e+00,1.000000000000000000e+00
1.388608617473840123e+00,1.000000000000000000e+00
1.388714599676610817e+00,1.000000000000000000e+00
1.388602488408659630e+00,1.000000000000000000e+00
1.389079628689106949e+00,1.000000000000000000e+00
1.388511918627419295e+00,1.000000000000000000e+00
1.388650311399535431e+00,1.000000000000000000e+00
1.388587516018002344e+00,1.000000000000000000e+00
1.388419876551725052e+00,1.000000000000000000e+00
1.388580609245467778e+00,1.000000000000000000e+00
1.388675585562140657e+00,1.000000000000000000e+00
1.388792936013267809e+00,1.000000000000000000e+00
1.388335863168744577e+00,1.000000000000000000e+00
1.388575595709372834e+00,1.000000000000000000e+00
1.388479961587379741e+00,1.000000000000000000e+00
1.388481730036310813e+00,1.000000000000000000e+00
1.388512904506620460e+00,1.000000000000000000e+00
