m,likelihood
1.371979796094901838e+00,1.000000000000000000e+00
1.375890405453876530e+00,1.000000000000000000e+00
1.356128995669983128e+00,1.000000000000000000e+00
1.351535157129175380e+00,1.000000000000000000e+00
1.361695715033127918e+00,1.000000000000000000e+00
1.361441072439722344e+00,1.000000000000000000e+00
1.367309501659290216e+00,1.000000000000000000e+00
1.368533972851109892e+00,1.000000000000000000e+00
1.355668074500086195e+00,1.000000000000000000e+00
1.365999998120359660e+00,1.000000000000000000e+00
1.330028102527027301e+00,1.000000000000000000e+00
1.345393289771654732e+00,1.000000000000000000e+00
1.361051226555875182e+00,1.000000000000000000e+00
1.355570351986646660e+00,1.000000000000000000e+00
1.360102729352376416e+00,1.000000000000000000e+00
1.377078057784632881e+00,1.000000000000000000e+00
1.355229796578258483e+00,1.000000000000000000e+00
1.354152165979979561e+00,1.000000000000000000e+00
1.375321432961475576e+00,1.000000000000000000e+00
1.354786513909260748e+00,1.000000000000000000e+00
1.353785291152084458e+00,1.000000000000000000e+00
1.344614219767002128e+00,1.000000000000000000e+00
1.373774518181487103e+00,1.000000000000000000e+00
1.345387283478346463e+00,1.000000000000000000e+00
1.352519121996879514e+00,1.000000000000000000e+00
1.355261917386600956e+00,1.000000000000000000e+00
1.362404202252669450e+00,1.000000000000000000e+00
1.357941661268519784e+00,1.000000000000000000e+00
1.366715070421756328e+00,1.000000000000000000e+00
1.354708540777956438e+00,1.000000000000000000e+00
1.362584144403221620e+00,1.000000000000000000e+00
1.357586265990178509e+00,1.000000000000000000e+00
1.365549084864443152e+00,1.000000000000000000e+00
1.345673344325231335e+00,1.000000000000000000e+00
1.360334384239054506e+00,1.000000000000000000e+00
1.380234454744965200e+00,1.000000000000000000e+00
1.359925261990840184e+00,1.000000000000000000e+00
1.363687158422742796e+00,1.000000000000000000e+00
1.354308695857871836e+00,1.000000000000000000e+00
1.361087495121555468e+00,1.000000000000000000e+00
1.336262733487769250e+00,1.000000000000000000e+00
1.383688346209950293e+00,1.000000000000000000e+00
1.330364004460395488e+00,1.000000000000000000e+00
1.339365268094778516e+00,1.000000000000000000e+00
1.335022113268850008e+00,1.000000000000000000e+00
1.352965003933336741e+00,1.000000000000000000e+00
1.368143938214515076e+00,1.000000000000000000e+00
1.344482676879616090e+00,1.000000000000000000e+00
1.339925273843842524e+00,1.000000000000000000e+00
1.355526138732370267e+00,1.000000000000000000e+00
1.356018762511597364e+00,1.000000000000000000e+00
1.355090103502752941e+00,1.000000000000000000e+00
1.376052769483536498e+00,1.000000000000000000e+00
1.348413216566565653e+00,1.000000000000000000e+00
1.361184129612335481e+00,1.000000000000000000e+00
1.356716410133983253e+00,1.000000000000000000e+00
1.362921199103121150e+00,1.000000000000000000e+00
1.346656425042643379e+00,1.000000000000000000e+00
1.355287969119703284e+00,1.000000000000000000e+00
1.351044568752765462e+00,1.000000000000000000e+00
1.358710196004887516e+00,1.000000000000000000e+00
1.348754156846307506e+00,1.000000000000000000e+00
1.350686131197739170e+00,1.000000000000000000e+00
1.368498818395607719e+00,1.000000000000000000e+00
1.355464519822530356e+00,1.000000000000000000e+00
1.363157292024325562e+00,1.000000000000000000e+00
1.336326898147536690e+00,1.000000000000000000e+00
1.349465260142255651e+00,1.000000000000000000e+00
1.350661940434700004e+00,1.000000000000000000e+00
1.374933905601341655e+00,1.000000000000000000e+00
1.354832663077556898e+00,1.000000000000000000e+00
1.352405210083912346e+00,1.000000000000000000e+00
1.347667445614471937e+00,1.000000000000000000e+00
1.365559335829900300e+00,1.000000000000000000e+00
1.357905210944652330e+00,1.000000000000000000e+00
1.359312070942479300e+00,1.000000000000000000e+00
1.341288362783071841e+00,1.000000000000000000e+00
1.343148174642034620e+00,1.000000000000000000e+00
1.379926943280506357e+00,1.000000000000000000e+00
1.353831707992334321e+00,1.000000000000000000e+00
1.373692832531437258e+00,1.000000000000000000e+00
1.359547929401031086e+00,1.000000000000000000e+00
1.362241307333909024e+00,1.000000000000000000e+00
1.352399941575965103e+00,1.000000000000000000e+00
1.352855242422880577e+00,1.000000000000000000e+00
1.352084287559134346e+00,1.000000000000000000e+00
1.365972487127881774e+00,1.000000000000000000e+00
1.354497850565233641e+00,1.000000000000000000e+00
1.338559124978954351e+00,1.000000000000000000e+00
1.353685534436248838e+00,1.000000000000000000e+00
1.364984278931669959e+00,1.000000000000000000e+00
1.336978888950128397e+00,1.000000000000000000e+00
1.345077282416546671e+00,1.000000000000000000e+00
1.347322788673220639e+00,1.000000000000000000e+00
1.356389083490814329e+00,1.000000000000000000e+00
1.353917412914558360e+00,1.000000000000000000e+00
1.347629002845317281e+00,1.000000000000000000e+00
1.356592364693915975e+00,1.000000000000000000e+00
1.351569659760909925e+00,1.000000000000000000e+00
1.362896046569881170e+00,1.000000000000000000e+00
