m,likelihood
1.357052730507022131e+00,1.000000000000000000e+00
1.343697551205203178e+00,1.000000000000000000e+00
1.351290945964035206e+00,1.000000000000000000e+00
1.345403277622630123e+00,1.000000000000000000e+00
1.347749341128843703e+00,1.000000000000000000e+00
1.357646171921094158e+00,1.000000000000000000e+00
1.353411834189499618e+00,1.000000000000000000e+00
1.347042095541147066e+00,1.000000000000000000e+00
1.368230355882327665e+00,1.000000000000000000e+00
1.383337421562292668e+00,1.000000000000000000e+00
1.360031010945018659e+00,1.000000000000000000e+00
1.365293436491922030e+00,1.000000000000000000e+00
1.367269912953354094e+00,1.000000000000000000e+00
1.364424204921061090e+00,1.000000000000000000e+00
1.364645868060305745e+00,1.000000000000000000e+00
1.385090177860583749e+00,1.000000000000000000e+00
1.366940857477597859e+00,1.000000000000000000e+00
1.371288161542752571e+00,1.000000000000000000e+00
1.367993532510860977e+00,1.000000000000000000e+00
1.350227267350753380e+00,1.000000000000000000e+00
1.341325616443109325e+00,1.000000000000000000e+00
1.366205663004401716e+00,1.000000000000000000e+00
1.339742701516914103e+00,1.000000000000000000e+00
1.344125417463062133e+00,1.000000000000000000e+00
1.346289492561470791e+00,1.000000000000000000e+00
1.350509866087197031e+00,1.000000000000000000e+00
1.356583831114834160e+00,1.000000000000000000e+00
1.348447907493294906e+00,1.000000000000000000e+00
1.366980524297272126e+00,1.000000000000000000e+00
1.344961004447479347e+00,1.000000000000000000e+00
1.376947645550453236e+00,1.000000000000000000e+00
1.356755586792559587e+00,1.000000000000000000e+00
1.350544644940894212e+00,1.000000000000000000e+00
1.355731170804442609e+00,1.000000000000000000e+00
1.366233970169911105e+00,1.000000000000000000e+00
1.358622832114860790e+00,1.000000000000000000e+00
1.363482226390952512e+00,1.000000000000000000e+00
1.353155919609901225e+00,1.000000000000000000e+00
1.365563193215562077e+00,1.000000000000000000e+00
1.355907058651562025e+00,1.000000000000000000e+00
1.352718020695361290e+00,1.000000000000000000e+00
1.348492917872328833e+00,1.000000000000000000e+00
1.349218495515961846e+00,1.000000000000000000e+00
1.350869716917051377e+00,1.000000000000000000e+00
1.378237577749182430e+00,1.000000000000000000e+00
1.356930948604639253e+00,1.000000000000000000e+00
1.352810314352801191e+00,1.000000000000000000e+00
1.361666796420599734e+00,1.000000000000000000e+00
1.359602780633335728e+00,1.000000000000000000e+00
1.373400449127043288e+00,1.000000000000000000e+00
1.353969933116458524e+00,1.000000000000000000e+00
1.354654631629523820e+00,1.000000000000000000e+00
1.348802943652072539e+00,1.000000000000000000e+00
1.347813951230105056e+00,1.000000000000000000e+00
1.362367314794581841e+00,1.000000000000000000e+00
1.365192687854291931e+00,1.000000000000000000e+00
1.371697862296158199e+00,1.000000000000000000e+00
1.341683345238505520e+00,1.000000000000000000e+00
1.362087048089123398e+00,1.000000000000000000e+00
1.340131932373110901e+00,1.000000000000000000e+00
1.353260038144597610e+00,1.000000000000000000e+00
1.350934300483523698e+00,1.000000000000000000e+00
1.357296658245181087e+00,1.000000000000000000e+00
1.357942293844417891e+00,1.000000000000000000e+00
1.352330799029270558e+00,1.000000000000000000e+00
1.349070615824029540e+00,1.000000000000000000e+00
1.342431085229153886e+00,1.000000000000000000e+00
1.353047619053367789e+00,1.000000000000000000e+00
1.363790762510920240e+00,1.000000000000000000e+00
1.358673872882891098e+00,1.000000000000000000e+00
1.350842531153620962e+00,1.000000000000000000e+00
1.355440765210900178e+00,1.000000000000000000e+00
1.343349481525097699e+00,1.000000000000000000e+00
1.365438295260101187e+00,1.000000000000000000e+00
1.354377293995213449e+00,1.000000000000000000e+00
1.355350354976176286e+00,1.000000000000000000e+00
1.356809634448830515e+00,1.000000000000000000e+00
1.343699933264757007e+00,1.000000000000000000e+00
1.367635847258886317e+00,1.000000000000000000e+00
1.364756557750038679e+00,1.000000000000000000e+00
1.349541301416836037e+00,1.000000000000000000e+00
1.374900814386579295e+00,1.000000000000000000e+00
1.353283993463336055e+00,1.000000000000000000e+00
1.346983921055579403e+00,1.000000000000000000e+00
1.348882067362613180e+00,1.000000000000000000e+00
1.330778616676486115e+00,1.000000000000000000e+00
1.351007624366859838e+00,1.000000000000000000e+00
1.380976460942076711e+00,1.000000000000000000e+00
1.356131117213954740e+00,1.000000000000000000e+00
1.347785846571951440e+00,1.000000000000000000e+00
1.365149692083610145e+00,1.000000000000000000e+00
1.364177087573607894e+00,1.000000000000000000e+00
1.357943484015368796e+00,1.000000000000000000e+00
1.348012581428980283e+00,1.000000000000000000e+00
1.349363347281743453e+00,1.000000000000000000e+00
1.359683307690995768e+00,1.000000000000000000e+00
1.361807895582259675e+00,1.000000000000000000e+00
1.373289220190572868e+00,1.000000000000000000e+00
1.344043527957878181e+00,1.000000000000000000e+00
1.355900190506179825e+00,1.000000000000000000e+00
