m,likelihood
1.552971512105289831e+00,1.000000000000000000e+00
1.558203102786013483e+00,1.000000000000000000e+00
1.549923356437965083e+00,1.000000000000000000e+00
1.558236216000109975e+00,1.000000000000000000e+00
1.560828934622197073e+00,1.000000000000000000e+00
1.564669774014487480e+00,1.000000000000000000e+00
1.554968274879811707e+00,1.000000000000000000e+00
1.557067915333673502e+00,1.000000000000000000e+00
1.556872880335574694e+00,1.000000000000000000e+00
1.556350176554992526e+00,1.000000000000000000e+00
1.562759870638177340e+00,1.000000000000000000e+00
1.560360724986429082e+00,1.000000000000000000e+00
1.544414769447830293e+00,1.000000000000000000e+00
1.555768185088105104e+00,1.000000000000000000e+00
1.562422622316784082e+00,1.000000000000000000e+00
1.550377727574471676e+00,1.000000000000000000e+00
1.560581793678779805e+00,1.000000000000000000e+00
1.561553681411488315e+00,1.000000000000000000e+00
1.550643942290405697e+00,1.000000000000000000e+00
1.560960981503415335e+00,1.000000000000000000e+00
1.559700003899895604e+00,1.000000000000000000e+00
1.561431152623944829e+00,1.000000000000000000e+00
1.551910906601425166e+00,1.000000000000000000e+00
1.554153189254405598e+00,1.000000000000000000e+00
1.566469075982158010e+00,1.000000000000000000e+00
1.555841321433819369e+00,1.000000000000000000e+00
1.553403359008996176e+00,1.000000000000000000e+00
1.559999780925189095e+00,1.000000000000000000e+00
1.552941822617193601e+00,1.000000000000000000e+00
1.559676294398881780e+00,1.000000000000000000e+00
1.562004006605244522e+00,1.000000000000000000e+00
1.553734494471674887e+00,1.000000000000000000e+00
1.549714669150703994e+00,1.000000000000000000e+00
1.556958699960668380e+00,1.000000000000000000e+00
1.562012554072120807e+00,1.000000000000000000e+00
1.552560796594461223e+00,1.000000000000000000e+00
1.561157829646856676e+00,1.000000000000000000e+00
1.549803162191273120e+00,1.000000000000000000e+00
1.562000664031026220e+00,1.000000000000000000e+00
1.559025043587497716e+00,1.000000000000000000e+00
1.557632776805431218e+00,1.000000000000000000e+00
1.560075696025819081e+00,1.000000000000000000e+00
1.559307211669459292e+00,1.000000000000000000e+00
1.562989840735185210e+00,1.000000000000000000e+00
1.555148193704280812e+00,1.000000000000000000e+00
1.557128085565230746e+00,1.000000000000000000e+00
1.565502921819958759e+00,1.000000000000000000e+00
1.565417121600018779e+00,1.000000000000000000e+00
1.552187788623914821e+00,1.000000000000000000e+00
1.567178975362985671e+00,1.000000000000000000e+00
1.562669218609108457e+00,1.000000000000000000e+00
1.558540552834588144e+00,1.000000000000000000e+00
1.567460500792459799e+00,1.000000000000000000e+00
1.554286292340348208e+00,1.000000000000000000e+00
1.557346283951848376e+00,1.000000000000000000e+00
1.562229710343451039e+00,1.000000000000000000e+00
1.553361743614307677e+00,1.000000000000000000e+00
1.555427774190714096e+00,1.000000000000000000e+00
1.558095992953854703e+00,1.000000000000000000e+00
1.562663505377443141e+00,1.000000000000000000e+00
1.555871404104239852e+00,1.000000000000000000e+00
1.557972643058199935e+00,1.000000000000000000e+00
1.552336025489865046e+00,1.000000000000000000e+00
1.557277404740378790e+00,1.000000000000000000e+00
1.562145439151384485e+00,1.000000000000000000e+00
1.558382283734402574e+00,1.000000000000000000e+00
1.553984637817398262e+00,1.000000000000000000e+00
1.565485240795076338e+00,1.000000000000000000e+00
1.559611416293899433e+00,1.000000000000000000e+00
1.555626403245905509e+00,1.000000000000000000e+00
1.562193253684467376e+00,1.000000000000000000e+00
1.567424024486592904e+00,1.000000000000000000e+00
1.559265323163665729e+00,1.000000000000000000e+00
1.553313552461345060e+00,1.000000000000000000e+00
1.556924728514119227e+00,1.000000000000000000e+00
1.563187964181562473e+00,1.000000000000000000e+00
1.557080883481425371e+00,1.000000000000000000e+00
1.553693449974692609e+00,1.000000000000000000e+00
1.557651869579684822e+00,1.000000000000000000e+00
1.558699258037845148e+00,1.000000000000000000e+00
1.560537347393246899e+00,1.000000000000000000e+00
1.560967439245014354e+00,1.000000000000000000e+00
1.563136114659163800e+00,1.000000000000000000e+00
1.563452933396354272e+00,1.000000000000000000e+00
1.554173864795075355e+00,1.000000000000000000e+00
1.560550905643222963e+00,1.000000000000000000e+00
1.553342758618364794e+00,1.000000000000000000e+00
1.554592512636340906e+00,1.000000000000000000e+00
1.557309688174971951e+00,1.000000000000000000e+00
1.556700249189647556e+00,1.000000000000000000e+00
1.565864933157974592e+00,1.000000000000000000e+00
1.563686835556326482e+00,1.000000000000000000e+00
1.556489176814499276e+00,1.000000000000000000e+00
1.558061767091394767e+00,1.000000000000000000e+00
1.564750130910504300e+00,1.000000000000000000e+00
1.555562893129519786e+00,1.000000000000000000e+00
1.551194257016723199e+00,1.000000000000000000e+00
1.553478065169724198e+00,1.000000000000000000e+00
1.558915562503624841e+00,1.000000000000000000e+00
1.561022560084308841e+00,1.000000000000000000e+00
