m,likelihood
1.178055783417890856e+00,1.000000000000000000e+00
1.172290841184915777e+00,1.000000000000000000e+00
1.172176692784533403e+00,1.000000000000000000e+00
1.169458234877653435e+00,1.000000000000000000e+00
1.170886098995211899e+00,1.000000000000000000e+00
1.171141909216310228e+00,1.000000000000000000e+00
1.169795479450407738e+00,1.000000000000000000e+00
1.169550255983420550e+00,1.000000000000000000e+00
1.174228570621179468e+00,1.000000000000000000e+00
1.177958245506977697e+00,1.000000000000000000e+00
1.175102164959114459e+00,1.000000000000000000e+00
1.175345872581571305e+00,1.000000000000000000e+00
1.171496461056361849e+00,1.000000000000000000e+00
1.175000680869266789e+00,1.000000000000000000e+00
1.175765233496999018e+00,1.000000000000000000e+00
1.182055096197440980e+00,1.000000000000000000e+00
1.172530456850558345e+00,1.000000000000000000e+00
1.178041632973196862e+00,1.000000000000000000e+00
1.173702968124336499e+00,1.000000000000000000e+00
1.169254052009297329e+00,1.000000000000000000e+00
1.177395409299393236e+00,1.000000000000000000e+00
1.171661733795186455e+00,1.000000000000000000e+00
1.178692929065548123e+00,1.000000000000000000e+00
1.170290188491027727e+00,1.000000000000000000e+00
1.167814389881632664e+00,1.000000000000000000e+00
1.172443993626270053e+00,1.000000000000000000e+00
1.173922319185966678e+00,1.000000000000000000e+00
1.179378526490722390e+00,1.000000000000000000e+00
1.175014332569640052e+00,1.000000000000000000e+00
1.179748387434827128e+00,1.000000000000000000e+00
1.177836595085832716e+00,1.000000000000000000e+00
1.171614553114417978e+00,1.000000000000000000e+00
1.172416341652670502e+00,1.000000000000000000e+00
1.174461560759957113e+00,1.000000000000000000e+00
1.172495511342560137e+00,1.000000000000000000e+00
1.176409209644113441e+00,1.000000000000000000e+00
1.178571568465146990e+00,1.000000000000000000e+00
1.170930018874627221e+00,1.000000000000000000e+00
1.171728561034338201e+00,1.000000000000000000e+00
1.171166855247262495e+00,1.000000000000000000e+00
1.175311346414419367e+00,1.000000000000000000e+00
1.172921740715261896e+00,1.000000000000000000e+00
1.172092335505631411e+00,1.000000000000000000e+00
1.176651149052817980e+00,1.000000000000000000e+00
1.170007332971053637e+00,1.000000000000000000e+00
1.166480095671764916e+00,1.000000000000000000e+00
1.179133537417943467e+00,1.000000000000000000e+00
1.171594635940476081e+00,1.000000000000000000e+00
1.171491907678183120e+00,1.000000000000000000e+00
1.171162966452015564e+00,1.000000000000000000e+00
1.174304714313342934e+00,1.000000000000000000e+00
1.166998607998076531e+00,1.000000000000000000e+00
1.178499905593982433e+00,1.000000000000000000e+00
1.179518382061835569e+00,1.000000000000000000e+00
1.172559726822556936e+00,1.000000000000000000e+00
1.177129915714673070e+00,1.000000000000000000e+00
1.177737482371408850e+00,1.000000000000000000e+00
1.181317917907809711e+00,1.000000000000000000e+00
1.177931791572954578e+00,1.000000000000000000e+00
1.180630731836684211e+00,1.000000000000000000e+00
1.174460956952146917e+00,1.000000000000000000e+00
1.172717108042480305e+00,1.000000000000000000e+00
1.177976161245968045e+00,1.000000000000000000e+00
1.169560137482337447e+00,1.000000000000000000e+00
1.176402062263025572e+00,1.000000000000000000e+00
1.172281074951853075e+00,1.000000000000000000e+00
1.172410599555345767e+00,1.000000000000000000e+00
1.179417426151271764e+00,1.000000000000000000e+00
1.172234933849778393e+00,1.000000000000000000e+00
1.180125269540855504e+00,1.000000000000000000e+00
1.170368234094366633e+00,1.000000000000000000e+00
1.178251157733942511e+00,1.000000000000000000e+00
1.180671025251439632e+00,1.000000000000000000e+00
1.174961353412529164e+00,1.000000000000000000e+00
1.174059754383539378e+00,1.000000000000000000e+00
1.176869283160939972e+00,1.000000000000000000e+00
1.173144591479711174e+00,1.000000000000000000e+00
1.165872634965085863e+00,1.000000000000000000e+00
1.175332907346428479e+00,1.000000000000000000e+00
1.175624931447394106e+00,1.000000000000000000e+00
1.176488415240444008e+00,1.000000000000000000e+00
1.172055023393318685e+00,1.000000000000000000e+00
1.174498832455583619e+00,1.000000000000000000e+00
1.174522726739399614e+00,1.000000000000000000e+00
1.178401653449585140e+00,1.000000000000000000e+00
1.168678430637935639e+00,1.000000000000000000e+00
1.166671493127251713e+00,1.000000000000000000e+00
1.174767885522386868e+00,1.000000000000000000e+00
1.179834258870643193e+00,1.000000000000000000e+00
1.171290519986565970e+00,1.000000000000000000e+00
1.169271364852301875e+00,1.000000000000000000e+00
1.173873768301514575e+00,1.000000000000000000e+00
1.177862449553050306e+00,1.000000000000000000e+00
1.177529893236506808e+00,1.000000000000000000e+00
1.171962997763951186e+00,1.000000000000000000e+00
1.178902678201382281e+00,1.000000000000000000e+00
1.175203632628178951e+00,1.000000000000000000e+00
1.175513579632004868e+00,1.000000000000000000e+00
1.174729353256989572e+00,1.000000000000000000e+00
1.174409815963128212e+00,1.000000000000000000e+00
