m,likelihood
1.338027433225529084e+00,1.000000000000000000e+00
1.338144733990288326e+00,1.000000000000000000e+00
1.338239253354785330e+00,1.000000000000000000e+00
1.339389424848745458e+00,1.000000000000000000e+00
1.337086006224267543e+00,1.000000000000000000e+00
1.338565045723866698e+00,1.000000000000000000e+00
1.338624800606757370e+00,1.000000000000000000e+00
1.339904291868544428e+00,1.000000000000000000e+00
1.339034031003205838e+00,1.000000000000000000e+00
1.338042292438939906e+00,1.000000000000000000e+00
1.338904011683379913e+00,1.000000000000000000e+00
1.339488401124349304e+00,1.000000000000000000e+00
1.336799823220965910e+00,1.000000000000000000e+00
1.338529620186471814e+00,1.000000000000000000e+00
1.338600592652818611e+00,1.000000000000000000e+00
1.339451336950561844e+00,1.000000000000000000e+00
1.337089890265425129e+00,1.000000000000000000e+00
1.337543041732788263e+00,1.000000000000000000e+00
1.337147163129927208e+00,1.000000000000000000e+00
1.338384866321611577e+00,1.000000000000000000e+00
1.338073220209314629e+00,1.000000000000000000e+00
1.337884514609475106e+00,1.000000000000000000e+00
1.337505316461751192e+00,1.000000000000000000e+00
1.337863573544628482e+00,1.000000000000000000e+00
1.338276407551111769e+00,1.000000000000000000e+00
1.338492689702639016e+00,1.000000000000000000e+00
1.337874136785297319e+00,1.000000000000000000e+00
1.336966615095662503e+00,1.000000000000000000e+00
1.338867210815710029e+00,1.000000000000000000e+00
1.337957046408062789e+00,1.000000000000000000e+00
1.338006897101589709e+00,1.000000000000000000e+00
1.338218420760698635e+00,1.000000000000000000e+00
1.337962360312643373e+00,1.000000000000000000e+00
1.337724096983635480e+00,1.000000000000000000e+00
1.338806865392780043e+00,1.000000000000000000e+00
1.337949903003471164e+00,1.000000000000000000e+00
1.337928256819621575e+00,1.000000000000000000e+00
1.338012433373667376e+00,1.000000000000000000e+00
1.338433459603247444e+00,1.000000000000000000e+00
1.338473658344456974e+00,1.000000000000000000e+00
1.338187574303367988e+00,1.000000000000000000e+00
1.338375617752236790e+00,1.000000000000000000e+00
1.338059170281126642e+00,1.000000000000000000e+00
1.338047519179782485e+00,1.000000000000000000e+00
1.338611793111664117e+00,1.000000000000000000e+00
1.338696055719206246e+00,1.000000000000000000e+00
1.337471072097749847e+00,1.000000000000000000e+00
1.338169162508651588e+00,1.000000000000000000e+00
1.338273517204999097e+00,1.000000000000000000e+00
1.337751899151957913e+00,1.000000000000000000e+00
1.337542809555607892e+00,1.000000000000000000e+00
1.339328392700332326e+00,1.000000000000000000e+00
1.337785944128335069e+00,1.000000000000000000e+00
1.338243410600425065e+00,1.000000000000000000e+00
1.338004239740234302e+00,1.000000000000000000e+00
1.338345396601687165e+00,1.000000000000000000e+00
1.338408096101765699e+00,1.000000000000000000e+00
1.339370664606544414e+00,1.000000000000000000e+00
1.337083369511975040e+00,1.000000000000000000e+00
1.338432617861587071e+00,1.000000000000000000e+00
1.338131631447962544e+00,1.000000000000000000e+00
1.338860505115710531e+00,1.000000000000000000e+00
1.337705001927056214e+00,1.000000000000000000e+00
1.336891329647765803e+00,1.000000000000000000e+00
1.338141419936649701e+00,1.000000000000000000e+00
1.337779830710094098e+00,1.000000000000000000e+00
1.338948298851842189e+00,1.000000000000000000e+00
1.338186640274171113e+00,1.000000000000000000e+00
1.339259566702889925e+00,1.000000000000000000e+00
1.337707779847129741e+00,1.000000000000000000e+00
1.338666743823899941e+00,1.000000000000000000e+00
1.338079459367391477e+00,1.000000000000000000e+00
1.337882264821227851e+00,1.000000000000000000e+00
1.338038543294592708e+00,1.000000000000000000e+00
1.339004271105251442e+00,1.000000000000000000e+00
1.336645708364831986e+00,1.000000000000000000e+00
1.340084458804517320e+00,1.000000000000000000e+00
1.337325844037181577e+00,1.000000000000000000e+00
1.338154490789383644e+00,1.000000000000000000e+00
1.338193673296802055e+00,1.000000000000000000e+00
1.336592515054795038e+00,1.000000000000000000e+00
1.337688399829243258e+00,1.000000000000000000e+00
1.338573737808783637e+00,1.000000000000000000e+00
1.337068485969652443e+00,1.000000000000000000e+00
1.338051566327327802e+00,1.000000000000000000e+00
1.339152561782778639e+00,1.000000000000000000e+00
1.337549187252150995e+00,1.000000000000000000e+00
1.337299440801710704e+00,1.000000000000000000e+00
1.336952447570963987e+00,1.000000000000000000e+00
1.338769689515248551e+00,1.000000000000000000e+00
1.337584108126146587e+00,1.000000000000000000e+00
1.337351109510417801e+00,1.000000000000000000e+00
1.337856909118440019e+00,1.000000000000000000e+00
1.338574733467965405e+00,1.000000000000000000e+00
1.337537496091752987e+00,1.000000000000000000e+00
1.338129284514442130e+00,1.000000000000000000e+00
1.336739137381507403e+00,1.000000000000000000e+00
1.336486582300713044e+00,1.000000000000000000e+00
1.338509857351540377e+00,1.000000000000000000e+00
1.338511687402502037e+00,1.000000000000000000e+00
