m,likelihood
1.284571988329415770e+00,1.000000000000000000e+00
1.294070511768124154e+00,1.000000000000000000e+00
1.333540392704023470e+00,1.000000000000000000e+00
1.341936439663249603e+00,1.000000000000000000e+00
1.349933956003016355e+00,1.000000000000000000e+00
1.309617079441494969e+00,1.000000000000000000e+00
1.304800818888160796e+00,1.000000000000000000e+00
1.311591772347374452e+00,1.000000000000000000e+00
1.322549299949546509e+00,1.000000000000000000e+00
1.281202875581000766e+00,1.000000000000000000e+00
1.317487506110359918e+00,1.000000000000000000e+00
1.329605634858081586e+00,1.000000000000000000e+00
1.341730252151940750e+00,1.000000000000000000e+00
1.317490540992777293e+00,1.000000000000000000e+00
1.329944606270289320e+00,1.000000000000000000e+00
1.317630019596740754e+00,1.000000000000000000e+00
1.300493305193314075e+00,1.000000000000000000e+00
1.329832867018727161e+00,1.000000000000000000e+00
1.305053848437028208e+00,1.000000000000000000e+00
1.313826936687136904e+00,1.000000000000000000e+00
1.279424514680629343e+00,1.000000000000000000e+00
1.324397610795344349e+00,1.000000000000000000e+00
1.299302343251762970e+00,1.000000000000000000e+00
1.314894221663957641e+00,1.000000000000000000e+00
1.298852361056918925e+00,1.000000000000000000e+00
1.306174022298966841e+00,1.000000000000000000e+00
1.320409791463922566e+00,1.000000000000000000e+00
1.293046764061178466e+00,1.000000000000000000e+00
1.294604137434512969e+00,1.000000000000000000e+00
1.322574433410392825e+00,1.000000000000000000e+00
1.338292043555019850e+00,1.000000000000000000e+00
1.327455725047249624e+00,1.000000000000000000e+00
1.318409070139581862e+00,1.000000000000000000e+00
1.315873452783037134e+00,1.000000000000000000e+00
1.294121922676723768e+00,1.000000000000000000e+00
1.303175315308694682e+00,1.000000000000000000e+00
1.320859441444522497e+00,1.000000000000000000e+00
1.288679567990999475e+00,1.000000000000000000e+00
1.303850591392094360e+00,1.000000000000000000e+00
1.316184390450415354e+00,1.000000000000000000e+00
1.306525078825971464e+00,1.000000000000000000e+00
1.318284035152282652e+00,1.000000000000000000e+00
1.300632249209583868e+00,1.000000000000000000e+00
1.316157604637094414e+00,1.000000000000000000e+00
1.329563080344046799e+00,1.000000000000000000e+00
1.329564002829174418e+00,1.000000000000000000e+00
1.282922559044810562e+00,1.000000000000000000e+00
1.309134161345936409e+00,1.000000000000000000e+00
1.300402815584825067e+00,1.000000000000000000e+00
1.334729988583453597e+00,1.000000000000000000e+00
1.293144966587744582e+00,1.000000000000000000e+00
1.337555329548164362e+00,1.000000000000000000e+00
1.311940959733523870e+00,1.000000000000000000e+00
1.329644392741446746e+00,1.000000000000000000e+00
1.326800388143657639e+00,1.000000000000000000e+00
1.316242036847307784e+00,1.000000000000000000e+00
1.295052300611675866e+00,1.000000000000000000e+00
1.292193944451665022e+00,1.000000000000000000e+00
1.320531096353563694e+00,1.000000000000000000e+00
1.319929526440606349e+00,1.000000000000000000e+00
1.312301954931319070e+00,1.000000000000000000e+00
1.313435018237916641e+00,1.000000000000000000e+00
1.322932528309565647e+00,1.000000000000000000e+00
1.309042605743937493e+00,1.000000000000000000e+00
1.313065157003746153e+00,1.000000000000000000e+00
1.294158706536300940e+00,1.000000000000000000e+00
1.331482622698257456e+00,1.000000000000000000e+00
1.332036954668033735e+00,1.000000000000000000e+00
1.303761943662401279e+00,1.000000000000000000e+00
1.311407021347485991e+00,1.000000000000000000e+00
1.308862113256589410e+00,1.000000000000000000e+00
1.325256070729812441e+00,1.000000000000000000e+00
1.326895808010621236e+00,1.000000000000000000e+00
1.302235267497189097e+00,1.000000000000000000e+00
1.323647405683099798e+00,1.000000000000000000e+00
1.325739543040508117e+00,1.000000000000000000e+00
1.304220155131823100e+00,1.000000000000000000e+00
1.303933642467024479e+00,1.000000000000000000e+00
1.310336435133994337e+00,1.000000000000000000e+00
1.288616577431462629e+00,1.000000000000000000e+00
1.336227941791519935e+00,1.000000000000000000e+00
1.292936624612334384e+00,1.000000000000000000e+00
1.344521382139987509e+00,1.000000000000000000e+00
1.342105472543235978e+00,1.000000000000000000e+00
1.324995772852228582e+00,1.000000000000000000e+00
1.293127796064691637e+00,1.000000000000000000e+00
1.313602866226691201e+00,1.000000000000000000e+00
1.330736429361210948e+00,1.000000000000000000e+00
1.301335209556086170e+00,1.000000000000000000e+00
1.337899610156751518e+00,1.000000000000000000e+00
1.321552975186833789e+00,1.000000000000000000e+00
1.334744602608729513e+00,1.000000000000000000e+00
1.309580155577488192e+00,1.000000000000000000e+00
1.325396321192453097e+00,1.000000000000000000e+00
1.308166804300515462e+00,1.000000000000000000e+00
1.319180485935041336e+00,1.000000000000000000e+00
1.316469556939223740e+00,1.000000000000000000e+00
1.311587321683481244e+00,1.000000000000000000e+00
1.314316384005626226e+00,1.000000000000000000e+00
1.325764108853163092e+00,1.000000000000000000e+00
