m,likelihood
1.239090550902379517e+00,1.000000000000000000e+00
1.264654340460774407e+00,1.000000000000000000e+00
1.264194986402639387e+00,1.000000000000000000e+00
1.243445107770914992e+00,1.000000000000000000e+00
1.285952734401867525e+00,1.000000000000000000e+00
1.271178378693378797e+00,1.000000000000000000e+00
1.253883582114398987e+00,1.000000000000000000e+00
1.224257659960587663e+00,1.000000000000000000e+00
1.270988899845247877e+00,1.000000000000000000e+00
1.234551559317972336e+00,1.000000000000000000e+00
1.237968300120245946e+00,1.000000000000000000e+00
1.245600977135587373e+00,1.000000000000000000e+00
1.254811495119579012e+00,1.000000000000000000e+00
1.244283556576635696e+00,1.000000000000000000e+00
1.226289456396802979e+00,1.000000000000000000e+00
1.298072958930040599e+00,1.000000000000000000e+00
1.290673688061696245e+00,1.000000000000000000e+00
1.257293758034335962e+00,1.000000000000000000e+00
1.255241898768926889e+00,1.000000000000000000e+00
1.254086093906821242e+00,1.000000000000000000e+00
1.247267436134503527e+00,1.000000000000000000e+00
1.262236490004469802e+00,1.000000000000000000e+00
1.261785030597406987e+00,1.000000000000000000e+00
1.259948099677928868e+00,1.000000000000000000e+00
1.272200680103656056e+00,1.000000000000000000e+00
1.274859822130017362e+00,1.000000000000000000e+00
1.272309907036283105e+00,1.000000000000000000e+00
1.265959304502785043e+00,1.000000000000000000e+00
1.262921770905705898e+00,1.000000000000000000e+00
1.283254467575849711e+00,1.000000000000000000e+00
1.256857762014418789e+00,1.000000000000000000e+00
1.248709754841048181e+00,1.000000000000000000e+00
1.256462603502084274e+00,1.000000000000000000e+00
1.272620101659410752e+00,1.000000000000000000e+00
1.256180006546008254e+00,1.000000000000000000e+00
1.279050131122490441e+00,1.000000000000000000e+00
1.229087086210948421e+00,1.000000000000000000e+00
1.238116559090360447e+00,1.000000000000000000e+00
1.285282060234254731e+00,1.000000000000000000e+00
1.267269179467184648e+00,1.000000000000000000e+00
1.255981500100550319e+00,1.000000000000000000e+00
1.262557398176143986e+00,1.000000000000000000e+00
1.255661459645494249e+00,1.000000000000000000e+00
1.285972525926943000e+00,1.000000000000000000e+00
1.248002843138908302e+00,1.000000000000000000e+00
1.263081546861939852e+00,1.000000000000000000e+00
1.240889993398293312e+00,1.000000000000000000e+00
1.281507283694180321e+00,1.000000000000000000e+00
1.260116953485715285e+00,1.000000000000000000e+00
1.265239099514123389e+00,1.000000000000000000e+00
1.282557229926879927e+00,1.000000000000000000e+00
1.279037275187953959e+00,1.000000000000000000e+00
1.250797538372523610e+00,1.000000000000000000e+00
1.256979388914840401e+00,1.000000000000000000e+00
1.297108029250082062e+00,1.000000000000000000e+00
1.251705685629734388e+00,1.000000000000000000e+00
1.263061599288261450e+00,1.000000000000000000e+00
1.262770342719824024e+00,1.000000000000000000e+00
1.270864865917496811e+00,1.000000000000000000e+00
1.260299706881763404e+00,1.000000000000000000e+00
1.235157154228591070e+00,1.000000000000000000e+00
1.253426770922140276e+00,1.000000000000000000e+00
1.238659867951675153e+00,1.000000000000000000e+00
1.238892279240596084e+00,1.000000000000000000e+00
1.274990240789360518e+00,1.000000000000000000e+00
1.225651743172676778e+00,1.000000000000000000e+00
1.266975239864727598e+00,1.000000000000000000e+00
1.269620775986042283e+00,1.000000000000000000e+00
1.246717489368774912e+00,1.000000000000000000e+00
1.253811786758370017e+00,1.000000000000000000e+00
1.258284267018008329e+00,1.000000000000000000e+00
1.253190415407624769e+00,1.000000000000000000e+00
1.255393328622929516e+00,1.000000000000000000e+00
1.277924021881562622e+00,1.000000000000000000e+00
1.255954731364373078e+00,1.000000000000000000e+00
1.267464723564147633e+00,1.000000000000000000e+00
1.264789090317869569e+00,1.000000000000000000e+00
1.262310902713251526e+00,1.000000000000000000e+00
1.267362734297604376e+00,1.000000000000000000e+00
1.251865185901017252e+00,1.000000000000000000e+00
1.235474366827803649e+00,1.000000000000000000e+00
1.270251851413298994e+00,1.000000000000000000e+00
1.295280721827678061e+00,1.000000000000000000e+00
1.219345014267914085e+00,1.000000000000000000e+00
1.267131169380784073e+00,1.000000000000000000e+00
1.268588373103497480e+00,1.000000000000000000e+00
1.259397249146878783e+00,1.000000000000000000e+00
1.276870148248847592e+00,1.000000000000000000e+00
1.300960667897134604e+00,1.000000000000000000e+00
1.254639533635109716e+00,1.000000000000000000e+00
1.283360690084724753e+00,1.000000000000000000e+00
1.275913483527481240e+00,1.000000000000000000e+00
1.245792333424940779e+00,1.000000000000000000e+00
1.237528898631530039e+00,1.000000000000000000e+00
1.233771271921252799e+00,1.000000000000000000e+00
1.254422876122745389e+00,1.000000000000000000e+00
1.276554055226582829e+00,1.000000000000000000e+00
1.281767039380791173e+00,1.000000000000000000e+00
1.260723178718712534e+00,1.000000000000000000e+00
1.297772293560689905e+00,1.000000000000000000e+00
