m,likelihood
1.367324540071015448e+00,1.000000000000000000e+00
1.364078302620002958e+00,1.000000000000000000e+00
1.360164690229848317e+00,1.000000000000000000e+00
1.367161844038391694e+00,1.000000000000000000e+00
1.367562447112391277e+00,1.000000000000000000e+00
1.365187784183311548e+00,1.000000000000000000e+00
1.365758414866739656e+00,1.000000000000000000e+00
1.364096602740260344e+00,1.000000000000000000e+00
1.366466279048899501e+00,1.000000000000000000e+00
1.367661935350376279e+00,1.000000000000000000e+00
1.368503027057323740e+00,1.000000000000000000e+00
1.364259383723003927e+00,1.000000000000000000e+00
1.366940972915686725e+00,1.000000000000000000e+00
1.363842753338635250e+00,1.000000000000000000e+00
1.362606127647545406e+00,1.000000000000000000e+00
1.363841012947809794e+00,1.000000000000000000e+00
1.364292058544995800e+00,1.000000000000000000e+00
1.368145993757272416e+00,1.000000000000000000e+00
1.362805747193516881e+00,1.000000000000000000e+00
1.365621214678859996e+00,1.000000000000000000e+00
1.363259342643769800e+00,1.000000000000000000e+00
1.369404497920733599e+00,1.000000000000000000e+00
1.367219040681638464e+00,1.000000000000000000e+00
1.367715538280287690e+00,1.000000000000000000e+00
1.366499483146243588e+00,1.000000000000000000e+00
1.369522543624826616e+00,1.000000000000000000e+00
1.367800789706902664e+00,1.000000000000000000e+00
1.366334203691074611e+00,1.000000000000000000e+00
1.363877214718510755e+00,1.000000000000000000e+00
1.362635453203694391e+00,1.000000000000000000e+00
1.367584131247661317e+00,1.000000000000000000e+00
1.365869524079530661e+00,1.000000000000000000e+00
1.365593070374654161e+00,1.000000000000000000e+00
1.364471956737964176e+00,1.000000000000000000e+00
1.366513818940432001e+00,1.000000000000000000e+00
1.368634833949904150e+00,1.000000000000000000e+00
1.365158767765547676e+00,1.000000000000000000e+00
1.366740360736555582e+00,1.000000000000000000e+00
1.366631995166397884e+00,1.000000000000000000e+00
1.370314292404163137e+00,1.000000000000000000e+00
1.364782127893883201e+00,1.000000000000000000e+00
1.367936407487065686e+00,1.000000000000000000e+00
1.362884955709310564e+00,1.000000000000000000e+00
1.366104256742039169e+00,1.000000000000000000e+00
1.365846368995170312e+00,1.000000000000000000e+00
1.362533685211764656e+00,1.000000000000000000e+00
1.364279539390867990e+00,1.000000000000000000e+00
1.364836396010844721e+00,1.000000000000000000e+00
1.361816199723320686e+00,1.000000000000000000e+00
1.370208143577788418e+00,1.000000000000000000e+00
1.365651000094049827e+00,1.000000000000000000e+00
1.364447199701120716e+00,1.000000000000000000e+00
1.367682651440459640e+00,1.000000000000000000e+00
1.361717691507557282e+00,1.000000000000000000e+00
1.366848639788510233e+00,1.000000000000000000e+00
1.365385566266946737e+00,1.000000000000000000e+00
1.367507669237230550e+00,1.000000000000000000e+00
1.367139751007336868e+00,1.000000000000000000e+00
1.366673197661206318e+00,1.000000000000000000e+00
1.364636383006772924e+00,1.000000000000000000e+00
1.367280650021206467e+00,1.000000000000000000e+00
1.369774345258722992e+00,1.000000000000000000e+00
1.366766048320046112e+00,1.000000000000000000e+00
1.364490542221321601e+00,1.000000000000000000e+00
1.361695130048562463e+00,1.000000000000000000e+00
1.366536719024573632e+00,1.000000000000000000e+00
1.366688887271824804e+00,1.000000000000000000e+00
1.368112426114669322e+00,1.000000000000000000e+00
1.364304515640901494e+00,1.000000000000000000e+00
1.361369770808750657e+00,1.000000000000000000e+00
1.370630960748855598e+00,1.000000000000000000e+00
1.366472047725211469e+00,1.000000000000000000e+00
1.365443464443407251e+00,1.000000000000000000e+00
1.364967247933090544e+00,1.000000000000000000e+00
1.368643683823881574e+00,1.000000000000000000e+00
1.364856935137831462e+00,1.000000000000000000e+00
1.361921016984341426e+00,1.000000000000000000e+00
1.365045650167629132e+00,1.000000000000000000e+00
1.367433764103949345e+00,1.000000000000000000e+00
1.363800142281003103e+00,1.000000000000000000e+00
1.367348580086797494e+00,1.000000000000000000e+00
1.365776705104324140e+00,1.000000000000000000e+00
1.364809044170281149e+00,1.000000000000000000e+00
1.365070161687484074e+00,1.000000000000000000e+00
1.364365666191352133e+00,1.000000000000000000e+00
1.366351156348439622e+00,1.000000000000000000e+00
1.364084628819417722e+00,1.000000000000000000e+00
1.366043915590077207e+00,1.000000000000000000e+00
1.366803953279311701e+00,1.000000000000000000e+00
1.364572680562241791e+00,1.000000000000000000e+00
1.363659471494975239e+00,1.000000000000000000e+00
1.367487850339988986e+00,1.000000000000000000e+00
1.363817039903860717e+00,1.000000000000000000e+00
1.367278288505693107e+00,1.000000000000000000e+00
1.364410321756223787e+00,1.000000000000000000e+00
1.368298970541750759e+00,1.000000000000000000e+00
1.368999285664015408e+00,1.000000000000000000e+00
1.367994491077835217e+00,1.000000000000000000e+00
1.362517156939092589e+00,1.000000000000000000e+00
1.367056919577593455e+00,1.000000000000000000e+00
