m,likelihood
1.205339623609023691e+00,1.000000000000000000e+00
1.206788993122945852e+00,1.000000000000000000e+00
1.205000526432275176e+00,1.000000000000000000e+00
1.201754589064385037e+00,1.000000000000000000e+00
1.207610119036221619e+00,1.000000000000000000e+00
1.207542734047893918e+00,1.000000000000000000e+00
1.207746000405057085e+00,1.000000000000000000e+00
1.206713547354398175e+00,1.000000000000000000e+00
1.203238576297765761e+00,1.000000000000000000e+00
1.208737066783753811e+00,1.000000000000000000e+00
1.205769750859061018e+00,1.000000000000000000e+00
1.204619901315298058e+00,1.000000000000000000e+00
1.208927160143793644e+00,1.000000000000000000e+00
1.207605964339659499e+00,1.000000000000000000e+00
1.207991957747880374e+00,1.000000000000000000e+00
1.204205921661592349e+00,1.000000000000000000e+00
1.211207606702210171e+00,1.000000000000000000e+00
1.205551032504321496e+00,1.000000000000000000e+00
1.203844283043679075e+00,1.000000000000000000e+00
1.211683491789713907e+00,1.000000000000000000e+00
1.206687507163005657e+00,1.000000000000000000e+00
1.205872552470673931e+00,1.000000000000000000e+00
1.205931583106724547e+00,1.000000000000000000e+00
1.207680162778693722e+00,1.000000000000000000e+00
1.204974455741194106e+00,1.000000000000000000e+00
1.205479573044711650e+00,1.000000000000000000e+00
1.205270327126450658e+00,1.000000000000000000e+00
1.208796708710919043e+00,1.000000000000000000e+00
1.206210515760350432e+00,1.000000000000000000e+00
1.206656171813040190e+00,1.000000000000000000e+00
1.208743237237708046e+00,1.000000000000000000e+00
1.207510872079851305e+00,1.000000000000000000e+00
1.209450087607244706e+00,1.000000000000000000e+00
1.210370662649106199e+00,1.000000000000000000e+00
1.205020945210034666e+00,1.000000000000000000e+00
1.208362335651178343e+00,1.000000000000000000e+00
1.207306668205267330e+00,1.000000000000000000e+00
1.208179333368565089e+00,1.000000000000000000e+00
1.206891898464332646e+00,1.000000000000000000e+00
1.207080132412193807e+00,1.000000000000000000e+00
1.204800251225828012e+00,1.000000000000000000e+00
1.206149301494818582e+00,1.000000000000000000e+00
1.204129902514846195e+00,1.000000000000000000e+00
1.210190062642098052e+00,1.000000000000000000e+00
1.206614543687606567e+00,1.000000000000000000e+00
1.204317570604815701e+00,1.000000000000000000e+00
1.208288852288443183e+00,1.000000000000000000e+00
1.208683573474602646e+00,1.000000000000000000e+00
1.205932301339724511e+00,1.000000000000000000e+00
1.203536187904001631e+00,1.000000000000000000e+00
1.207513895456462150e+00,1.000000000000000000e+00
1.205710978315835957e+00,1.000000000000000000e+00
1.208056886460563861e+00,1.000000000000000000e+00
1.206728514186642176e+00,1.000000000000000000e+00
1.204680378776067373e+00,1.000000000000000000e+00
1.203469459439597378e+00,1.000000000000000000e+00
1.210827623197893832e+00,1.000000000000000000e+00
1.205073467147442345e+00,1.000000000000000000e+00
1.209495040218411921e+00,1.000000000000000000e+00
1.206346203614800494e+00,1.000000000000000000e+00
1.205297838747984240e+00,1.000000000000000000e+00
1.208494219860991814e+00,1.000000000000000000e+00
1.202646858720560541e+00,1.000000000000000000e+00
1.206638946733683770e+00,1.000000000000000000e+00
1.204949500064218748e+00,1.000000000000000000e+00
1.204414138858263206e+00,1.000000000000000000e+00
1.205868154691372318e+00,1.000000000000000000e+00
1.206950959648869670e+00,1.000000000000000000e+00
1.207221620730453804e+00,1.000000000000000000e+00
1.208319430528233429e+00,1.000000000000000000e+00
1.206807932689114349e+00,1.000000000000000000e+00
1.209081750283895529e+00,1.000000000000000000e+00
1.204256420106192937e+00,1.000000000000000000e+00
1.209028339612912006e+00,1.000000000000000000e+00
1.205914018973014201e+00,1.000000000000000000e+00
1.204407965843095063e+00,1.000000000000000000e+00
1.209540602477320093e+00,1.000000000000000000e+00
1.207586139975101114e+00,1.000000000000000000e+00
1.204832145653698117e+00,1.000000000000000000e+00
1.208789027101099700e+00,1.000000000000000000e+00
1.203958147666809753e+00,1.000000000000000000e+00
1.204465050379796898e+00,1.000000000000000000e+00
1.206885323661397447e+00,1.000000000000000000e+00
1.207867337721588719e+00,1.000000000000000000e+00
1.203399211629078813e+00,1.000000000000000000e+00
1.204791064471141926e+00,1.000000000000000000e+00
1.206702213636128063e+00,1.000000000000000000e+00
1.206340958756343396e+00,1.000000000000000000e+00
1.206746553093631213e+00,1.000000000000000000e+00
1.208924995826749837e+00,1.000000000000000000e+00
1.206121167481043033e+00,1.000000000000000000e+00
1.207180151206515673e+00,1.000000000000000000e+00
1.207002434943076130e+00,1.000000000000000000e+00
1.201706543664132543e+00,1.000000000000000000e+00
1.208642950788675785e+00,1.000000000000000000e+00
1.204364567309018641e+00,1.000000000000000000e+00
1.203859767794671853e+00,1.000000000000000000e+00
1.206333287242598695e+00,1.000000000000000000e+00
1.207207850789789427e+00,1.000000000000000000e+00
1.204012269000444446e+00,1.000000000000000000e+00
