tm, m, likelihood
2.874590869960043982e+00,1.785045807792513095e+00,1.000000000000000000e+00
2.874590869960043982e+00,1.785045807792513095e+00,1.000000000000000000e+00
2.903301036760593590e+00,1.472192218431366051e+00,1.000000000000000000e+00
2.861977450180869464e+00,1.578642671934719743e+00,1.000000000000000000e+00
2.866489614880129100e+00,1.825387594024766136e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.885165150651362254e+00,1.760551938810352990e+00,1.000000000000000000e+00
2.874287193703048082e+00,1.795752363534425022e+00,1.000000000000000000e+00
2.866489614880129100e+00,1.825387594024766136e+00,1.000000000000000000e+00
2.890064314060551975e+00,1.789511276163269216e+00,1.000000000000000000e+00
2.861259318133676732e+00,1.810639643177295532e+00,1.000000000000000000e+00
2.893564513127740767e+00,1.636839929669739346e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.879026788885916233e+00,1.793052298298437153e+00,1.000000000000000000e+00
2.866489614880129100e+00,1.825387594024766136e+00,1.000000000000000000e+00
2.873407126064097206e+00,1.460544969000332705e+00,1.000000000000000000e+00
2.876720699989919527e+00,1.171833974791510524e+00,1.000000000000000000e+00
2.862242831440743096e+00,1.675516340043292862e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.873318567498729603e+00,1.339646117065120379e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.865065615377612396e+00,1.235984669915184631e+00,1.000000000000000000e+00
2.872349219810032661e+00,1.237926905023438495e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.873291578995547546e+00,1.811341978606608283e+00,1.000000000000000000e+00
2.864650930158392228e+00,1.641963840083646042e+00,1.000000000000000000e+00
2.873291578995547546e+00,1.811341978606608283e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.866489614880129100e+00,1.825387594024766136e+00,1.000000000000000000e+00
2.870597492509396886e+00,1.727038465281904411e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.866489614880129100e+00,1.825387594024766136e+00,1.000000000000000000e+00
2.871486503990723804e+00,1.797563466485090800e+00,1.000000000000000000e+00
2.862242831440743096e+00,1.675516340043292862e+00,1.000000000000000000e+00
2.884834813112509444e+00,1.734829505523316939e+00,1.000000000000000000e+00
2.886586385886330763e+00,1.766089956690953144e+00,1.000000000000000000e+00
2.860390777496398584e+00,1.814460437074366883e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.874882807722022982e+00,1.138696169085051224e+00,1.000000000000000000e+00
2.892322521872572327e+00,1.282979529626286475e+00,1.000000000000000000e+00
2.879781069535932492e+00,1.611705881766163362e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.872349219810032661e+00,1.237926905023438495e+00,1.000000000000000000e+00
2.878918989102929427e+00,1.381966006121902568e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.873318567498729603e+00,1.339646117065120379e+00,1.000000000000000000e+00
2.866489614880129100e+00,1.825387594024766136e+00,1.000000000000000000e+00
2.886586385886330763e+00,1.766089956690953144e+00,1.000000000000000000e+00
2.881928684401288798e+00,1.579324643602552314e+00,1.000000000000000000e+00
2.863300064842272619e+00,1.276665361580746616e+00,1.000000000000000000e+00
2.860390777496398584e+00,1.814460437074366883e+00,1.000000000000000000e+00
2.871486503990723804e+00,1.797563466485090800e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.879026788885916233e+00,1.793052298298437153e+00,1.000000000000000000e+00
2.866489614880129100e+00,1.825387594024766136e+00,1.000000000000000000e+00
2.870597492509396886e+00,1.727038465281904411e+00,1.000000000000000000e+00
2.898395103826325592e+00,1.363195870334238835e+00,1.000000000000000000e+00
2.891118755152173758e+00,1.237382775533546475e+00,1.000000000000000000e+00
2.866489614880129100e+00,1.825387594024766136e+00,1.000000000000000000e+00
2.876333106275348772e+00,1.772324551071388754e+00,1.000000000000000000e+00
2.860390777496398584e+00,1.814460437074366883e+00,1.000000000000000000e+00
2.850234157598275697e+00,1.799447986870510885e+00,1.000000000000000000e+00
2.887618265894507541e+00,1.739859851486113662e+00,1.000000000000000000e+00
2.871486503990723804e+00,1.797563466485090800e+00,1.000000000000000000e+00
2.879026788885916233e+00,1.793052298298437153e+00,1.000000000000000000e+00
2.850234157598275697e+00,1.799447986870510885e+00,1.000000000000000000e+00
2.899596183025115792e+00,1.834193053071535573e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.899596183025115792e+00,1.834193053071535573e+00,1.000000000000000000e+00
2.853158455773105562e+00,1.762911542783485608e+00,1.000000000000000000e+00
2.888330109881885654e+00,1.054679323203256525e+00,1.000000000000000000e+00
2.882803391736213694e+00,1.779061235195887658e+00,1.000000000000000000e+00
2.876333106275348772e+00,1.772324551071388754e+00,1.000000000000000000e+00
2.879781069535932492e+00,1.611705881766163362e+00,1.000000000000000000e+00
2.856693382135672366e+00,1.581354959473713961e+00,1.000000000000000000e+00
2.861259318133676732e+00,1.810639643177295532e+00,1.000000000000000000e+00
2.904138222874677044e+00,1.754178020297325613e+00,1.000000000000000000e+00
2.871486503990723804e+00,1.797563466485090800e+00,1.000000000000000000e+00
2.893564513127740767e+00,1.636839929669739346e+00,1.000000000000000000e+00
2.870597492509396886e+00,1.727038465281904411e+00,1.000000000000000000e+00
2.866489614880129100e+00,1.825387594024766136e+00,1.000000000000000000e+00
2.899596183025115792e+00,1.834193053071535573e+00,1.000000000000000000e+00
2.881928684401288798e+00,1.579324643602552314e+00,1.000000000000000000e+00
2.890064314060551975e+00,1.789511276163269216e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.874590869960043982e+00,1.785045807792513095e+00,1.000000000000000000e+00
2.868558357395831315e+00,1.602630914645127636e+00,1.000000000000000000e+00
2.861977450180869464e+00,1.578642671934719743e+00,1.000000000000000000e+00
2.873291578995547546e+00,1.811341978606608283e+00,1.000000000000000000e+00
2.879781069535932492e+00,1.611705881766163362e+00,1.000000000000000000e+00
2.879026788885916233e+00,1.793052298298437153e+00,1.000000000000000000e+00
2.870843945796877072e+00,1.345106045310813681e+00,1.000000000000000000e+00
2.881928684401288798e+00,1.579324643602552314e+00,1.000000000000000000e+00
2.884834813112509444e+00,1.734829505523316939e+00,1.000000000000000000e+00
2.879406415705165312e+00,1.250352627157504282e+00,1.000000000000000000e+00
2.867137057908076159e+00,1.822329027710532401e+00,1.000000000000000000e+00
2.896166194755611656e+00,1.183010531054851766e+00,1.000000000000000000e+00
2.860390777496398584e+00,1.814460437074366883e+00,1.000000000000000000e+00
2.867117190859970854e+00,1.686717873065657791e+00,1.000000000000000000e+00
2.873291578995547546e+00,1.811341978606608283e+00,1.000000000000000000e+00
