m1_source,m2_source,dL,z,likelihood,posterior
1.747761217072823214e+01,1.195565190528242727e+00,3.198537211467577208e+02,6.888014629669689248e-02,8.557721450703317630e-06,8.557721450703317630e-06
1.361918402388186955e+01,1.412340038340315518e+00,2.884302181715277698e+02,6.239547969328353844e-02,1.065259738002822875e-05,1.065259738002822875e-05
8.309542367568012011e+00,1.958113263369590795e+00,3.751302640594665263e+02,8.015727312458753584e-02,6.092515451333141386e-06,6.092515451333141386e-06
9.455785946366138006e+00,1.881542117677753589e+00,2.098558005489425682e+02,4.593227536283899654e-02,2.076035372882950293e-05,2.076035372882950293e-05
7.570371663939988061e+00,2.223866611515660452e+00,2.164842089168537598e+02,4.733529897018128735e-02,1.945638598330274509e-05,1.945638598330274509e-05
9.249787715683275735e+00,1.900767146119103135e+00,2.311093199999999968e+02,5.042151221762099234e-02,1.697183880068612634e-05,1.697183880068612634e-05
8.998791120327036097e+00,1.925200138197506572e+00,2.518274099999999862e+02,5.477153242946389278e-02,1.417669700357522724e-05,1.417669700357522724e-05
9.153187589232572918e+00,1.903828658030432663e+00,2.469222599999999943e+02,5.374393411822050992e-02,1.477425513965015300e-05,1.477425513965015300e-05
8.982516056026973672e+00,1.898803231747225428e+00,2.970513399999999820e+02,6.418004046719344435e-02,1.000964927128060122e-05,1.000964927128060122e-05
9.411996698163468622e+00,1.816923033694498590e+00,3.199901217472935855e+02,6.890817821414768618e-02,8.549979674599082736e-06,8.549979674599082736e-06
9.597748502510636825e+00,1.845846005806463852e+00,2.344760040751842496e+02,5.113012835604035383e-02,1.646578259252317702e-05,1.646578259252317702e-05
9.694384467150834794e+00,1.819397564250715416e+00,2.551594399999999894e+02,5.546876489902672486e-02,1.379065462462175574e-05,1.379065462462175574e-05
6.181720801719096769e+00,2.645406542143140083e+00,1.928378670779610218e+02,4.231769839225927449e-02,2.475671716776001109e-05,2.475671716776001109e-05
8.906731703160861713e+00,1.907334332698605639e+00,2.946603304760101310e+02,6.368551928230656300e-02,1.018219798444869198e-05,1.018219798444869198e-05
9.640375466661106785e+00,1.774325447003654022e+00,3.425632899999999950e+02,7.353287595388750819e-02,7.396279122157510109e-06,7.396279122157510109e-06
8.580719662405080328e+00,2.006949397647198374e+00,2.334681899999999928e+02,5.091807619693949211e-02,1.661493557793405768e-05,1.661493557793405768e-05
9.773936544719706632e+00,1.774881225496677040e+00,3.043881900000000087e+02,6.569548025428778582e-02,9.505883778708462735e-06,9.505883778708462735e-06
8.518719401257802915e+00,1.980880186588308112e+00,2.911564190038412221e+02,6.296025060497739689e-02,1.044295753251432720e-05,1.044295753251432720e-05
8.630935932960664303e+00,1.956272014830411576e+00,2.931543371188704441e+02,6.337388548323913406e-02,1.029310226723853595e-05,1.029310226723853595e-05
1.216776355659844278e+01,1.506753624099607114e+00,3.327704031030722831e+02,7.152992722723008900e-02,7.867283354402369885e-06,7.867283354402369885e-06
8.383269338853418517e+00,2.059823479788617462e+00,2.110611399999999946e+02,4.618760837756172299e-02,2.051391472940732350e-05,2.051391472940732350e-05
9.285055777883570727e+00,1.903736405799345555e+00,2.129615900000000011e+02,4.659000790785051971e-02,2.013395853824715320e-05,2.013395853824715320e-05
8.371115033614126233e+00,1.990780817875496211e+00,3.116300291824668420e+02,6.718836537925033936e-02,9.043900288573994542e-06,9.043900288573994542e-06
8.810897152871138616e+00,1.947933176409785805e+00,2.608613683146125481e+02,5.666039809981196496e-02,1.316468198804044733e-05,1.316468198804044733e-05
8.404669576949014953e+00,1.941940762183041569e+00,3.807189200000000255e+02,8.128849287838318949e-02,5.902612754199370728e-06,5.902612754199370728e-06
8.627228845467008966e+00,1.906457586651969738e+00,3.713238499999999931e+02,7.938588007814875724e-02,6.226939173037308575e-06,6.226939173037308575e-06
9.153580187119416678e+00,1.849463498838876285e+00,3.315136400000000094e+02,7.127250753739115818e-02,7.930849313066669961e-06,7.930849313066669961e-06
9.479205150903160515e+00,1.792364038417415761e+00,3.456372000000000071e+02,7.416052695408316409e-02,7.256833897248639064e-06,7.256833897248639064e-06
8.623222222787427782e+00,1.922496428235066057e+00,3.468500199999999722e+02,7.440802992609933664e-02,7.202859207788448801e-06,7.202859207788448801e-06
9.164927386573950230e+00,1.889169971594749198e+00,2.726060100000000261e+02,5.910893677342689279e-02,1.199920275577073325e-05,1.199920275577073325e-05
9.349276376383203413e+00,1.916853657431141666e+00,1.809807099999999878e+02,3.978855781357324567e-02,2.824353635343885955e-05,2.824353635343885955e-05
8.074367767534328166e+00,2.040498763495239842e+00,3.257430700751169752e+02,7.008943682316307044e-02,8.232470876522498388e-06,8.232470876522498388e-06
9.044041940324296647e+00,1.858023605267618450e+00,3.386686100000000010e+02,7.273690945003667696e-02,7.578585728308464475e-06,7.578585728308464475e-06
8.500144347142489565e+00,1.939342821828280217e+00,3.587297300000000178e+02,7.682823093198967723e-02,6.703515857176362942e-06,6.703515857176362942e-06
9.691572716045399716e+00,1.798776096306023309e+00,2.857191245399158106e+02,6.183342145552003094e-02,1.086718886486587451e-05,1.086718886486587451e-05
9.027917326488818617e+00,1.889080645981198403e+00,2.989023399999999810e+02,6.456265076785672186e-02,9.878968377797777710e-06,9.878968377797777710e-06
9.129971144229745761e+00,1.943046116591235828e+00,1.878873600000000010e+02,4.126283093548982484e-02,2.613125769332145214e-05,2.613125769332145214e-05
8.767226727784915852e+00,1.936122466609913717e+00,2.864547600000000216e+02,6.198597219948794729e-02,1.080834498581576171e-05,1.080834498581576171e-05
7.530890953600857252e+00,2.202595316076645826e+00,2.557497101056589770e+02,5.559221301593410963e-02,1.372386600989635467e-05,1.372386600989635467e-05
9.225342877568557753e+00,1.879542552497755148e+00,2.630754099999999767e+02,5.712259472900290541e-02,1.293273139268074113e-05,1.293273139268074113e-05
1.132505444767421210e+01,1.659917076734966246e+00,1.915430863753980759e+02,4.204195201112953528e-02,2.510580164342472812e-05,2.510580164342472812e-05
9.251346169021861243e+00,1.941069077787757280e+00,1.697500799999999970e+02,3.738482212850814668e-02,3.225298522777229253e-05,3.225298522777229253e-05
8.847956130813708242e+00,1.912830566619070360e+00,3.026531324255403774e+02,6.533736881655587136e-02,9.621640970985619913e-06,9.621640970985619913e-06
1.338204435489511646e+01,1.410660163107248177e+00,3.272961854399505910e+02,7.040803182987501185e-02,8.149680424406304988e-06,8.149680424406304988e-06
6.301996914133660255e+00,2.468430997153640671e+00,3.398960999999999899e+02,7.298786275739900520e-02,7.520433574559533081e-06,7.520433574559533081e-06
9.002011232691598863e+00,1.904277819922111759e+00,2.834325600000000236e+02,6.135905110876500868e-02,1.105309167036805758e-05,1.105309167036805758e-05
8.812318498416260582e+00,1.936201807325913959e+00,2.805233499999999935e+02,6.075507843707182026e-02,1.129636525813948423e-05,1.129636525813948423e-05
8.885475404383928577e+00,1.903572333323434451e+00,3.059998290780280854e+02,6.602796607717215105e-02,9.400160494831876417e-06,9.400160494831876417e-06
9.526125363649656563e+00,1.814116264367882980e+00,2.980189399999999864e+02,6.438007195355402446e-02,9.941025888531212563e-06,9.941025888531212563e-06
9.169758678791163575e+00,1.954700559652489122e+00,1.706951699999999903e+02,3.758741459641932320e-02,3.188439344179496018e-05,3.188439344179496018e-05
9.917675958488738175e+00,1.735265471031904871e+00,3.462339073582439255e+02,7.428230599967522441e-02,7.230205596577273502e-06,7.230205596577273502e-06
9.173993340542168085e+00,1.901451492370850760e+00,2.424627427370615749e+02,5.280846113690981780e-02,1.534991710317228235e-05,1.534991710317228235e-05
9.251189482287662358e+00,1.888514166066230349e+00,2.426509685147424307e+02,5.284797013741820981e-02,1.532496428406576137e-05,1.532496428406576137e-05
9.321608835049936204e+00,1.962693609275048434e+00,1.208868700000000018e+02,2.683062220007037882e-02,6.490758229616206050e-05,6.490758229616206050e-05
9.794236182897341436e+00,1.865850375905957481e+00,1.605943302931613061e+02,3.541918283378252957e-02,3.617208124408695028e-05,3.617208124408695028e-05
9.179423857127757103e+00,1.929044674282065719e+00,2.032460000000000093e+02,4.453050095892894383e-02,2.219194088204479612e-05,2.219194088204479612e-05
8.275913078182318472e+00,2.097783152334078416e+00,1.875949985983002932e+02,4.120048672628497111e-02,2.621590379992079758e-05,2.621590379992079758e-05
8.936681318005113894e+00,1.925778465220982616e+00,2.654374199999999746e+02,5.761536790592652196e-02,1.269177705163068977e-05,1.269177705163068977e-05
8.482720293492500119e+00,1.957504500317804652e+00,3.269486969809849484e+02,7.033676125060173145e-02,8.168098689018564839e-06,8.168098689018564839e-06
1.142069269978669332e+01,1.577017715111860285e+00,3.203408999999999764e+02,6.898025548205319324e-02,8.530116822317019133e-06,8.530116822317019133e-06
8.946904023557065599e+00,1.899550936739020202e+00,3.018389900000000239e+02,6.516927809974679131e-02,9.676663272876672112e-06,9.676663272876672112e-06
8.761444914136079731e+00,1.920107468178748000e+00,3.128346060725642133e+02,6.743640263733113871e-02,8.970224095053962724e-06,8.970224095053962724e-06
8.991310770447652700e+00,1.937759503011234896e+00,2.322183231727799750e+02,5.065500770141788400e-02,1.680266475751186373e-05,1.680266475751186373e-05
9.388707334478558764e+00,1.826246694500937018e+00,3.082524310327200965e+02,6.649244318255753683e-02,9.255223834610399662e-06,9.255223834610399662e-06
9.023515895987223701e+00,1.848918663928830863e+00,3.666748247748510039e+02,7.844270269552311436e-02,6.396996887353411949e-06,6.396996887353411949e-06
1.017692610694327016e+01,1.696835766401878942e+00,3.494603714999623207e+02,7.494046200371586031e-02,7.088639985039314059e-06,7.088639985039314059e-06
9.258300141330867206e+00,1.821864763931986486e+00,3.427427908747666834e+02,7.356954164360118842e-02,7.388030219000128606e-06,7.388030219000128606e-06
7.970566780318639744e+00,2.003075745511346817e+00,4.044729902566166402e+02,8.607883765633098094e-02,5.183714221737381825e-06,5.183714221737381825e-06
8.494600589771609478e+00,1.998684750378336705e+00,2.664982596299904003e+02,5.783657819142893480e-02,1.258567917354840576e-05,1.258567917354840576e-05
7.947334242774343416e+00,2.091408846616060746e+00,2.876234699999999975e+02,6.222826952009684331e-02,1.071580629739586449e-05,1.071580629739586449e-05
1.243027073201912458e+01,1.475168061668068020e+00,3.394443084114793123e+02,7.289550687693460707e-02,7.541761870073221244e-06,7.541761870073221244e-06
9.561668046430519041e+00,1.907065848975089128e+00,1.434434234203638141e+02,3.172236202549529732e-02,4.566389751814437219e-05,4.566389751814437219e-05
8.119744585692844296e+00,2.107439317984021176e+00,2.181514099999999985e+02,4.768777025196459241e-02,1.914727043861221695e-05,1.914727043861221695e-05
8.761230887507887033e+00,1.974604508755031240e+00,2.338630947567496889e+02,5.100117610912598826e-02,1.655625711159068028e-05,1.655625711159068028e-05
6.892582595964885428e+00,2.368722513397080398e+00,2.485332159709188318e+02,5.408157645937437807e-02,1.457402328459706749e-05,1.457402328459706749e-05
9.453040108199012082e+00,1.803982786964352547e+00,3.291958170455629329e+02,7.079752710255958481e-02,8.050046806700629831e-06,8.050046806700629831e-06
5.695756703324646786e+00,2.714609436736151959e+00,2.929787554231186277e+02,6.333754146866012180e-02,1.030614640697941941e-05,1.030614640697941941e-05
1.049086865423027426e+01,1.676155256077856093e+00,3.272660189247298490e+02,7.040184524101666952e-02,8.151276981930201873e-06,8.151276981930201873e-06
9.415054657678055605e+00,1.854697388594648499e+00,2.579104899457599913e+02,5.604393736883409721e-02,1.348335078480325800e-05,1.348335078480325800e-05
9.082911864569121363e+00,1.872988715415832450e+00,3.083712899999999877e+02,6.651694351319553666e-02,9.247666400359388960e-06,9.247666400359388960e-06
8.682208423015527643e+00,1.938646226532881434e+00,3.085020499999999970e+02,6.654389630326422445e-02,9.239362559042049497e-06,9.239362559042049497e-06
8.421400815323311306e+00,1.971394161059438321e+00,3.222298302749189816e+02,6.936827388653438176e-02,8.424295917058597185e-06,8.424295917058597185e-06
9.034104142719893815e+00,1.883234648854942295e+00,3.002755700000000161e+02,6.484638078388735294e-02,9.783611001522786414e-06,9.783611001522786414e-06
8.523422021277083260e+00,2.100128889856728520e+00,1.290692699999999888e+02,2.860905844087026709e-02,5.674245032408378839e-05,5.674245032408378839e-05
7.799102885688409259e+00,2.129833655070497045e+00,2.738348415682636414e+02,5.936466642964390722e-02,1.188602176066138741e-05,1.188602176066138741e-05
9.304560466999294732e+00,1.836980569383023010e+00,3.181275499999999852e+02,6.852534681913127756e-02,8.656578113041663817e-06,8.656578113041663817e-06
8.546434729205740766e+00,1.932670072696277552e+00,3.494708600000000160e+02,7.494260368074950884e-02,7.088186340518354686e-06,7.088186340518354686e-06
9.605607389987589784e+00,1.841569963855089531e+00,2.374042412306441463e+02,5.174590803469394928e-02,1.604332996885465758e-05,1.604332996885465758e-05
6.565479935333846662e+00,2.456434131422483347e+00,2.569669200000000160e+02,5.584671163076358053e-02,1.358761824410626181e-05,1.358761824410626181e-05
9.206519735526100590e+00,1.851270646465051017e+00,3.116565400000000068e+02,6.719382375152760378e-02,9.042269372833869296e-06,9.042269372833869296e-06
8.969625306138478749e+00,1.958208455651144098e+00,2.088295899999999961e+02,4.571481860907863903e-02,2.097359537580847271e-05,2.097359537580847271e-05
9.295682637152772543e+00,1.893224106263245554e+00,2.270373700000000099e+02,4.956354264998300702e-02,1.761479126618861621e-05,1.761479126618861621e-05
9.297898472324025221e+00,1.890406354638990205e+00,2.337773699999999906e+02,5.098313657510700897e-02,1.656896915461816868e-05,1.656896915461816868e-05
8.190231993748156469e+00,2.009044708221447095e+00,3.312112006020336139e+02,7.121054695618142527e-02,7.946257288688326622e-06,7.946257288688326622e-06
8.897816029498496704e+00,2.007207412481134767e+00,1.573630200000000059e+02,3.472415809421008914e-02,3.772337985538175249e-05,3.772337985538175249e-05
8.452288381019014807e+00,1.977821256533075944e+00,3.074242338541245658e+02,6.632170358512678998e-02,9.308132683977952002e-06,9.308132683977952002e-06
7.701267063669181567e+00,2.126816952123456783e+00,2.882491400000000112e+02,6.235795127743762323e-02,1.066673769354212069e-05,1.066673769354212069e-05
8.853648236271018490e+00,1.840924444487207490e+00,4.190738600332387023e+02,8.900920955238601773e-02,4.802887483101365933e-06,4.802887483101365933e-06
1.112070864804718795e+01,1.665819793598662280e+00,2.180117081017647820e+02,4.765824020305697850e-02,1.917289609068630830e-05,1.917289609068630830e-05
1.090362841978013719e+01,1.669227255316368286e+00,2.502057024786024613e+02,5.443194945129058160e-02,1.437029902748206280e-05,1.437029902748206280e-05
8.840854330301990416e+00,1.978320533263688619e+00,2.107295900000000017e+02,4.611738350903051703e-02,2.058127391183143707e-05,2.058127391183143707e-05
6.658241576286010321e+00,2.377904957574721756e+00,3.219721900000000119e+02,6.931536178526985503e-02,8.438617026297876619e-06,8.438617026297876619e-06
9.109285132862176226e+00,1.914225144580814275e+00,2.395778400000000090e+02,5.220266576378535667e-02,1.573989235542737404e-05,1.573989235542737404e-05
1.016499938696892436e+01,1.694795180471037055e+00,3.663856224489678652e+02,7.838399943366938794e-02,6.407796116161272292e-06,6.407796116161272292e-06
9.469825294725323417e+00,1.833490876626225230e+00,2.830435360210429394e+02,6.127831448747986243e-02,1.108517929098272701e-05,1.108517929098272701e-05
1.050092984544645347e+01,1.745091747208979305e+00,2.060676577579744162e+02,4.512923514490254501e-02,2.156367948078528678e-05,2.156367948078528678e-05
4.797743815891489128e+00,3.173514494411354026e+00,2.878043624470152508e+02,6.226576321366867478e-02,1.070158606726285520e-05,1.070158606726285520e-05
9.104226707529020857e+00,1.962382962439715994e+00,1.743543899999999951e+02,3.837127563860875945e-02,3.051407664523808877e-05,3.051407664523808877e-05
7.609260907355444914e+00,2.135246205542983500e+00,3.231233738652652505e+02,6.955175616124535665e-02,8.374899305246232879e-06,8.374899305246232879e-06
5.006719304295119244e+00,2.930541647568246422e+00,4.196188302032306296e+02,8.911837869949489066e-02,4.789461582337716512e-06,4.789461582337716512e-06
4.428134939531592984e+00,3.297805076640637711e+00,3.911550408482418106e+02,8.339661621612079467e-02,5.570143847625713151e-06,5.570143847625713151e-06
6.981815567217753760e+00,2.295819244428183303e+00,3.043784196074388433e+02,6.569346188289547361e-02,9.506529945134570717e-06,9.506529945134570717e-06
7.704456190588857112e+00,2.170514522628711696e+00,2.432579104788020743e+02,5.297535025716457180e-02,1.524490434603705666e-05,1.524490434603705666e-05
8.725143801539362087e+00,1.930366920069284786e+00,3.115391900000000192e+02,6.716965494107281220e-02,9.049491841305609354e-06,9.049491841305609354e-06
8.251643060244401084e+00,2.076407050441257507e+00,2.281853600000000029e+02,4.980552803303444492e-02,1.742997601138131930e-05,1.742997601138131930e-05
1.047697110101109175e+01,1.674572044996276654e+00,3.280371362242150894e+02,7.055997900318237981e-02,8.110607241662413873e-06,8.110607241662413873e-06
8.399738094703289804e+00,2.057928154283616973e+00,2.077723939091034708e+02,4.549072870217316794e-02,2.119664173865580854e-05,2.119664173865580854e-05
8.840736621651466010e+00,1.921186725600652068e+00,2.978397400000000061e+02,6.434302962441101892e-02,9.953683391847010589e-06,9.953683391847010589e-06
1.100813675537190939e+01,1.642705441213316631e+00,2.779053103267192455e+02,6.021114230241005755e-02,1.152199702855999867e-05,1.152199702855999867e-05
9.229854925857114978e+00,1.874205566922051203e+00,2.726183787276848989e+02,5.911151247897085403e-02,1.199805575377489905e-05,1.199805575377489905e-05
6.981549131296016064e+00,2.325910083441497633e+00,2.687582926529799465e+02,5.830763857832679115e-02,1.236390570307112996e-05,1.236390570307112996e-05
9.007651858470795858e+00,1.966389140069842778e+00,1.918599600000000009e+02,4.210944733310325455e-02,2.501970648840751873e-05,2.501970648840751873e-05
9.141628076885103482e+00,1.865614523408724246e+00,3.053905268140973703e+02,6.590228433290545862e-02,9.439929291327776850e-06,9.439929291327776850e-06
8.698382515031308770e+00,1.952850050643165858e+00,2.816920380388684180e+02,6.099776495144700744e-02,1.119771171778083351e-05,1.119771171778083351e-05
8.977280992038560115e+00,1.969699343531198465e+00,1.910003000000000100e+02,4.192632583242444227e-02,2.525428929825480499e-05,2.525428929825480499e-05
9.154913985901732332e+00,1.848834359266350313e+00,3.337636549377085089e+02,7.173331369642085842e-02,7.817565580247454312e-06,7.817565580247454312e-06
