m,likelihood
1.479632613590522894e+00,1.000000000000000000e+00
1.528522905253656194e+00,1.000000000000000000e+00
1.401415310935674396e+00,1.000000000000000000e+00
1.539916404952976325e+00,1.000000000000000000e+00
1.244517875285648056e+00,1.000000000000000000e+00
1.405754701369905213e+00,1.000000000000000000e+00
1.484308586186281920e+00,1.000000000000000000e+00
1.450915384197536850e+00,1.000000000000000000e+00
1.478459104325173801e+00,1.000000000000000000e+00
1.287238162139987097e+00,1.000000000000000000e+00
1.531796937250405222e+00,1.000000000000000000e+00
1.487985523955732248e+00,1.000000000000000000e+00
1.392575521269881156e+00,1.000000000000000000e+00
1.475368223904925724e+00,1.000000000000000000e+00
1.416834599952153662e+00,1.000000000000000000e+00
1.449757994460217247e+00,1.000000000000000000e+00
1.494540245844494297e+00,1.000000000000000000e+00
1.452563418282218466e+00,1.000000000000000000e+00
1.487733329773353708e+00,1.000000000000000000e+00
1.595911872392852038e+00,1.000000000000000000e+00
1.500849008485075853e+00,1.000000000000000000e+00
1.373530868996364118e+00,1.000000000000000000e+00
1.560381727673720853e+00,1.000000000000000000e+00
1.460475530148080736e+00,1.000000000000000000e+00
1.529082809710303970e+00,1.000000000000000000e+00
1.253000543075300177e+00,1.000000000000000000e+00
1.437869194358498470e+00,1.000000000000000000e+00
1.392126681388773823e+00,1.000000000000000000e+00
1.491072377523927184e+00,1.000000000000000000e+00
1.484873710854775375e+00,1.000000000000000000e+00
1.299076039789703874e+00,1.000000000000000000e+00
1.463150222236055509e+00,1.000000000000000000e+00
1.410677357740550697e+00,1.000000000000000000e+00
1.567081353714377290e+00,1.000000000000000000e+00
1.374872109032598377e+00,1.000000000000000000e+00
1.231692521903869686e+00,1.000000000000000000e+00
1.301106484946676023e+00,1.000000000000000000e+00
1.538327503296412990e+00,1.000000000000000000e+00
1.305021046311938715e+00,1.000000000000000000e+00
1.501790473996544417e+00,1.000000000000000000e+00
1.426476278008330656e+00,1.000000000000000000e+00
1.440913246324949881e+00,1.000000000000000000e+00
1.576476850012405562e+00,1.000000000000000000e+00
1.433475289593167057e+00,1.000000000000000000e+00
1.439821068226512901e+00,1.000000000000000000e+00
1.410186766987337581e+00,1.000000000000000000e+00
1.506292341794472911e+00,1.000000000000000000e+00
1.341446561653453884e+00,1.000000000000000000e+00
1.468555986592083862e+00,1.000000000000000000e+00
1.398417288234006017e+00,1.000000000000000000e+00
1.462330154655830716e+00,1.000000000000000000e+00
1.355346924919677676e+00,1.000000000000000000e+00
1.424538965227590603e+00,1.000000000000000000e+00
1.351051097760979980e+00,1.000000000000000000e+00
1.473202818784441037e+00,1.000000000000000000e+00
1.305123101724321222e+00,1.000000000000000000e+00
1.421127477696564778e+00,1.000000000000000000e+00
1.576213085996383434e+00,1.000000000000000000e+00
1.648264106349271341e+00,1.000000000000000000e+00
1.624914897982538742e+00,1.000000000000000000e+00
1.310381039017118221e+00,1.000000000000000000e+00
1.286933786117836265e+00,1.000000000000000000e+00
1.335530862396999252e+00,1.000000000000000000e+00
1.639149269792120167e+00,1.000000000000000000e+00
1.414810980234686655e+00,1.000000000000000000e+00
1.247769292027076649e+00,1.000000000000000000e+00
1.542159939957981951e+00,1.000000000000000000e+00
1.471104713073451808e+00,1.000000000000000000e+00
1.225113748376948530e+00,1.000000000000000000e+00
1.433294328946187024e+00,1.000000000000000000e+00
1.579742274380504075e+00,1.000000000000000000e+00
1.532305524263192442e+00,1.000000000000000000e+00
1.483352352425800769e+00,1.000000000000000000e+00
1.620365033424391310e+00,1.000000000000000000e+00
1.343098496187697943e+00,1.000000000000000000e+00
1.549255182748039195e+00,1.000000000000000000e+00
1.574991668980839865e+00,1.000000000000000000e+00
1.412271671108629167e+00,1.000000000000000000e+00
1.488966277853128739e+00,1.000000000000000000e+00
1.501232103351073377e+00,1.000000000000000000e+00
1.496691090590009043e+00,1.000000000000000000e+00
1.238830342271766582e+00,1.000000000000000000e+00
1.343141638915303693e+00,1.000000000000000000e+00
1.494610489198226588e+00,1.000000000000000000e+00
1.558818951663418551e+00,1.000000000000000000e+00
1.459280557677180790e+00,1.000000000000000000e+00
1.484792613449389176e+00,1.000000000000000000e+00
1.346865198552547493e+00,1.000000000000000000e+00
1.588849126325917460e+00,1.000000000000000000e+00
1.515775583150550387e+00,1.000000000000000000e+00
1.545473377773141088e+00,1.000000000000000000e+00
1.546168140895583409e+00,1.000000000000000000e+00
1.452719586691779918e+00,1.000000000000000000e+00
1.563168217845028574e+00,1.000000000000000000e+00
1.140412861735339511e+00,1.000000000000000000e+00
1.419368756153537303e+00,1.000000000000000000e+00
1.401135313779487523e+00,1.000000000000000000e+00
1.565992732068919979e+00,1.000000000000000000e+00
1.416380723058528135e+00,1.000000000000000000e+00
1.505914616305818798e+00,1.000000000000000000e+00


