m,likelihood
1.110077311758988827e+00,1.000000000000000000e+00
9.119060436157815364e-01,1.000000000000000000e+00
1.072064140862114323e+00,1.000000000000000000e+00
1.002638810674842951e+00,1.000000000000000000e+00
9.570326674459961325e-01,1.000000000000000000e+00
1.050711641498939919e+00,1.000000000000000000e+00
1.231684925442717571e+00,1.000000000000000000e+00
5.927578549597530833e-01,1.000000000000000000e+00
1.138302434315474621e+00,1.000000000000000000e+00
1.191396497655406561e+00,1.000000000000000000e+00
1.096531437901204109e+00,1.000000000000000000e+00
1.157323366079466842e+00,1.000000000000000000e+00
1.091504479448167864e+00,1.000000000000000000e+00
1.039008313106003945e+00,1.000000000000000000e+00
8.142672339639469570e-01,1.000000000000000000e+00
8.228712692912165672e-01,1.000000000000000000e+00
1.054429985461341701e+00,1.000000000000000000e+00
9.153499843041936757e-01,1.000000000000000000e+00
1.070974268274178076e+00,1.000000000000000000e+00
9.387751709759925012e-01,1.000000000000000000e+00
1.208800677632447806e+00,1.000000000000000000e+00
8.547519370659697469e-01,1.000000000000000000e+00
9.659830595921006235e-01,1.000000000000000000e+00
6.677551089012123686e-01,1.000000000000000000e+00
7.960767308401209830e-01,1.000000000000000000e+00
9.851236938506308105e-01,1.000000000000000000e+00
1.020517620321605312e+00,1.000000000000000000e+00
1.002835158496610424e+00,1.000000000000000000e+00
1.047293138871733920e+00,1.000000000000000000e+00
8.754656821686706003e-01,1.000000000000000000e+00
9.225212883488148607e-01,1.000000000000000000e+00
7.745611898334336942e-01,1.000000000000000000e+00
1.255634212384767689e+00,1.000000000000000000e+00
1.084175300793243757e+00,1.000000000000000000e+00
1.096303144989437373e+00,1.000000000000000000e+00
8.915356427903066150e-01,1.000000000000000000e+00
6.943476263886950717e-01,1.000000000000000000e+00
1.025320402485196736e+00,1.000000000000000000e+00
1.066649291223962903e+00,1.000000000000000000e+00
1.089759696185674143e+00,1.000000000000000000e+00
1.077405382226370500e+00,1.000000000000000000e+00
8.130577333592420297e-01,1.000000000000000000e+00
1.106056048021396343e+00,1.000000000000000000e+00
9.344917151212627227e-01,1.000000000000000000e+00
1.002270680034056616e+00,1.000000000000000000e+00
8.217559286779640981e-01,1.000000000000000000e+00
5.882098634736376841e-01,1.000000000000000000e+00
1.018509950827935828e+00,1.000000000000000000e+00
7.468230443848733469e-01,1.000000000000000000e+00
1.104934284514351717e+00,1.000000000000000000e+00
1.246885238116138828e+00,1.000000000000000000e+00
1.045062673900864603e+00,1.000000000000000000e+00
1.094470280881226332e+00,1.000000000000000000e+00
1.307899004545517663e+00,1.000000000000000000e+00
1.254993067741139612e+00,1.000000000000000000e+00
1.167750803029891760e+00,1.000000000000000000e+00
8.283269243543147642e-01,1.000000000000000000e+00
7.849242803763791798e-01,1.000000000000000000e+00
9.371849585084397471e-01,1.000000000000000000e+00
9.582678265986425137e-01,1.000000000000000000e+00
1.163660548024028740e+00,1.000000000000000000e+00
6.786033471775727577e-01,1.000000000000000000e+00
8.901460080939116448e-01,1.000000000000000000e+00
1.059167950588057572e+00,1.000000000000000000e+00
8.199730962859828054e-01,1.000000000000000000e+00
1.089749371128733602e+00,1.000000000000000000e+00
1.171512420239142926e+00,1.000000000000000000e+00
8.303758290415350629e-01,1.000000000000000000e+00
1.079161502143232365e+00,1.000000000000000000e+00
1.048052092666920787e+00,1.000000000000000000e+00
9.662202368054887414e-01,1.000000000000000000e+00
1.073716190201313481e+00,1.000000000000000000e+00
1.112735472299112960e+00,1.000000000000000000e+00
8.731260165282668240e-01,1.000000000000000000e+00
6.667522993069378012e-01,1.000000000000000000e+00
8.886280850449352897e-01,1.000000000000000000e+00
8.380203826656485999e-01,1.000000000000000000e+00
8.769475704146276751e-01,1.000000000000000000e+00
1.069312725194131897e+00,1.000000000000000000e+00
8.427645218279700146e-01,1.000000000000000000e+00
1.222965485578885403e+00,1.000000000000000000e+00
1.054006149773528023e+00,1.000000000000000000e+00
9.237635224322370275e-01,1.000000000000000000e+00
7.344870694770140318e-01,1.000000000000000000e+00
1.229300637668238272e+00,1.000000000000000000e+00
1.136406017958767389e+00,1.000000000000000000e+00
1.002598421382877136e+00,1.000000000000000000e+00
1.302483510023434654e+00,1.000000000000000000e+00
1.169734841960227811e+00,1.000000000000000000e+00
9.183196727890472477e-01,1.000000000000000000e+00
1.112867012142591427e+00,1.000000000000000000e+00
9.163623168551706666e-01,1.000000000000000000e+00
9.664470164345403402e-01,1.000000000000000000e+00
1.381518048061260107e+00,1.000000000000000000e+00
8.876683831676255299e-01,1.000000000000000000e+00
1.090832250550017646e+00,1.000000000000000000e+00
1.059209910691830459e+00,1.000000000000000000e+00
1.275239156946093688e+00,1.000000000000000000e+00
1.091910109540312757e+00,1.000000000000000000e+00
1.213952249692666019e+00,1.000000000000000000e+00

