m,likelihood
1.680994237912330824e+00,1.000000000000000000e+00
2.609123469815806118e+00,1.000000000000000000e+00
1.776180424731212515e+00,1.000000000000000000e+00
2.157206065095677694e+00,1.000000000000000000e+00
1.586202543498427486e+00,1.000000000000000000e+00
2.356362675200592616e+00,1.000000000000000000e+00
1.698644063112663805e+00,1.000000000000000000e+00
1.680005998704469095e+00,1.000000000000000000e+00
1.612801389118968309e+00,1.000000000000000000e+00
2.318814538366917422e+00,1.000000000000000000e+00
2.334585266317755092e+00,1.000000000000000000e+00
1.993504151698431093e+00,1.000000000000000000e+00
2.169889800731453544e+00,1.000000000000000000e+00
1.816649510154422442e+00,1.000000000000000000e+00
2.299539084508261055e+00,1.000000000000000000e+00
1.813893969476463752e+00,1.000000000000000000e+00
1.477982296769751347e+00,1.000000000000000000e+00
2.117048359024139348e+00,1.000000000000000000e+00
1.636148296144419145e+00,1.000000000000000000e+00
1.963698433669261112e+00,1.000000000000000000e+00
2.185015204337499739e+00,1.000000000000000000e+00
1.670116992689944180e+00,1.000000000000000000e+00
1.898835295104953635e+00,1.000000000000000000e+00
1.862410530182396995e+00,1.000000000000000000e+00
1.336649005389354716e+00,1.000000000000000000e+00
1.898263921610938487e+00,1.000000000000000000e+00
1.952744889362517000e+00,1.000000000000000000e+00
2.220009538965784568e+00,1.000000000000000000e+00
2.244773766491098943e+00,1.000000000000000000e+00
2.209406789359448897e+00,1.000000000000000000e+00
2.173706587623941644e+00,1.000000000000000000e+00
2.183176157513234461e+00,1.000000000000000000e+00
2.330938662067633782e+00,1.000000000000000000e+00
2.397096011280136718e+00,1.000000000000000000e+00
2.037171887513225865e+00,1.000000000000000000e+00
1.850538387227303350e+00,1.000000000000000000e+00
2.447299770634440375e+00,1.000000000000000000e+00
1.686582411476966303e+00,1.000000000000000000e+00
2.208034021646290590e+00,1.000000000000000000e+00
1.780990466244323889e+00,1.000000000000000000e+00
2.080568975372854457e+00,1.000000000000000000e+00
1.641590366318847583e+00,1.000000000000000000e+00
1.567348796383585707e+00,1.000000000000000000e+00
1.660438514142755340e+00,1.000000000000000000e+00
1.612200289196489500e+00,1.000000000000000000e+00
1.524762251888894138e+00,1.000000000000000000e+00
1.215616386029679141e+00,1.000000000000000000e+00
1.812963520605203716e+00,1.000000000000000000e+00
1.930636022528136486e+00,1.000000000000000000e+00
1.964919954227333454e+00,1.000000000000000000e+00
1.859748058344265820e+00,1.000000000000000000e+00
1.895508145097124952e+00,1.000000000000000000e+00
1.250650402324610111e+00,1.000000000000000000e+00
1.532389730473414202e+00,1.000000000000000000e+00
2.084289722091190900e+00,1.000000000000000000e+00
2.006816277747831112e+00,1.000000000000000000e+00
2.586355387530732131e+00,1.000000000000000000e+00
1.840960504097973738e+00,1.000000000000000000e+00
1.939134599389779279e+00,1.000000000000000000e+00
1.958254732707060075e+00,1.000000000000000000e+00
1.850871239836624049e+00,1.000000000000000000e+00
2.196348758706057502e+00,1.000000000000000000e+00
1.591490122773043581e+00,1.000000000000000000e+00
2.222575208947225267e+00,1.000000000000000000e+00
2.298643253621726501e+00,1.000000000000000000e+00
2.222511124919132275e+00,1.000000000000000000e+00
2.053862681035718118e+00,1.000000000000000000e+00
1.869553066671284069e+00,1.000000000000000000e+00
1.952457500892296860e+00,1.000000000000000000e+00
2.474010874007789962e+00,1.000000000000000000e+00
1.729947192377436327e+00,1.000000000000000000e+00
1.926112717316354805e+00,1.000000000000000000e+00
2.429352047215647126e+00,1.000000000000000000e+00
1.997522951271265557e+00,1.000000000000000000e+00
1.059212507629625044e+00,1.000000000000000000e+00
1.354048120670277022e+00,1.000000000000000000e+00
2.577419706659536569e+00,1.000000000000000000e+00
2.968420945461409222e+00,1.000000000000000000e+00
2.069351720802345973e+00,1.000000000000000000e+00
1.952733744556951478e+00,1.000000000000000000e+00
2.178984241687259349e+00,1.000000000000000000e+00
2.314306436763957642e+00,1.000000000000000000e+00
2.031767935863670882e+00,1.000000000000000000e+00
1.890034225899569043e+00,1.000000000000000000e+00
2.316226292127889330e+00,1.000000000000000000e+00
1.677171458496170997e+00,1.000000000000000000e+00
1.526262317333351826e+00,1.000000000000000000e+00
1.514161791099091658e+00,1.000000000000000000e+00
1.932258955947929513e+00,1.000000000000000000e+00
2.496645078400734352e+00,1.000000000000000000e+00
1.509887933429543416e+00,1.000000000000000000e+00
1.207814862550141699e+00,1.000000000000000000e+00
2.020381615746665194e+00,1.000000000000000000e+00
1.785839296435293821e+00,1.000000000000000000e+00
1.551810661667133218e+00,1.000000000000000000e+00
2.678947170470288075e+00,1.000000000000000000e+00
1.776218649999919297e+00,1.000000000000000000e+00
2.162467564518897767e+00,1.000000000000000000e+00
1.659036492748150460e+00,1.000000000000000000e+00
1.500193782399967368e+00,1.000000000000000000e+00

