m,likelihood
1.255282497457276492e+00,1.000000000000000000e+00
1.280878762114320280e+00,1.000000000000000000e+00
1.358174614160926108e+00,1.000000000000000000e+00
1.187650071548263409e+00,1.000000000000000000e+00
1.308388547933690749e+00,1.000000000000000000e+00
1.615723033984482138e+00,1.000000000000000000e+00
1.240578991470848491e+00,1.000000000000000000e+00
1.627783862388210601e+00,1.000000000000000000e+00
1.106701621118064471e+00,1.000000000000000000e+00
1.228978611005918875e+00,1.000000000000000000e+00
1.385314024934065191e+00,1.000000000000000000e+00
1.395889987607069616e+00,1.000000000000000000e+00
1.270450585046999148e+00,1.000000000000000000e+00
1.538036829162580554e+00,1.000000000000000000e+00
1.305332324503264640e+00,1.000000000000000000e+00
1.339393627325064395e+00,1.000000000000000000e+00
1.489181856148345862e+00,1.000000000000000000e+00
1.453483632284632954e+00,1.000000000000000000e+00
1.413706040104853345e+00,1.000000000000000000e+00
1.261440204828179201e+00,1.000000000000000000e+00
1.390384734010382539e+00,1.000000000000000000e+00
1.397678966119829669e+00,1.000000000000000000e+00
1.485676650947498123e+00,1.000000000000000000e+00
1.743692779519493863e+00,1.000000000000000000e+00
9.907543465996238030e-01,1.000000000000000000e+00
1.414209011472750355e+00,1.000000000000000000e+00
1.104283583799274160e+00,1.000000000000000000e+00
1.450001914857769636e+00,1.000000000000000000e+00
1.298111347054988096e+00,1.000000000000000000e+00
1.405578678948251614e+00,1.000000000000000000e+00
1.561440147054116379e+00,1.000000000000000000e+00
1.507890100903040320e+00,1.000000000000000000e+00
1.446762177322325593e+00,1.000000000000000000e+00
1.568435394197269517e+00,1.000000000000000000e+00
1.525467034793019927e+00,1.000000000000000000e+00
1.351822897140863899e+00,1.000000000000000000e+00
1.198575637290977269e+00,1.000000000000000000e+00
1.394111532736447057e+00,1.000000000000000000e+00
1.356922314792968987e+00,1.000000000000000000e+00
1.484957607521966594e+00,1.000000000000000000e+00
1.462547921917769944e+00,1.000000000000000000e+00
1.229258473687951936e+00,1.000000000000000000e+00
1.256773798170376377e+00,1.000000000000000000e+00
1.453279041027845109e+00,1.000000000000000000e+00
1.152725129543279881e+00,1.000000000000000000e+00
1.503245870529777983e+00,1.000000000000000000e+00
1.459462149908401285e+00,1.000000000000000000e+00
1.521756877872146418e+00,1.000000000000000000e+00
1.264664696464758986e+00,1.000000000000000000e+00
1.302673844686692783e+00,1.000000000000000000e+00
1.395648904377969846e+00,1.000000000000000000e+00
1.254396979985476834e+00,1.000000000000000000e+00
1.259816044277076275e+00,1.000000000000000000e+00
1.460498890822907070e+00,1.000000000000000000e+00
1.222584149313567181e+00,1.000000000000000000e+00
1.374628861609092256e+00,1.000000000000000000e+00
1.557102618289888829e+00,1.000000000000000000e+00
1.251423720865931566e+00,1.000000000000000000e+00
1.436231393316446336e+00,1.000000000000000000e+00
1.284019687886376770e+00,1.000000000000000000e+00
1.438526155719725752e+00,1.000000000000000000e+00
1.606095435724891995e+00,1.000000000000000000e+00
1.159719220344663126e+00,1.000000000000000000e+00
1.354213419926822093e+00,1.000000000000000000e+00
1.323468296099271191e+00,1.000000000000000000e+00
1.422181594586798603e+00,1.000000000000000000e+00
1.527393049485262555e+00,1.000000000000000000e+00
1.423785319654041759e+00,1.000000000000000000e+00
1.778662834208837751e+00,1.000000000000000000e+00
1.513281846747285719e+00,1.000000000000000000e+00
1.386929373862582082e+00,1.000000000000000000e+00
1.416429762616121302e+00,1.000000000000000000e+00
1.367292255623810515e+00,1.000000000000000000e+00
1.396098175744540537e+00,1.000000000000000000e+00
1.316303730745295386e+00,1.000000000000000000e+00
1.446703654127308392e+00,1.000000000000000000e+00
1.409939828896328295e+00,1.000000000000000000e+00
1.559928537229171797e+00,1.000000000000000000e+00
1.260079935848120058e+00,1.000000000000000000e+00
1.185292478434806673e+00,1.000000000000000000e+00
1.371861773330155021e+00,1.000000000000000000e+00
1.525349430212187052e+00,1.000000000000000000e+00
1.623700867870023767e+00,1.000000000000000000e+00
1.182506293351058613e+00,1.000000000000000000e+00
1.326675601085083089e+00,1.000000000000000000e+00
1.491659628811749183e+00,1.000000000000000000e+00
1.228387448645739122e+00,1.000000000000000000e+00
1.435380318550687928e+00,1.000000000000000000e+00
1.517233653238021507e+00,1.000000000000000000e+00
1.427153442832006514e+00,1.000000000000000000e+00
1.442161285422133732e+00,1.000000000000000000e+00
1.563463421040985679e+00,1.000000000000000000e+00
1.571471953491297313e+00,1.000000000000000000e+00
1.478479381336456733e+00,1.000000000000000000e+00
1.478523297867503583e+00,1.000000000000000000e+00
1.314407789129505399e+00,1.000000000000000000e+00
1.437991171370873955e+00,1.000000000000000000e+00
1.365049205640850305e+00,1.000000000000000000e+00
1.551698546317947791e+00,1.000000000000000000e+00
1.515416739033735194e+00,1.000000000000000000e+00
