m,likelihood
1.449820054702386951e+00,1.000000000000000000e+00
1.600172319786012709e+00,1.000000000000000000e+00
1.576321963494107692e+00,1.000000000000000000e+00
1.385960648687227570e+00,1.000000000000000000e+00
1.719407161140902085e+00,1.000000000000000000e+00
1.445334670985492398e+00,1.000000000000000000e+00
1.273375677625615543e+00,1.000000000000000000e+00
1.642060151437456428e+00,1.000000000000000000e+00
1.712722065067253219e+00,1.000000000000000000e+00
1.416035434934681758e+00,1.000000000000000000e+00
1.612964496622823818e+00,1.000000000000000000e+00
1.336294389229354174e+00,1.000000000000000000e+00
1.339378207535375509e+00,1.000000000000000000e+00
1.365715644774830206e+00,1.000000000000000000e+00
1.615624739195524517e+00,1.000000000000000000e+00
1.659095935661755394e+00,1.000000000000000000e+00
1.755885093113243700e+00,1.000000000000000000e+00
1.447708688067260052e+00,1.000000000000000000e+00
1.499974542696785429e+00,1.000000000000000000e+00
1.454532319766321136e+00,1.000000000000000000e+00
1.508463532971583865e+00,1.000000000000000000e+00
1.563853143258119527e+00,1.000000000000000000e+00
1.659243662767643901e+00,1.000000000000000000e+00
1.614182124466208679e+00,1.000000000000000000e+00
1.676114511415226493e+00,1.000000000000000000e+00
1.772852314060799239e+00,1.000000000000000000e+00
1.801433672662818619e+00,1.000000000000000000e+00
1.522540869501176175e+00,1.000000000000000000e+00
1.590461658875801820e+00,1.000000000000000000e+00
1.385787064302920424e+00,1.000000000000000000e+00
1.619651348190790152e+00,1.000000000000000000e+00
1.777789808593740917e+00,1.000000000000000000e+00
1.827663537293005458e+00,1.000000000000000000e+00
1.639096268208666940e+00,1.000000000000000000e+00
1.889570633888435713e+00,1.000000000000000000e+00
1.683144452564560911e+00,1.000000000000000000e+00
1.217262655503050572e+00,1.000000000000000000e+00
1.709686086951301753e+00,1.000000000000000000e+00
1.589083761048196708e+00,1.000000000000000000e+00
1.602462258414854901e+00,1.000000000000000000e+00
1.532157954771345532e+00,1.000000000000000000e+00
1.392943007595353277e+00,1.000000000000000000e+00
1.226897669893865617e+00,1.000000000000000000e+00
1.636095721849841977e+00,1.000000000000000000e+00
1.469226205432376808e+00,1.000000000000000000e+00
1.674454719016387427e+00,1.000000000000000000e+00
1.478120847486684486e+00,1.000000000000000000e+00
1.358772332856258869e+00,1.000000000000000000e+00
1.579221578603546394e+00,1.000000000000000000e+00
1.553377260678935556e+00,1.000000000000000000e+00
1.491221496309973249e+00,1.000000000000000000e+00
1.435543946600711829e+00,1.000000000000000000e+00
1.793688520124832042e+00,1.000000000000000000e+00
1.385594374785048100e+00,1.000000000000000000e+00
1.709163177654557053e+00,1.000000000000000000e+00
1.676943865780079923e+00,1.000000000000000000e+00
1.494856459537028393e+00,1.000000000000000000e+00
1.410800640421065566e+00,1.000000000000000000e+00
1.383004519749610584e+00,1.000000000000000000e+00
1.581466320935245973e+00,1.000000000000000000e+00
1.383319721301380589e+00,1.000000000000000000e+00
1.562604956998092876e+00,1.000000000000000000e+00
1.488097540384010431e+00,1.000000000000000000e+00
1.344009047990354366e+00,1.000000000000000000e+00
1.423582617529360217e+00,1.000000000000000000e+00
1.538227741375811863e+00,1.000000000000000000e+00
1.507346559062724634e+00,1.000000000000000000e+00
1.547881658186443632e+00,1.000000000000000000e+00
1.275268681427407458e+00,1.000000000000000000e+00
1.616804344039269647e+00,1.000000000000000000e+00
1.827656152189746308e+00,1.000000000000000000e+00
1.962730071919675190e+00,1.000000000000000000e+00
1.789020485762794266e+00,1.000000000000000000e+00
1.401932787424699178e+00,1.000000000000000000e+00
1.680547377524134856e+00,1.000000000000000000e+00
1.821440386031352165e+00,1.000000000000000000e+00
1.482758000733917614e+00,1.000000000000000000e+00
1.565160732953846612e+00,1.000000000000000000e+00
1.364252368273247029e+00,1.000000000000000000e+00
1.730774641502129230e+00,1.000000000000000000e+00
1.566269947273272622e+00,1.000000000000000000e+00
1.513472223266922434e+00,1.000000000000000000e+00
1.656217773425387341e+00,1.000000000000000000e+00
1.622659561570571229e+00,1.000000000000000000e+00
1.399435691308907659e+00,1.000000000000000000e+00
1.424084833527685223e+00,1.000000000000000000e+00
1.439366964241904912e+00,1.000000000000000000e+00
1.377196213384144885e+00,1.000000000000000000e+00
1.474543805519735296e+00,1.000000000000000000e+00
1.357931738434374536e+00,1.000000000000000000e+00
1.688125650199225669e+00,1.000000000000000000e+00
1.698870290958304885e+00,1.000000000000000000e+00
1.436484364423250115e+00,1.000000000000000000e+00
1.558131269068649960e+00,1.000000000000000000e+00
1.608119087615403231e+00,1.000000000000000000e+00
1.402985649208158048e+00,1.000000000000000000e+00
1.690046347923554571e+00,1.000000000000000000e+00
1.494598321942626651e+00,1.000000000000000000e+00
1.564441207819592394e+00,1.000000000000000000e+00
1.664104950040057984e+00,1.000000000000000000e+00
