m,likelihood
1.748520765859964632e+00,1.000000000000000000e+00
1.293719662797175207e+00,1.000000000000000000e+00
1.747317827650263888e+00,1.000000000000000000e+00
1.989907953831064447e+00,1.000000000000000000e+00
1.747049469146619627e+00,1.000000000000000000e+00
1.677677832743492248e+00,1.000000000000000000e+00
1.894461824450604848e+00,1.000000000000000000e+00
1.781610016787475104e+00,1.000000000000000000e+00
1.740762198853555542e+00,1.000000000000000000e+00
1.877987712918428587e+00,1.000000000000000000e+00
1.638354511058186969e+00,1.000000000000000000e+00
1.553932009528933067e+00,1.000000000000000000e+00
1.863849797836275357e+00,1.000000000000000000e+00
1.888474713964570784e+00,1.000000000000000000e+00
1.474510085186193420e+00,1.000000000000000000e+00
1.643100532790980228e+00,1.000000000000000000e+00
1.566315281496366785e+00,1.000000000000000000e+00
1.594751610816976584e+00,1.000000000000000000e+00
1.695892795921145391e+00,1.000000000000000000e+00
2.005720281164866670e+00,1.000000000000000000e+00
1.678199017195567189e+00,1.000000000000000000e+00
1.982486996034625193e+00,1.000000000000000000e+00
1.456287135346820305e+00,1.000000000000000000e+00
1.471913582053423486e+00,1.000000000000000000e+00
1.712678328652774251e+00,1.000000000000000000e+00
1.801623731206508650e+00,1.000000000000000000e+00
1.697617383766774957e+00,1.000000000000000000e+00
1.795139694819026577e+00,1.000000000000000000e+00
1.788314810134582711e+00,1.000000000000000000e+00
1.851076838202415198e+00,1.000000000000000000e+00
1.959896165936316104e+00,1.000000000000000000e+00
1.973032901499884861e+00,1.000000000000000000e+00
1.749128959903563096e+00,1.000000000000000000e+00
1.534923536107418052e+00,1.000000000000000000e+00
1.884603214634915425e+00,1.000000000000000000e+00
1.606619785377068066e+00,1.000000000000000000e+00
1.665184143092151237e+00,1.000000000000000000e+00
1.723951677454998777e+00,1.000000000000000000e+00
1.842801638472455483e+00,1.000000000000000000e+00
2.154987388027056028e+00,1.000000000000000000e+00
1.934653740211790485e+00,1.000000000000000000e+00
1.608130887922687657e+00,1.000000000000000000e+00
1.493468673708468808e+00,1.000000000000000000e+00
1.944945851091028688e+00,1.000000000000000000e+00
1.642430464518984889e+00,1.000000000000000000e+00
1.700855599127644835e+00,1.000000000000000000e+00
1.349957323451862035e+00,1.000000000000000000e+00
1.604678233917323560e+00,1.000000000000000000e+00
1.942115145928286157e+00,1.000000000000000000e+00
1.690667427222052099e+00,1.000000000000000000e+00
1.914104299081453853e+00,1.000000000000000000e+00
2.136521476603503444e+00,1.000000000000000000e+00
1.581757773731789607e+00,1.000000000000000000e+00
1.529599078373572452e+00,1.000000000000000000e+00
1.617428878676443471e+00,1.000000000000000000e+00
1.663904133780343964e+00,1.000000000000000000e+00
1.961503064396538321e+00,1.000000000000000000e+00
1.956886967894828189e+00,1.000000000000000000e+00
1.788839526953256209e+00,1.000000000000000000e+00
1.562637609193753052e+00,1.000000000000000000e+00
1.639902941372299638e+00,1.000000000000000000e+00
1.807358544373448339e+00,1.000000000000000000e+00
1.654111048758991620e+00,1.000000000000000000e+00
1.663542674540068544e+00,1.000000000000000000e+00
1.765314360921020231e+00,1.000000000000000000e+00
1.639544698252016985e+00,1.000000000000000000e+00
1.679097592700138586e+00,1.000000000000000000e+00
1.636957267586418130e+00,1.000000000000000000e+00
2.081374208301996376e+00,1.000000000000000000e+00
1.694538363835746075e+00,1.000000000000000000e+00
1.772498363688691070e+00,1.000000000000000000e+00
1.716175691338593712e+00,1.000000000000000000e+00
1.788608547966755502e+00,1.000000000000000000e+00
1.700938057026508687e+00,1.000000000000000000e+00
1.527284214630204806e+00,1.000000000000000000e+00
1.845563249286097163e+00,1.000000000000000000e+00
1.467802784313337439e+00,1.000000000000000000e+00
1.365074094057668885e+00,1.000000000000000000e+00
1.710699844079805132e+00,1.000000000000000000e+00
1.929243760070392222e+00,1.000000000000000000e+00
1.776522499737849925e+00,1.000000000000000000e+00
1.938348858449063350e+00,1.000000000000000000e+00
1.954810710584419686e+00,1.000000000000000000e+00
1.483364633038776192e+00,1.000000000000000000e+00
1.827063894686536072e+00,1.000000000000000000e+00
2.081772665785998289e+00,1.000000000000000000e+00
1.857329060131154952e+00,1.000000000000000000e+00
1.506856423268270628e+00,1.000000000000000000e+00
1.320906195522388860e+00,1.000000000000000000e+00
1.668952098958970121e+00,1.000000000000000000e+00
1.703513972876311122e+00,1.000000000000000000e+00
1.903260830846629448e+00,1.000000000000000000e+00
2.017526574629444625e+00,1.000000000000000000e+00
1.876611078127372156e+00,1.000000000000000000e+00
1.980797281742967098e+00,1.000000000000000000e+00
1.856508973850700350e+00,1.000000000000000000e+00
1.500281027833409331e+00,1.000000000000000000e+00
1.807035119803980017e+00,1.000000000000000000e+00
1.693194749654886477e+00,1.000000000000000000e+00
1.980428332699220473e+00,1.000000000000000000e+00
