m,likelihood
1.254388997526844296e+00,1.000000000000000000e+00
1.919941205483083113e+00,1.000000000000000000e+00
2.278204935128618658e+00,1.000000000000000000e+00
2.494615373489077470e+00,1.000000000000000000e+00
1.653697175319842394e+00,1.000000000000000000e+00
2.830393886551143101e+00,1.000000000000000000e+00
2.310584638068715169e+00,1.000000000000000000e+00
1.758668221447337698e+00,1.000000000000000000e+00
2.238417697089808200e+00,1.000000000000000000e+00
2.310672268974371946e+00,1.000000000000000000e+00
2.227481976725600887e+00,1.000000000000000000e+00
1.899552124528279151e+00,1.000000000000000000e+00
1.733056178072554632e+00,1.000000000000000000e+00
1.812334336322301898e+00,1.000000000000000000e+00
2.272422386799297200e+00,1.000000000000000000e+00
1.496477187550911969e+00,1.000000000000000000e+00
2.397018304795779819e+00,1.000000000000000000e+00
1.816203655952133733e+00,1.000000000000000000e+00
2.044605794275886623e+00,1.000000000000000000e+00
1.825846764933395594e+00,1.000000000000000000e+00
2.063731009386165383e+00,1.000000000000000000e+00
1.624860884483045442e+00,1.000000000000000000e+00
2.401052208477188366e+00,1.000000000000000000e+00
1.387674859049770504e+00,1.000000000000000000e+00
2.890407746006601997e+00,1.000000000000000000e+00
1.835239994063228686e+00,1.000000000000000000e+00
1.852022685550950731e+00,1.000000000000000000e+00
2.316316276176670463e+00,1.000000000000000000e+00
1.739240068657042171e+00,1.000000000000000000e+00
2.196854253756556741e+00,1.000000000000000000e+00
2.523840170733573807e+00,1.000000000000000000e+00
1.592059522018577367e+00,1.000000000000000000e+00
1.396651847885207243e+00,1.000000000000000000e+00
2.772335654426005824e+00,1.000000000000000000e+00
2.523446755590990076e+00,1.000000000000000000e+00
2.216052335997822365e+00,1.000000000000000000e+00
1.448696736063455504e+00,1.000000000000000000e+00
1.498926409877658905e+00,1.000000000000000000e+00
1.625043448506693133e+00,1.000000000000000000e+00
2.433744668687608304e+00,1.000000000000000000e+00
2.095618816638788129e+00,1.000000000000000000e+00
1.519764969190375403e+00,1.000000000000000000e+00
1.800829364337867222e+00,1.000000000000000000e+00
2.452362621813160892e+00,1.000000000000000000e+00
1.627271396091057420e+00,1.000000000000000000e+00
1.293719838136636824e+00,1.000000000000000000e+00
2.688610455249757614e+00,1.000000000000000000e+00
1.716751731551596993e+00,1.000000000000000000e+00
2.388344251976537880e+00,1.000000000000000000e+00
2.050907826919959209e+00,1.000000000000000000e+00
2.695404719882465105e+00,1.000000000000000000e+00
1.836171466899837457e+00,1.000000000000000000e+00
2.378708837915702645e+00,1.000000000000000000e+00
2.040087870892826949e+00,1.000000000000000000e+00
2.710180931403531446e+00,1.000000000000000000e+00
1.475656585247258290e+00,1.000000000000000000e+00
1.700395601341077034e+00,1.000000000000000000e+00
1.372468146765391417e+00,1.000000000000000000e+00
1.221088684427874771e+00,1.000000000000000000e+00
2.718249190238317681e+00,1.000000000000000000e+00
1.391437568655359058e+00,1.000000000000000000e+00
2.027637364047222057e+00,1.000000000000000000e+00
2.798474871599418545e+00,1.000000000000000000e+00
1.868643121406864616e+00,1.000000000000000000e+00
2.210412255110641766e+00,1.000000000000000000e+00
1.890587182157850155e+00,1.000000000000000000e+00
1.210473313683671837e+00,1.000000000000000000e+00
2.488551956070592208e+00,1.000000000000000000e+00
1.889810488255049048e+00,1.000000000000000000e+00
2.305951066558448392e+00,1.000000000000000000e+00
1.650278213336487942e+00,1.000000000000000000e+00
2.520986088836164374e+00,1.000000000000000000e+00
1.910244858450995675e+00,1.000000000000000000e+00
3.039706571820526726e+00,1.000000000000000000e+00
2.460761650565483905e+00,1.000000000000000000e+00
2.190714080958560572e+00,1.000000000000000000e+00
1.895639653296697702e+00,1.000000000000000000e+00
1.246894428987383563e+00,1.000000000000000000e+00
1.326682474243442877e+00,1.000000000000000000e+00
2.180955855316710323e+00,1.000000000000000000e+00
1.620865022027020652e+00,1.000000000000000000e+00
2.615979641133959976e+00,1.000000000000000000e+00
2.251358941086533338e+00,1.000000000000000000e+00
2.438102260233774743e+00,1.000000000000000000e+00
1.688494212293804475e+00,1.000000000000000000e+00
1.756620203263440372e+00,1.000000000000000000e+00
2.068699732820055370e+00,1.000000000000000000e+00
1.841557805334919751e+00,1.000000000000000000e+00
2.075763661089718326e+00,1.000000000000000000e+00
1.783358895355531715e+00,1.000000000000000000e+00
1.563733232474812551e+00,1.000000000000000000e+00
2.309357368259499221e+00,1.000000000000000000e+00
1.538190689819747270e+00,1.000000000000000000e+00
2.143909627871374735e+00,1.000000000000000000e+00
2.112630408619891487e+00,1.000000000000000000e+00
1.861128702850252337e+00,1.000000000000000000e+00
2.313879590157685850e+00,1.000000000000000000e+00
2.791986522635024226e+00,1.000000000000000000e+00
2.164242898181612418e+00,1.000000000000000000e+00
1.959020817220902266e+00,1.000000000000000000e+00
