m,likelihood
5.168696435805558709e-01,1.000000000000000000e+00
9.727455378673576236e-01,1.000000000000000000e+00
1.329906882754671171e+00,1.000000000000000000e+00
3.894558885631398404e-01,1.000000000000000000e+00
4.349311607950354652e-01,1.000000000000000000e+00
1.252901828894118941e+00,1.000000000000000000e+00
9.462341209381490703e-01,1.000000000000000000e+00
1.447833040483033296e+00,1.000000000000000000e+00
5.924968853725891549e-01,1.000000000000000000e+00
7.246883498399541157e-01,1.000000000000000000e+00
1.447227813981379452e+00,1.000000000000000000e+00
8.740911657704486526e-01,1.000000000000000000e+00
1.109403986486988680e+00,1.000000000000000000e+00
1.030651664352819408e+00,1.000000000000000000e+00
8.421407145707844322e-01,1.000000000000000000e+00
1.146834595403221080e+00,1.000000000000000000e+00
6.006323018306582995e-01,1.000000000000000000e+00
1.117526974095069292e+00,1.000000000000000000e+00
5.038039755479797321e-01,1.000000000000000000e+00
1.365771737943896946e+00,1.000000000000000000e+00
1.514594362742864853e+00,1.000000000000000000e+00
9.853001567719539278e-01,1.000000000000000000e+00
9.433909824206789807e-01,1.000000000000000000e+00
7.367893760765640288e-01,1.000000000000000000e+00
1.450597007515626924e+00,1.000000000000000000e+00
1.837435958648582446e+00,1.000000000000000000e+00
7.554899204830705095e-01,1.000000000000000000e+00
8.880231529953309666e-01,1.000000000000000000e+00
1.445037645065698095e+00,1.000000000000000000e+00
1.743308680871121563e+00,1.000000000000000000e+00
3.641783447829229914e-01,1.000000000000000000e+00
1.289001573882314622e+00,1.000000000000000000e+00
5.243837504673286576e-01,1.000000000000000000e+00
1.099956408781502804e+00,1.000000000000000000e+00
8.375167615371318375e-01,1.000000000000000000e+00
5.079664160224154346e-01,1.000000000000000000e+00
5.329852244763108038e-01,1.000000000000000000e+00
8.247051912780050120e-01,1.000000000000000000e+00
1.099434987761515936e+00,1.000000000000000000e+00
1.297331783162550378e+00,1.000000000000000000e+00
1.247900069913409293e+00,1.000000000000000000e+00
1.160972545040170223e+00,1.000000000000000000e+00
1.076285880564238129e+00,1.000000000000000000e+00
1.376232629320254475e+00,1.000000000000000000e+00
1.242310046235379772e+00,1.000000000000000000e+00
8.999992290710261411e-01,1.000000000000000000e+00
1.126998614120028996e+00,1.000000000000000000e+00
8.345754789950363683e-01,1.000000000000000000e+00
1.348164061375865419e+00,1.000000000000000000e+00
1.687628102135497077e+00,1.000000000000000000e+00
1.017335726207611701e+00,1.000000000000000000e+00
1.399257962012770307e+00,1.000000000000000000e+00
1.389829557826111284e+00,1.000000000000000000e+00
1.380749967011671409e+00,1.000000000000000000e+00
7.116847252334064233e-01,1.000000000000000000e+00
1.504243506125259700e+00,1.000000000000000000e+00
7.221805217327165183e-01,1.000000000000000000e+00
1.626472250226293825e+00,1.000000000000000000e+00
4.866981417352903572e-01,1.000000000000000000e+00
7.094618982177188782e-01,1.000000000000000000e+00
1.386955331003408176e+00,1.000000000000000000e+00
1.246810702786842251e+00,1.000000000000000000e+00
1.141879676596797566e+00,1.000000000000000000e+00
3.092430564468428011e-01,1.000000000000000000e+00
8.899259748656105362e-01,1.000000000000000000e+00
1.003878650937484185e+00,1.000000000000000000e+00
1.037329203444865344e+00,1.000000000000000000e+00
6.815386690796032543e-01,1.000000000000000000e+00
1.395776014253469421e+00,1.000000000000000000e+00
9.507083543031867867e-01,1.000000000000000000e+00
7.586879909378865250e-01,1.000000000000000000e+00
1.083574885512679442e+00,1.000000000000000000e+00
1.519668298094412506e+00,1.000000000000000000e+00
9.592753746860389619e-01,1.000000000000000000e+00
1.392133850974903719e+00,1.000000000000000000e+00
8.303299895623967863e-01,1.000000000000000000e+00
8.333376786344806053e-01,1.000000000000000000e+00
1.842242626153610896e+00,1.000000000000000000e+00
1.259652284842617265e-01,1.000000000000000000e+00
1.061204593737972157e+00,1.000000000000000000e+00
1.102567334200760474e+00,1.000000000000000000e+00
1.199996797686402106e+00,1.000000000000000000e+00
5.673995710459056596e-01,1.000000000000000000e+00
5.193064295681557585e-01,1.000000000000000000e+00
1.318673220326514350e+00,1.000000000000000000e+00
1.071297672098046272e+00,1.000000000000000000e+00
8.666842351575352321e-01,1.000000000000000000e+00
1.030405251737831485e+00,1.000000000000000000e+00
1.934201816749608671e+00,1.000000000000000000e+00
1.279386595023343842e+00,1.000000000000000000e+00
5.555654278904118559e-01,1.000000000000000000e+00
1.445811937251522128e+00,1.000000000000000000e+00
9.800773366227846228e-01,1.000000000000000000e+00
6.302809522249952501e-01,1.000000000000000000e+00
1.120476505255584510e+00,1.000000000000000000e+00
1.163052407017302059e+00,1.000000000000000000e+00
1.408709456613416844e+00,1.000000000000000000e+00
1.752983638794663124e+00,1.000000000000000000e+00
1.361837040253536912e+00,1.000000000000000000e+00
1.196074474669869048e+00,1.000000000000000000e+00
