m,likelihood
1.244749781819876944e+00,1.000000000000000000e+00
1.077683940295527609e+00,1.000000000000000000e+00
2.318935362707333692e+00,1.000000000000000000e+00
2.156504858733238272e+00,1.000000000000000000e+00
1.800354176003953199e+00,1.000000000000000000e+00
2.188993154913671191e+00,1.000000000000000000e+00
2.861310357858027675e+00,1.000000000000000000e+00
1.775896882952644029e+00,1.000000000000000000e+00
2.463407397728470283e+00,1.000000000000000000e+00
1.398895105337320643e+00,1.000000000000000000e+00
2.028729965488677234e+00,1.000000000000000000e+00
1.580661324442152793e+00,1.000000000000000000e+00
2.124151709100899676e+00,1.000000000000000000e+00
2.308403307431801110e+00,1.000000000000000000e+00
2.499348001541679132e+00,1.000000000000000000e+00
1.982054455152394201e+00,1.000000000000000000e+00
2.181999232826090207e+00,1.000000000000000000e+00
2.220711555936095483e+00,1.000000000000000000e+00
1.290224869143698827e+00,1.000000000000000000e+00
1.487086649809974404e+00,1.000000000000000000e+00
2.139210368702889831e+00,1.000000000000000000e+00
2.635418555286005216e+00,1.000000000000000000e+00
2.466174971114970749e+00,1.000000000000000000e+00
1.828496727429586244e+00,1.000000000000000000e+00
2.022150915070804800e+00,1.000000000000000000e+00
1.938571964126125646e+00,1.000000000000000000e+00
2.316116096090052423e+00,1.000000000000000000e+00
1.422386719375825503e+00,1.000000000000000000e+00
1.327509844474530798e+00,1.000000000000000000e+00
2.105525222840055832e+00,1.000000000000000000e+00
2.272250830249187725e+00,1.000000000000000000e+00
1.703971510820561086e+00,1.000000000000000000e+00
2.817996070266739927e+00,1.000000000000000000e+00
2.681665929865677533e+00,1.000000000000000000e+00
1.663418038874015403e+00,1.000000000000000000e+00
1.240960403204298679e+00,1.000000000000000000e+00
2.383411497316986427e+00,1.000000000000000000e+00
1.956619463486619193e+00,1.000000000000000000e+00
2.293241634189866485e+00,1.000000000000000000e+00
2.581260520055600693e+00,1.000000000000000000e+00
2.009039997788184539e+00,1.000000000000000000e+00
2.029807835077564793e+00,1.000000000000000000e+00
1.625916437124216518e+00,1.000000000000000000e+00
1.301178157154551318e+00,1.000000000000000000e+00
2.637985317796494034e+00,1.000000000000000000e+00
2.438587299600407210e+00,1.000000000000000000e+00
1.672869368171147508e+00,1.000000000000000000e+00
2.059688071000433496e+00,1.000000000000000000e+00
2.143853561380212547e+00,1.000000000000000000e+00
1.835891711145497984e+00,1.000000000000000000e+00
3.028636384370141599e+00,1.000000000000000000e+00
2.143674653198874402e+00,1.000000000000000000e+00
2.322150177047653141e+00,1.000000000000000000e+00
1.653019833751394829e+00,1.000000000000000000e+00
1.174484334573720368e+00,1.000000000000000000e+00
1.868184087867347909e+00,1.000000000000000000e+00
2.200940608731105641e+00,1.000000000000000000e+00
1.986766180424585970e+00,1.000000000000000000e+00
2.719387822229601070e+00,1.000000000000000000e+00
2.072617454536996640e+00,1.000000000000000000e+00
1.908049917513473526e+00,1.000000000000000000e+00
2.271217878308826155e+00,1.000000000000000000e+00
1.932980218369001912e+00,1.000000000000000000e+00
1.752880733176592321e+00,1.000000000000000000e+00
1.882441746025584450e+00,1.000000000000000000e+00
9.619240098908186098e-01,1.000000000000000000e+00
2.479964481516011343e+00,1.000000000000000000e+00
2.111446782348479712e+00,1.000000000000000000e+00
1.482433908671487277e+00,1.000000000000000000e+00
2.414298399621620295e+00,1.000000000000000000e+00
2.014650588456705638e+00,1.000000000000000000e+00
2.488447581244065621e+00,1.000000000000000000e+00
2.216744560583437718e+00,1.000000000000000000e+00
1.935555427190774447e+00,1.000000000000000000e+00
2.272995789197180372e+00,1.000000000000000000e+00
1.539502294199549759e+00,1.000000000000000000e+00
1.882714737655573511e+00,1.000000000000000000e+00
1.845668502019952362e+00,1.000000000000000000e+00
2.295388701892550731e+00,1.000000000000000000e+00
1.498566905988353737e+00,1.000000000000000000e+00
2.541080128509407121e+00,1.000000000000000000e+00
2.268294938053708520e+00,1.000000000000000000e+00
1.683829403500840760e+00,1.000000000000000000e+00
2.498128553845279320e+00,1.000000000000000000e+00
1.816965269175628617e+00,1.000000000000000000e+00
2.559801044365952905e+00,1.000000000000000000e+00
1.380369548567188964e+00,1.000000000000000000e+00
2.216930517303858039e+00,1.000000000000000000e+00
1.945216371287316282e+00,1.000000000000000000e+00
1.470383522725604797e+00,1.000000000000000000e+00
2.650408640179248820e+00,1.000000000000000000e+00
1.939523824736481439e+00,1.000000000000000000e+00
2.124776584892759335e+00,1.000000000000000000e+00
1.955616727998547244e+00,1.000000000000000000e+00
2.201309400055468490e+00,1.000000000000000000e+00
1.938708967342360978e+00,1.000000000000000000e+00
2.034450169868311509e+00,1.000000000000000000e+00
2.331593405544574171e+00,1.000000000000000000e+00
1.848388872279176143e+00,1.000000000000000000e+00
1.888872350590286686e+00,1.000000000000000000e+00
