m,likelihood
1.339094409283862808e+00,1.000000000000000000e+00
1.330341267742039202e+00,1.000000000000000000e+00
1.317879332611813670e+00,1.000000000000000000e+00
1.321531650786810674e+00,1.000000000000000000e+00
1.312124314899133060e+00,1.000000000000000000e+00
1.305147211347015279e+00,1.000000000000000000e+00
1.316470263587298239e+00,1.000000000000000000e+00
1.341403712764639211e+00,1.000000000000000000e+00
1.327679015327705825e+00,1.000000000000000000e+00
1.308749566045994461e+00,1.000000000000000000e+00
1.313737937130077471e+00,1.000000000000000000e+00
1.326514111702988163e+00,1.000000000000000000e+00
1.328440316616650074e+00,1.000000000000000000e+00
1.322656430119705462e+00,1.000000000000000000e+00
1.327545439486152556e+00,1.000000000000000000e+00
1.319852863620589067e+00,1.000000000000000000e+00
1.317340289398439168e+00,1.000000000000000000e+00
1.311866881093341819e+00,1.000000000000000000e+00
1.321558471416901748e+00,1.000000000000000000e+00
1.318795632524441874e+00,1.000000000000000000e+00
1.337787554173500482e+00,1.000000000000000000e+00
1.325472138340813455e+00,1.000000000000000000e+00
1.308038578460953172e+00,1.000000000000000000e+00
1.323136498058687049e+00,1.000000000000000000e+00
1.307624452259616099e+00,1.000000000000000000e+00
1.331455874994670996e+00,1.000000000000000000e+00
1.340808551892782585e+00,1.000000000000000000e+00
1.333116915484183540e+00,1.000000000000000000e+00
1.321817561446023026e+00,1.000000000000000000e+00
1.316573034946602272e+00,1.000000000000000000e+00
1.318749250031515885e+00,1.000000000000000000e+00
1.310987929095972948e+00,1.000000000000000000e+00
1.306182058349083519e+00,1.000000000000000000e+00
1.317363576411747506e+00,1.000000000000000000e+00
1.291474320242460561e+00,1.000000000000000000e+00
1.323317646891891686e+00,1.000000000000000000e+00
1.336931311677549417e+00,1.000000000000000000e+00
1.321665260712427736e+00,1.000000000000000000e+00
1.325531052693109446e+00,1.000000000000000000e+00
1.317903934961127677e+00,1.000000000000000000e+00
1.298782593791224294e+00,1.000000000000000000e+00
1.327572503484487632e+00,1.000000000000000000e+00
1.329420249935692411e+00,1.000000000000000000e+00
1.320755343750296129e+00,1.000000000000000000e+00
1.335635361441203317e+00,1.000000000000000000e+00
1.322777154541861400e+00,1.000000000000000000e+00
1.326599892531498348e+00,1.000000000000000000e+00
1.332076647785354062e+00,1.000000000000000000e+00
1.319252791764318644e+00,1.000000000000000000e+00
1.334357673587437842e+00,1.000000000000000000e+00
1.322925970002976293e+00,1.000000000000000000e+00
1.319489444612329754e+00,1.000000000000000000e+00
1.326414437513507627e+00,1.000000000000000000e+00
1.325876493115768273e+00,1.000000000000000000e+00
1.308007800676485033e+00,1.000000000000000000e+00
1.339018907084229770e+00,1.000000000000000000e+00
1.329226710287170432e+00,1.000000000000000000e+00
1.326806929263880219e+00,1.000000000000000000e+00
1.332739440968203404e+00,1.000000000000000000e+00
1.301869990058679649e+00,1.000000000000000000e+00
1.314026236184987706e+00,1.000000000000000000e+00
1.328927264200422620e+00,1.000000000000000000e+00
1.308995643528820807e+00,1.000000000000000000e+00
1.329277884130433351e+00,1.000000000000000000e+00
1.348811815954656268e+00,1.000000000000000000e+00
1.328425961897505614e+00,1.000000000000000000e+00
1.307051464475171842e+00,1.000000000000000000e+00
1.310912565883050274e+00,1.000000000000000000e+00
1.326724496810343323e+00,1.000000000000000000e+00
1.334228564011511020e+00,1.000000000000000000e+00
1.315061542506748227e+00,1.000000000000000000e+00
1.319235416815010442e+00,1.000000000000000000e+00
1.321541344905180271e+00,1.000000000000000000e+00
1.331850274577041526e+00,1.000000000000000000e+00
1.321865721731579679e+00,1.000000000000000000e+00
1.314547212485006389e+00,1.000000000000000000e+00
1.321057703889841006e+00,1.000000000000000000e+00
1.340340054500762434e+00,1.000000000000000000e+00
1.320485370215292331e+00,1.000000000000000000e+00
1.315757569461186716e+00,1.000000000000000000e+00
1.333572925070841908e+00,1.000000000000000000e+00
1.300902057150641333e+00,1.000000000000000000e+00
1.314776334195286722e+00,1.000000000000000000e+00
1.323179275902223395e+00,1.000000000000000000e+00
1.315036159974380281e+00,1.000000000000000000e+00
1.341716087763182186e+00,1.000000000000000000e+00
1.330281548495226618e+00,1.000000000000000000e+00
1.324532648078397878e+00,1.000000000000000000e+00
1.308154304608495799e+00,1.000000000000000000e+00
1.342336957244268048e+00,1.000000000000000000e+00
1.333124016516938237e+00,1.000000000000000000e+00
1.317477888921879225e+00,1.000000000000000000e+00
1.312096399147758552e+00,1.000000000000000000e+00
1.330374498290644247e+00,1.000000000000000000e+00
1.327323977268491717e+00,1.000000000000000000e+00
1.322777744726759463e+00,1.000000000000000000e+00
1.333909499772524265e+00,1.000000000000000000e+00
1.339852699599254127e+00,1.000000000000000000e+00
1.336483882557557790e+00,1.000000000000000000e+00
1.318665592818273335e+00,1.000000000000000000e+00
