m,likelihood
1.479884943300667999e+00,1.000000000000000000e+00
1.412531918376367379e+00,1.000000000000000000e+00
1.241145511656362110e+00,1.000000000000000000e+00
1.306287316716880920e+00,1.000000000000000000e+00
1.431300490607561038e+00,1.000000000000000000e+00
1.363979570102131778e+00,1.000000000000000000e+00
1.272005229652523273e+00,1.000000000000000000e+00
1.337654497516944430e+00,1.000000000000000000e+00
1.299774086097247316e+00,1.000000000000000000e+00
1.404840870387720209e+00,1.000000000000000000e+00
1.295348431701761838e+00,1.000000000000000000e+00
1.331531591933132974e+00,1.000000000000000000e+00
1.275819675395461594e+00,1.000000000000000000e+00
1.320178599695184696e+00,1.000000000000000000e+00
1.280771889782083006e+00,1.000000000000000000e+00
1.462011667637783896e+00,1.000000000000000000e+00
1.183870603814304534e+00,1.000000000000000000e+00
1.376347094815473016e+00,1.000000000000000000e+00
1.530498734094839719e+00,1.000000000000000000e+00
1.341692649293781514e+00,1.000000000000000000e+00
1.283349088533693783e+00,1.000000000000000000e+00
1.451685321768570347e+00,1.000000000000000000e+00
1.393141532275901318e+00,1.000000000000000000e+00
1.510467449008050300e+00,1.000000000000000000e+00
1.303133553226282215e+00,1.000000000000000000e+00
1.322451845161414230e+00,1.000000000000000000e+00
1.350552040806396015e+00,1.000000000000000000e+00
1.328331711640250212e+00,1.000000000000000000e+00
1.374228574950027371e+00,1.000000000000000000e+00
1.395937926815817853e+00,1.000000000000000000e+00
1.448445036839859590e+00,1.000000000000000000e+00
1.217342711665024169e+00,1.000000000000000000e+00
1.318411067653297852e+00,1.000000000000000000e+00
1.364958299679839948e+00,1.000000000000000000e+00
1.480768370248739529e+00,1.000000000000000000e+00
1.175395435865151716e+00,1.000000000000000000e+00
1.333874960248000230e+00,1.000000000000000000e+00
1.364200367487745869e+00,1.000000000000000000e+00
1.205444278133827929e+00,1.000000000000000000e+00
1.311246913189883401e+00,1.000000000000000000e+00
1.442883887963568146e+00,1.000000000000000000e+00
1.341307974315369522e+00,1.000000000000000000e+00
1.377370878268172616e+00,1.000000000000000000e+00
1.194113826402544820e+00,1.000000000000000000e+00
1.281152027520698899e+00,1.000000000000000000e+00
1.299462912943985415e+00,1.000000000000000000e+00
1.368262278020677458e+00,1.000000000000000000e+00
1.428167295351063348e+00,1.000000000000000000e+00
1.294081542454674771e+00,1.000000000000000000e+00
1.292530853472407593e+00,1.000000000000000000e+00
1.370980925843587439e+00,1.000000000000000000e+00
1.344351430702019234e+00,1.000000000000000000e+00
1.268502319925484567e+00,1.000000000000000000e+00
1.322601595187430368e+00,1.000000000000000000e+00
1.265188278701108171e+00,1.000000000000000000e+00
1.241957603379079123e+00,1.000000000000000000e+00
1.446463148966073975e+00,1.000000000000000000e+00
1.388390122286147443e+00,1.000000000000000000e+00
1.326555798946188469e+00,1.000000000000000000e+00
1.301186190865706749e+00,1.000000000000000000e+00
1.356934010693517711e+00,1.000000000000000000e+00
1.211438621916118397e+00,1.000000000000000000e+00
1.262288824338158699e+00,1.000000000000000000e+00
1.263848851425379616e+00,1.000000000000000000e+00
1.359311137955685256e+00,1.000000000000000000e+00
1.226629983390436385e+00,1.000000000000000000e+00
1.359373315258236348e+00,1.000000000000000000e+00
1.367429089027856426e+00,1.000000000000000000e+00
1.457803123331303574e+00,1.000000000000000000e+00
1.472244437291946761e+00,1.000000000000000000e+00
1.365016570340910951e+00,1.000000000000000000e+00
1.428864373345281491e+00,1.000000000000000000e+00
1.308047925626933949e+00,1.000000000000000000e+00
1.332565326366280445e+00,1.000000000000000000e+00
1.350477171847106694e+00,1.000000000000000000e+00
1.200031813409549342e+00,1.000000000000000000e+00
1.258525851948421481e+00,1.000000000000000000e+00
1.456221570095719731e+00,1.000000000000000000e+00
1.448178111149373670e+00,1.000000000000000000e+00
1.283100489043075276e+00,1.000000000000000000e+00
1.304240228113988431e+00,1.000000000000000000e+00
1.442235886801051858e+00,1.000000000000000000e+00
1.372255355082249606e+00,1.000000000000000000e+00
1.502979346655868742e+00,1.000000000000000000e+00
1.234680154296701637e+00,1.000000000000000000e+00
1.458807881318843647e+00,1.000000000000000000e+00
1.262046594636997199e+00,1.000000000000000000e+00
1.464657918757011235e+00,1.000000000000000000e+00
1.357567286207955082e+00,1.000000000000000000e+00
1.418928143179481571e+00,1.000000000000000000e+00
1.466442872395185892e+00,1.000000000000000000e+00
1.320797898051713215e+00,1.000000000000000000e+00
1.508757957612015366e+00,1.000000000000000000e+00
1.545644649449389174e+00,1.000000000000000000e+00
1.339637574044620472e+00,1.000000000000000000e+00
1.399654073788446640e+00,1.000000000000000000e+00
1.301753055065589582e+00,1.000000000000000000e+00
1.257701905658030972e+00,1.000000000000000000e+00
1.302638499521224125e+00,1.000000000000000000e+00
1.460881870044550279e+00,1.000000000000000000e+00
