m,likelihood
1.994458232573896428e+00,1.000000000000000000e+00
2.022393750502360366e+00,1.000000000000000000e+00
1.124555465036637170e+00,1.000000000000000000e+00
1.836592584793592664e+00,1.000000000000000000e+00
1.337598553945614555e+00,1.000000000000000000e+00
1.622081892119994651e+00,1.000000000000000000e+00
1.421370147355482283e+00,1.000000000000000000e+00
1.070600698075153900e+00,1.000000000000000000e+00
1.946852574595939078e+00,1.000000000000000000e+00
9.331634433684639074e-01,1.000000000000000000e+00
1.459953747370111854e+00,1.000000000000000000e+00
1.989433543674406835e+00,1.000000000000000000e+00
1.403727914826635503e+00,1.000000000000000000e+00
1.777006421802120872e+00,1.000000000000000000e+00
1.079822762283257465e+00,1.000000000000000000e+00
1.495876405893623806e+00,1.000000000000000000e+00
1.419926715351647273e+00,1.000000000000000000e+00
1.629159649191721515e+00,1.000000000000000000e+00
1.609245463538867105e+00,1.000000000000000000e+00
1.677207911179077637e+00,1.000000000000000000e+00
1.276528785195602866e+00,1.000000000000000000e+00
1.039820037752271276e+00,1.000000000000000000e+00
1.675844081703545152e+00,1.000000000000000000e+00
1.236128255637667595e+00,1.000000000000000000e+00
7.147515826722304899e-01,1.000000000000000000e+00
1.110154228277716149e+00,1.000000000000000000e+00
1.149351803135291616e+00,1.000000000000000000e+00
1.395941277973148820e+00,1.000000000000000000e+00
1.583779722218473962e+00,1.000000000000000000e+00
1.403172797319437004e+00,1.000000000000000000e+00
1.436861742674065745e+00,1.000000000000000000e+00
1.886868506503069476e+00,1.000000000000000000e+00
2.076235572144750741e+00,1.000000000000000000e+00
1.277401922404988177e+00,1.000000000000000000e+00
1.165241763760398230e+00,1.000000000000000000e+00
1.549089152454677931e+00,1.000000000000000000e+00
1.211575894706271583e+00,1.000000000000000000e+00
1.383946350660048008e+00,1.000000000000000000e+00
1.634644983229573967e+00,1.000000000000000000e+00
1.368585593403479628e+00,1.000000000000000000e+00
1.413390700362519237e+00,1.000000000000000000e+00
9.771771538394988799e-01,1.000000000000000000e+00
1.113346118780286664e+00,1.000000000000000000e+00
1.347668109229085642e+00,1.000000000000000000e+00
1.084560688093532121e+00,1.000000000000000000e+00
9.382096071866844467e-01,1.000000000000000000e+00
1.389979005086592334e+00,1.000000000000000000e+00
1.551609440965427744e+00,1.000000000000000000e+00
1.213769985240021665e+00,1.000000000000000000e+00
1.066680322205430187e+00,1.000000000000000000e+00
1.322395366690209295e+00,1.000000000000000000e+00
1.251286971035105555e+00,1.000000000000000000e+00
9.034974030973839110e-01,1.000000000000000000e+00
8.806342765425667629e-01,1.000000000000000000e+00
1.512693061769584624e+00,1.000000000000000000e+00
1.678166793745897944e+00,1.000000000000000000e+00
1.219108529621692361e+00,1.000000000000000000e+00
1.072396026754270260e+00,1.000000000000000000e+00
1.068764355620447581e+00,1.000000000000000000e+00
1.636496849617557592e+00,1.000000000000000000e+00
1.240303338185231308e+00,1.000000000000000000e+00
9.730987064138151288e-01,1.000000000000000000e+00
1.208767907758181659e+00,1.000000000000000000e+00
1.718290222934069522e+00,1.000000000000000000e+00
1.284750503749823025e+00,1.000000000000000000e+00
1.156374726971742595e+00,1.000000000000000000e+00
1.458002475908370066e+00,1.000000000000000000e+00
1.319015374540496444e+00,1.000000000000000000e+00
1.561445024451598940e+00,1.000000000000000000e+00
1.354930932932296717e+00,1.000000000000000000e+00
1.385334953172731920e+00,1.000000000000000000e+00
1.835515478471747119e+00,1.000000000000000000e+00
1.646836433908132502e+00,1.000000000000000000e+00
8.824950007505072413e-01,1.000000000000000000e+00
1.187049939004788612e+00,1.000000000000000000e+00
1.949346771977967574e+00,1.000000000000000000e+00
1.405584745932877633e+00,1.000000000000000000e+00
1.451755940332026151e+00,1.000000000000000000e+00
1.055874053041333083e+00,1.000000000000000000e+00
1.582151515498066097e+00,1.000000000000000000e+00
1.529371703102033520e+00,1.000000000000000000e+00
1.591916032837878525e+00,1.000000000000000000e+00
1.293347565106264696e+00,1.000000000000000000e+00
1.520107966073207972e+00,1.000000000000000000e+00
1.071178562726131656e+00,1.000000000000000000e+00
1.355539117135711624e+00,1.000000000000000000e+00
7.620539617857888803e-01,1.000000000000000000e+00
1.334386695628897890e+00,1.000000000000000000e+00
8.320660188753561393e-01,1.000000000000000000e+00
1.070463869100287013e+00,1.000000000000000000e+00
1.306080649050856080e+00,1.000000000000000000e+00
1.693280639996598280e+00,1.000000000000000000e+00
1.238342742166915533e+00,1.000000000000000000e+00
1.929976258964093638e+00,1.000000000000000000e+00
8.871139024535904527e-01,1.000000000000000000e+00
1.326319467649538231e+00,1.000000000000000000e+00
1.146173886478422776e+00,1.000000000000000000e+00
1.183541402872348769e+00,1.000000000000000000e+00
1.249062308857011194e+00,1.000000000000000000e+00
1.648565140692490383e+00,1.000000000000000000e+00
