m,likelihood
1.787307166131316016e+00,1.000000000000000000e+00
1.677797368705784997e+00,1.000000000000000000e+00
1.707636762723403923e+00,1.000000000000000000e+00
1.738761099667103460e+00,1.000000000000000000e+00
1.819169870912893394e+00,1.000000000000000000e+00
1.607077306892241042e+00,1.000000000000000000e+00
1.756443444282280497e+00,1.000000000000000000e+00
1.724328173349232163e+00,1.000000000000000000e+00
1.743197921121266036e+00,1.000000000000000000e+00
1.740498252747847641e+00,1.000000000000000000e+00
1.817304575489062213e+00,1.000000000000000000e+00
1.788273780689119352e+00,1.000000000000000000e+00
1.737971984219142563e+00,1.000000000000000000e+00
1.777308842123059396e+00,1.000000000000000000e+00
1.739086759912163549e+00,1.000000000000000000e+00
1.789635630058905802e+00,1.000000000000000000e+00
1.796230064246520541e+00,1.000000000000000000e+00
1.764622032571355748e+00,1.000000000000000000e+00
1.719283482277398578e+00,1.000000000000000000e+00
1.717288233228696281e+00,1.000000000000000000e+00
1.687171610757411067e+00,1.000000000000000000e+00
1.800469440764915774e+00,1.000000000000000000e+00
1.961746550032948733e+00,1.000000000000000000e+00
1.775620725490966167e+00,1.000000000000000000e+00
1.742753968332200420e+00,1.000000000000000000e+00
1.863268545460847525e+00,1.000000000000000000e+00
1.784743652639107836e+00,1.000000000000000000e+00
1.674487648663760098e+00,1.000000000000000000e+00
1.902977596201358423e+00,1.000000000000000000e+00
1.787722685981771198e+00,1.000000000000000000e+00
1.705123219279329305e+00,1.000000000000000000e+00
1.818374257978255137e+00,1.000000000000000000e+00
1.766708598067853631e+00,1.000000000000000000e+00
1.756737648893851755e+00,1.000000000000000000e+00
1.796028174958613999e+00,1.000000000000000000e+00
1.808066506177101518e+00,1.000000000000000000e+00
1.749040882153517495e+00,1.000000000000000000e+00
1.737125069040852399e+00,1.000000000000000000e+00
1.699283719650704017e+00,1.000000000000000000e+00
1.802809417276455051e+00,1.000000000000000000e+00
1.709215187911784506e+00,1.000000000000000000e+00
1.852057052259546310e+00,1.000000000000000000e+00
1.744493636021421823e+00,1.000000000000000000e+00
1.818843618629947478e+00,1.000000000000000000e+00
1.692501445659597925e+00,1.000000000000000000e+00
1.730824909795430688e+00,1.000000000000000000e+00
1.709804491473473131e+00,1.000000000000000000e+00
1.812277142354812964e+00,1.000000000000000000e+00
1.798787178289821265e+00,1.000000000000000000e+00
1.721341803323157116e+00,1.000000000000000000e+00
1.755107735631822097e+00,1.000000000000000000e+00
1.736761493600197603e+00,1.000000000000000000e+00
1.827464160934410664e+00,1.000000000000000000e+00
1.732383279152227562e+00,1.000000000000000000e+00
1.751284833018772691e+00,1.000000000000000000e+00
1.843751456819993528e+00,1.000000000000000000e+00
1.631517917798480433e+00,1.000000000000000000e+00
1.717401079678060771e+00,1.000000000000000000e+00
1.671153237671010983e+00,1.000000000000000000e+00
1.632932649260061542e+00,1.000000000000000000e+00
1.783350535327222541e+00,1.000000000000000000e+00
1.765091679146282955e+00,1.000000000000000000e+00
1.663837877842954560e+00,1.000000000000000000e+00
1.736014011162016368e+00,1.000000000000000000e+00
1.779635783597764975e+00,1.000000000000000000e+00
1.769840002759838438e+00,1.000000000000000000e+00
1.741692569707728566e+00,1.000000000000000000e+00
1.780889306635624170e+00,1.000000000000000000e+00
1.719503921733220642e+00,1.000000000000000000e+00
1.733630830476878160e+00,1.000000000000000000e+00
1.673812512380315143e+00,1.000000000000000000e+00
1.782018317033559951e+00,1.000000000000000000e+00
1.791328001977959605e+00,1.000000000000000000e+00
1.752129327262830438e+00,1.000000000000000000e+00
1.729264181713056292e+00,1.000000000000000000e+00
1.758494673030458699e+00,1.000000000000000000e+00
1.702326525632768872e+00,1.000000000000000000e+00
1.762281822839362855e+00,1.000000000000000000e+00
1.737876199356373164e+00,1.000000000000000000e+00
1.810527831897490003e+00,1.000000000000000000e+00
1.755541469792638143e+00,1.000000000000000000e+00
1.735653612854692662e+00,1.000000000000000000e+00
1.772714877358515517e+00,1.000000000000000000e+00
1.815656294933224224e+00,1.000000000000000000e+00
1.746852127362036322e+00,1.000000000000000000e+00
1.758763301074423691e+00,1.000000000000000000e+00
1.758585909846947848e+00,1.000000000000000000e+00
1.784769063378207399e+00,1.000000000000000000e+00
1.710845877912528845e+00,1.000000000000000000e+00
1.716229627995273566e+00,1.000000000000000000e+00
1.753586161961143253e+00,1.000000000000000000e+00
1.733167618672275534e+00,1.000000000000000000e+00
1.786424937535361357e+00,1.000000000000000000e+00
1.807525700688547232e+00,1.000000000000000000e+00
1.736897958432101374e+00,1.000000000000000000e+00
1.698705953950887748e+00,1.000000000000000000e+00
1.792196174659773655e+00,1.000000000000000000e+00
1.781212445942493172e+00,1.000000000000000000e+00
1.720565684998700551e+00,1.000000000000000000e+00
1.694220258780043453e+00,1.000000000000000000e+00
