m,likelihood
1.605725052861599833e+00,1.000000000000000000e+00
1.461129848681532950e+00,1.000000000000000000e+00
1.672261059795286720e+00,1.000000000000000000e+00
1.635109886049006533e+00,1.000000000000000000e+00
1.515507964418481235e+00,1.000000000000000000e+00
1.541841509151048006e+00,1.000000000000000000e+00
1.514491556076862366e+00,1.000000000000000000e+00
1.676333669073513777e+00,1.000000000000000000e+00
1.618426634620598659e+00,1.000000000000000000e+00
1.431618285515901645e+00,1.000000000000000000e+00
1.520986850813109026e+00,1.000000000000000000e+00
1.581015218642350062e+00,1.000000000000000000e+00
1.572839288646251887e+00,1.000000000000000000e+00
1.625691234950871422e+00,1.000000000000000000e+00
1.703739095026774120e+00,1.000000000000000000e+00
1.843452704811288090e+00,1.000000000000000000e+00
1.390022051954604043e+00,1.000000000000000000e+00
1.514174150226683002e+00,1.000000000000000000e+00
1.790807340401291858e+00,1.000000000000000000e+00
1.615462755862547617e+00,1.000000000000000000e+00
1.472607416123599133e+00,1.000000000000000000e+00
1.606616893426318970e+00,1.000000000000000000e+00
1.496214394071483600e+00,1.000000000000000000e+00
1.558311221789573819e+00,1.000000000000000000e+00
1.444191629500409357e+00,1.000000000000000000e+00
1.693816367766644237e+00,1.000000000000000000e+00
1.496515827196262860e+00,1.000000000000000000e+00
1.507422259592482217e+00,1.000000000000000000e+00
1.429039785101821280e+00,1.000000000000000000e+00
1.547821294277614390e+00,1.000000000000000000e+00
1.388808582106285883e+00,1.000000000000000000e+00
1.604310098084731573e+00,1.000000000000000000e+00
1.584661042647354412e+00,1.000000000000000000e+00
1.520717693548208072e+00,1.000000000000000000e+00
1.598404893080240363e+00,1.000000000000000000e+00
1.629812632535525330e+00,1.000000000000000000e+00
1.696320489630502637e+00,1.000000000000000000e+00
1.588861289222608608e+00,1.000000000000000000e+00
1.507984499102459797e+00,1.000000000000000000e+00
1.541813197912943023e+00,1.000000000000000000e+00
1.631388442542678119e+00,1.000000000000000000e+00
1.411859331660910044e+00,1.000000000000000000e+00
1.550264007128693944e+00,1.000000000000000000e+00
1.748304440621258449e+00,1.000000000000000000e+00
1.708014340641664797e+00,1.000000000000000000e+00
1.388577798849755185e+00,1.000000000000000000e+00
1.554254428111777608e+00,1.000000000000000000e+00
1.510662131564740385e+00,1.000000000000000000e+00
1.654136253888317531e+00,1.000000000000000000e+00
1.665222307172135041e+00,1.000000000000000000e+00
1.659631699712884823e+00,1.000000000000000000e+00
1.553467438230362596e+00,1.000000000000000000e+00
1.560285691729136781e+00,1.000000000000000000e+00
1.653512040964157492e+00,1.000000000000000000e+00
1.439585865278183885e+00,1.000000000000000000e+00
1.414035393588024769e+00,1.000000000000000000e+00
1.473601120876154136e+00,1.000000000000000000e+00
1.612539631450771838e+00,1.000000000000000000e+00
1.705371797098601094e+00,1.000000000000000000e+00
1.657052834933913310e+00,1.000000000000000000e+00
1.545698537505482140e+00,1.000000000000000000e+00
1.736893389340439908e+00,1.000000000000000000e+00
1.656760662298486952e+00,1.000000000000000000e+00
1.505328818514758193e+00,1.000000000000000000e+00
1.779744228536711326e+00,1.000000000000000000e+00
1.604157457113543961e+00,1.000000000000000000e+00
1.486477816247600447e+00,1.000000000000000000e+00
1.624987440271146610e+00,1.000000000000000000e+00
1.373137986122967780e+00,1.000000000000000000e+00
1.483423747004004811e+00,1.000000000000000000e+00
1.603097962833887280e+00,1.000000000000000000e+00
1.635221032720075129e+00,1.000000000000000000e+00
1.458539797099066559e+00,1.000000000000000000e+00
1.544830062692062578e+00,1.000000000000000000e+00
1.481683274650113180e+00,1.000000000000000000e+00
1.658463293940876992e+00,1.000000000000000000e+00
1.575678570571898085e+00,1.000000000000000000e+00
1.550855338257937088e+00,1.000000000000000000e+00
1.595933508242931786e+00,1.000000000000000000e+00
1.380426610931087428e+00,1.000000000000000000e+00
1.423129324245918870e+00,1.000000000000000000e+00
1.479449651748459882e+00,1.000000000000000000e+00
1.471101897822699955e+00,1.000000000000000000e+00
1.521687576916065154e+00,1.000000000000000000e+00
1.583517860230192253e+00,1.000000000000000000e+00
1.641902273241316212e+00,1.000000000000000000e+00
1.629010340131185064e+00,1.000000000000000000e+00
1.499307324188190904e+00,1.000000000000000000e+00
1.527152309473758685e+00,1.000000000000000000e+00
1.630748861576627462e+00,1.000000000000000000e+00
1.505074650417670634e+00,1.000000000000000000e+00
1.606660347430162394e+00,1.000000000000000000e+00
1.629878520420025234e+00,1.000000000000000000e+00
1.593030363162117879e+00,1.000000000000000000e+00
1.689780851287232322e+00,1.000000000000000000e+00
1.591646759126814636e+00,1.000000000000000000e+00
1.568375595518401333e+00,1.000000000000000000e+00
1.562300941695277112e+00,1.000000000000000000e+00
1.536637633367521572e+00,1.000000000000000000e+00
1.468605989623084307e+00,1.000000000000000000e+00
