m,likelihood
1.407797156000122119e+00,1.000000000000000000e+00
1.572128490964578518e+00,1.000000000000000000e+00
1.588893410159399444e+00,1.000000000000000000e+00
1.856108035014898627e+00,1.000000000000000000e+00
1.718481647804410040e+00,1.000000000000000000e+00
2.373150129411946363e+00,1.000000000000000000e+00
1.949992363684800889e+00,1.000000000000000000e+00
1.449202061121541707e+00,1.000000000000000000e+00
1.056222723659023366e+00,1.000000000000000000e+00
1.782478041139573977e+00,1.000000000000000000e+00
1.756600798909792038e+00,1.000000000000000000e+00
1.717581965955885970e+00,1.000000000000000000e+00
1.737574279486323814e+00,1.000000000000000000e+00
1.534801500939338093e+00,1.000000000000000000e+00
1.730330044049129379e+00,1.000000000000000000e+00
1.395921780812234392e+00,1.000000000000000000e+00
1.549093665911437379e+00,1.000000000000000000e+00
1.388503832769290680e+00,1.000000000000000000e+00
1.715711550209384706e+00,1.000000000000000000e+00
2.037467119276846539e+00,1.000000000000000000e+00
1.593932705539345962e+00,1.000000000000000000e+00
1.994518808705889379e+00,1.000000000000000000e+00
1.705057470310508139e+00,1.000000000000000000e+00
1.375061472595673795e+00,1.000000000000000000e+00
1.753471501384989972e+00,1.000000000000000000e+00
1.941202220404582457e+00,1.000000000000000000e+00
1.997740994437330109e+00,1.000000000000000000e+00
2.245200099212796729e+00,1.000000000000000000e+00
2.034613502918826367e+00,1.000000000000000000e+00
9.086273406174776301e-01,1.000000000000000000e+00
1.981063175253738207e+00,1.000000000000000000e+00
2.020055575885613575e+00,1.000000000000000000e+00
1.866913006592533231e+00,1.000000000000000000e+00
2.484383716046540957e+00,1.000000000000000000e+00
1.975255406094370114e+00,1.000000000000000000e+00
2.166801582841361373e+00,1.000000000000000000e+00
1.814013336730272430e+00,1.000000000000000000e+00
1.671985408038949350e+00,1.000000000000000000e+00
1.626359406086111070e+00,1.000000000000000000e+00
1.617274125084662284e+00,1.000000000000000000e+00
1.695551470306760455e+00,1.000000000000000000e+00
1.436065300836435465e+00,1.000000000000000000e+00
1.546111418362305479e+00,1.000000000000000000e+00
1.610558652369111332e+00,1.000000000000000000e+00
1.716072908197135538e+00,1.000000000000000000e+00
1.723798114149606597e+00,1.000000000000000000e+00
1.472112523673711593e+00,1.000000000000000000e+00
1.765803927171577081e+00,1.000000000000000000e+00
2.083348135472789853e+00,1.000000000000000000e+00
1.364164655322693376e+00,1.000000000000000000e+00
2.045938324586397794e+00,1.000000000000000000e+00
1.599252804743303225e+00,1.000000000000000000e+00
1.689847855814424982e+00,1.000000000000000000e+00
2.169006566618986831e+00,1.000000000000000000e+00
1.152737158698500686e+00,1.000000000000000000e+00
2.375986899444153977e+00,1.000000000000000000e+00
1.516963740349296152e+00,1.000000000000000000e+00
1.561178853906461050e+00,1.000000000000000000e+00
1.343606429121147583e+00,1.000000000000000000e+00
1.772682102271657456e+00,1.000000000000000000e+00
1.226603302479509328e+00,1.000000000000000000e+00
1.958397312909075705e+00,1.000000000000000000e+00
1.588965241645428961e+00,1.000000000000000000e+00
1.500373230468387886e+00,1.000000000000000000e+00
1.781817509665212684e+00,1.000000000000000000e+00
1.670557473979103147e+00,1.000000000000000000e+00
1.767418313053848111e+00,1.000000000000000000e+00
1.669315297677814502e+00,1.000000000000000000e+00
2.326021675449732040e+00,1.000000000000000000e+00
1.843256624880788008e+00,1.000000000000000000e+00
1.422170906162355974e+00,1.000000000000000000e+00
2.095856051891054506e+00,1.000000000000000000e+00
2.047336125552744246e+00,1.000000000000000000e+00
1.979668986686464960e+00,1.000000000000000000e+00
1.880798295321453484e+00,1.000000000000000000e+00
1.578373037680972590e+00,1.000000000000000000e+00
1.904374482003107216e+00,1.000000000000000000e+00
1.683050333414266797e+00,1.000000000000000000e+00
2.135954434994419504e+00,1.000000000000000000e+00
1.743899163298342714e+00,1.000000000000000000e+00
1.627310998356259697e+00,1.000000000000000000e+00
1.932330577429850038e+00,1.000000000000000000e+00
1.893126169923462720e+00,1.000000000000000000e+00
1.192273085722429293e+00,1.000000000000000000e+00
1.589350310169038050e+00,1.000000000000000000e+00
1.850963531971049569e+00,1.000000000000000000e+00
1.624091531655563081e+00,1.000000000000000000e+00
1.658176915299288456e+00,1.000000000000000000e+00
1.789981824549205180e+00,1.000000000000000000e+00
1.500670474068197979e+00,1.000000000000000000e+00
1.804713135573665861e+00,1.000000000000000000e+00
1.917325324862856784e+00,1.000000000000000000e+00
1.778801945745622781e+00,1.000000000000000000e+00
1.688829447814058415e+00,1.000000000000000000e+00
1.679388992340665521e+00,1.000000000000000000e+00
2.028731066350142331e+00,1.000000000000000000e+00
1.539038312939270847e+00,1.000000000000000000e+00
1.534127717179838202e+00,1.000000000000000000e+00
1.333171020784051919e+00,1.000000000000000000e+00
1.848137217204311789e+00,1.000000000000000000e+00
