m,likelihood
1.967073690681818032e+00,1.000000000000000000e+00
1.798896956280956472e+00,1.000000000000000000e+00
1.133189267931595134e+00,1.000000000000000000e+00
1.877118878544580705e+00,1.000000000000000000e+00
1.548752216511338986e+00,1.000000000000000000e+00
1.017095762953572624e+00,1.000000000000000000e+00
1.915945504274398470e+00,1.000000000000000000e+00
1.311515242155812722e+00,1.000000000000000000e+00
1.519315740469213694e+00,1.000000000000000000e+00
1.298859151199786677e+00,1.000000000000000000e+00
2.033524477314883949e+00,1.000000000000000000e+00
1.652695947708458180e+00,1.000000000000000000e+00
1.637450779324733041e+00,1.000000000000000000e+00
1.596085841957362694e+00,1.000000000000000000e+00
1.682297269294506847e+00,1.000000000000000000e+00
1.595812896879262643e+00,1.000000000000000000e+00
1.478315586735488463e+00,1.000000000000000000e+00
1.456686873310298891e+00,1.000000000000000000e+00
1.413600839368432283e+00,1.000000000000000000e+00
1.568897823900744948e+00,1.000000000000000000e+00
1.991204162267670608e+00,1.000000000000000000e+00
1.620025120523167717e+00,1.000000000000000000e+00
1.659489340692669845e+00,1.000000000000000000e+00
1.750702792017159615e+00,1.000000000000000000e+00
1.709569582662246567e+00,1.000000000000000000e+00
1.847366658765116076e+00,1.000000000000000000e+00
1.223297918991984146e+00,1.000000000000000000e+00
1.454111113011623546e+00,1.000000000000000000e+00
1.763310022422078571e+00,1.000000000000000000e+00
1.617753618577228769e+00,1.000000000000000000e+00
1.662603124883458516e+00,1.000000000000000000e+00
9.688273305608493535e-01,1.000000000000000000e+00
1.387520417346910673e+00,1.000000000000000000e+00
1.326459004827927224e+00,1.000000000000000000e+00
1.219385520373245546e+00,1.000000000000000000e+00
1.794788198485613773e+00,1.000000000000000000e+00
1.825777530636404800e+00,1.000000000000000000e+00
1.485493120129917965e+00,1.000000000000000000e+00
1.400518187831888861e+00,1.000000000000000000e+00
1.733984266460499857e+00,1.000000000000000000e+00
8.269605343718756663e-01,1.000000000000000000e+00
1.163733718435075337e+00,1.000000000000000000e+00
1.460916587986164750e+00,1.000000000000000000e+00
1.864274351592244860e+00,1.000000000000000000e+00
1.839804089312361501e+00,1.000000000000000000e+00
1.713763187060058035e+00,1.000000000000000000e+00
1.834677297830130005e+00,1.000000000000000000e+00
1.629212730890774896e+00,1.000000000000000000e+00
1.739303269075710201e+00,1.000000000000000000e+00
1.641358569018014801e+00,1.000000000000000000e+00
1.509885080733342821e+00,1.000000000000000000e+00
1.950919966803887240e+00,1.000000000000000000e+00
1.985765726215118265e+00,1.000000000000000000e+00
1.940383326812300302e+00,1.000000000000000000e+00
1.666190251537742917e+00,1.000000000000000000e+00
1.709908016958092469e+00,1.000000000000000000e+00
1.288316947125610179e+00,1.000000000000000000e+00
1.880483343621404790e+00,1.000000000000000000e+00
1.819077490150555310e+00,1.000000000000000000e+00
7.643717487177855707e-01,1.000000000000000000e+00
1.348917856097477053e+00,1.000000000000000000e+00
1.192913853782766154e+00,1.000000000000000000e+00
1.765919658357649524e+00,1.000000000000000000e+00
1.672461503307755892e+00,1.000000000000000000e+00
1.509735765860867662e+00,1.000000000000000000e+00
1.340490247976554583e+00,1.000000000000000000e+00
1.754486483037538624e+00,1.000000000000000000e+00
1.374044592174850532e+00,1.000000000000000000e+00
1.805214136342948583e+00,1.000000000000000000e+00
1.405851121395583769e+00,1.000000000000000000e+00
1.509910417354148660e+00,1.000000000000000000e+00
1.573096611166029835e+00,1.000000000000000000e+00
1.027705747256470570e+00,1.000000000000000000e+00
1.748834883923320538e+00,1.000000000000000000e+00
1.589355708522718791e+00,1.000000000000000000e+00
1.530821063251412317e+00,1.000000000000000000e+00
1.936831279358649960e+00,1.000000000000000000e+00
1.955347866062207673e+00,1.000000000000000000e+00
1.702711954733640454e+00,1.000000000000000000e+00
1.293688357028830227e+00,1.000000000000000000e+00
1.266457910778695739e+00,1.000000000000000000e+00
1.912438633182330427e+00,1.000000000000000000e+00
1.522802902228996835e+00,1.000000000000000000e+00
1.908100042578980027e+00,1.000000000000000000e+00
1.861797096749821190e+00,1.000000000000000000e+00
1.169933464048154015e+00,1.000000000000000000e+00
1.600130386405836491e+00,1.000000000000000000e+00
1.707592284635737423e+00,1.000000000000000000e+00
1.798873249417271003e+00,1.000000000000000000e+00
1.433717824181243383e+00,1.000000000000000000e+00
1.751334805634338743e+00,1.000000000000000000e+00
1.426913986780792509e+00,1.000000000000000000e+00
1.220152162105117011e+00,1.000000000000000000e+00
1.843368743374852237e+00,1.000000000000000000e+00
1.515432794108757308e+00,1.000000000000000000e+00
1.858106132297595803e+00,1.000000000000000000e+00
1.952589256420010688e+00,1.000000000000000000e+00
1.431604713226940717e+00,1.000000000000000000e+00
1.536703152413077422e+00,1.000000000000000000e+00
1.642542290620217171e+00,1.000000000000000000e+00
