m,likelihood
1.175749258503659522e+00,1.000000000000000000e+00
1.207247419200996763e+00,1.000000000000000000e+00
1.475644224792410864e+00,1.000000000000000000e+00
1.255202328642188503e+00,1.000000000000000000e+00
1.077476456901158119e+00,1.000000000000000000e+00
1.174206237242906514e+00,1.000000000000000000e+00
1.275964576790981075e+00,1.000000000000000000e+00
1.141899515330093262e+00,1.000000000000000000e+00
1.451764384835365185e+00,1.000000000000000000e+00
1.054048823532467205e+00,1.000000000000000000e+00
9.336611870921447398e-01,1.000000000000000000e+00
1.188987786613046715e+00,1.000000000000000000e+00
1.154651772563246137e+00,1.000000000000000000e+00
1.215153973204451843e+00,1.000000000000000000e+00
1.175697138514435469e+00,1.000000000000000000e+00
1.120834152751176704e+00,1.000000000000000000e+00
1.327261111137712168e+00,1.000000000000000000e+00
1.214465751654508763e+00,1.000000000000000000e+00
1.523491310785935360e+00,1.000000000000000000e+00
1.426854087575834207e+00,1.000000000000000000e+00
1.258698436543659538e+00,1.000000000000000000e+00
1.363386194709434340e+00,1.000000000000000000e+00
1.203680797865581908e+00,1.000000000000000000e+00
1.063101370094976073e+00,1.000000000000000000e+00
1.116671878787201422e+00,1.000000000000000000e+00
1.024990382124807198e+00,1.000000000000000000e+00
1.325814322314801563e+00,1.000000000000000000e+00
1.128794240762448720e+00,1.000000000000000000e+00
1.297469024207255517e+00,1.000000000000000000e+00
1.243624408802871839e+00,1.000000000000000000e+00
1.224831263611278143e+00,1.000000000000000000e+00
1.169379590175786854e+00,1.000000000000000000e+00
1.149382081678014922e+00,1.000000000000000000e+00
1.208044762332115551e+00,1.000000000000000000e+00
1.186801775951483284e+00,1.000000000000000000e+00
1.135886934921335634e+00,1.000000000000000000e+00
1.125311768987221628e+00,1.000000000000000000e+00
1.221375689025260947e+00,1.000000000000000000e+00
1.304819790002920366e+00,1.000000000000000000e+00
1.350454008928418270e+00,1.000000000000000000e+00
1.126508691500258008e+00,1.000000000000000000e+00
1.376040476868029661e+00,1.000000000000000000e+00
1.175757884084614346e+00,1.000000000000000000e+00
1.231890804625226155e+00,1.000000000000000000e+00
1.256278963940607563e+00,1.000000000000000000e+00
1.286105464640114437e+00,1.000000000000000000e+00
1.330537494900544404e+00,1.000000000000000000e+00
1.349381982630284860e+00,1.000000000000000000e+00
1.425773564745199895e+00,1.000000000000000000e+00
1.255529112524938373e+00,1.000000000000000000e+00
1.245790757085965206e+00,1.000000000000000000e+00
1.214940856801532298e+00,1.000000000000000000e+00
1.178782096311588479e+00,1.000000000000000000e+00
1.144030100539773276e+00,1.000000000000000000e+00
1.238257660356432810e+00,1.000000000000000000e+00
1.167756011298518137e+00,1.000000000000000000e+00
1.201690564414628959e+00,1.000000000000000000e+00
1.384833985610680607e+00,1.000000000000000000e+00
9.695669359602698822e-01,1.000000000000000000e+00
1.136699380476904553e+00,1.000000000000000000e+00
1.247414961555802115e+00,1.000000000000000000e+00
9.871527279092235929e-01,1.000000000000000000e+00
1.211613028561412619e+00,1.000000000000000000e+00
1.231337895216394251e+00,1.000000000000000000e+00
1.201455019360195386e+00,1.000000000000000000e+00
1.174794218129492140e+00,1.000000000000000000e+00
1.300732803871682108e+00,1.000000000000000000e+00
1.174256459468280278e+00,1.000000000000000000e+00
1.378666749171395978e+00,1.000000000000000000e+00
1.162388347126849464e+00,1.000000000000000000e+00
1.243424159940715201e+00,1.000000000000000000e+00
1.087364120292407366e+00,1.000000000000000000e+00
1.250019964755477941e+00,1.000000000000000000e+00
1.025025445057329287e+00,1.000000000000000000e+00
9.899884226635784490e-01,1.000000000000000000e+00
1.417710355363763775e+00,1.000000000000000000e+00
1.167114412448443383e+00,1.000000000000000000e+00
1.103070920621648243e+00,1.000000000000000000e+00
1.214049857868241711e+00,1.000000000000000000e+00
1.231270068224160186e+00,1.000000000000000000e+00
1.300740666641203136e+00,1.000000000000000000e+00
1.291547508362558716e+00,1.000000000000000000e+00
1.435164233072406814e+00,1.000000000000000000e+00
1.280620950738570185e+00,1.000000000000000000e+00
1.199656625368787921e+00,1.000000000000000000e+00
1.123116735919527764e+00,1.000000000000000000e+00
1.238940726643264378e+00,1.000000000000000000e+00
1.109167537389373459e+00,1.000000000000000000e+00
1.090483793863337603e+00,1.000000000000000000e+00
1.231862114329554059e+00,1.000000000000000000e+00
9.904534426438826866e-01,1.000000000000000000e+00
1.298999717658956277e+00,1.000000000000000000e+00
1.149688172407936415e+00,1.000000000000000000e+00
1.397214788837215949e+00,1.000000000000000000e+00
1.097680485570532660e+00,1.000000000000000000e+00
1.477579198248649250e+00,1.000000000000000000e+00
1.244100241699117149e+00,1.000000000000000000e+00
1.209543435945049206e+00,1.000000000000000000e+00
1.345449458250711272e+00,1.000000000000000000e+00
1.380268544118173235e+00,1.000000000000000000e+00
