m,likelihood
1.909063012736322396e+00,1.000000000000000000e+00
2.486035732040936086e+00,1.000000000000000000e+00
2.440151082871180321e+00,1.000000000000000000e+00
2.181151036485846184e+00,1.000000000000000000e+00
2.015825613544092842e+00,1.000000000000000000e+00
2.447885785223537169e+00,1.000000000000000000e+00
1.958400910112152227e+00,1.000000000000000000e+00
2.021939392449776829e+00,1.000000000000000000e+00
2.315901396109644850e+00,1.000000000000000000e+00
1.906755860477124864e+00,1.000000000000000000e+00
2.073697001169331422e+00,1.000000000000000000e+00
2.008895296328926605e+00,1.000000000000000000e+00
1.902744346371857853e+00,1.000000000000000000e+00
2.170062659964315355e+00,1.000000000000000000e+00
2.141863559708347964e+00,1.000000000000000000e+00
2.283899230281501325e+00,1.000000000000000000e+00
2.169195046535931315e+00,1.000000000000000000e+00
1.939608335135073913e+00,1.000000000000000000e+00
2.226235588794218234e+00,1.000000000000000000e+00
2.046270067403270332e+00,1.000000000000000000e+00
2.151855995311365621e+00,1.000000000000000000e+00
2.299077881616736985e+00,1.000000000000000000e+00
2.247516180672040953e+00,1.000000000000000000e+00
2.211349283373752694e+00,1.000000000000000000e+00
1.992350236756786019e+00,1.000000000000000000e+00
2.182261512476707299e+00,1.000000000000000000e+00
2.078468539909079649e+00,1.000000000000000000e+00
2.058085921601822132e+00,1.000000000000000000e+00
2.090205059751439443e+00,1.000000000000000000e+00
2.198328930302702044e+00,1.000000000000000000e+00
2.091883602603389569e+00,1.000000000000000000e+00
2.442344588337496347e+00,1.000000000000000000e+00
2.269202424227534376e+00,1.000000000000000000e+00
2.098577539535396497e+00,1.000000000000000000e+00
2.076668093563011741e+00,1.000000000000000000e+00
2.092786614853010541e+00,1.000000000000000000e+00
1.968606608179497730e+00,1.000000000000000000e+00
2.126210571013989359e+00,1.000000000000000000e+00
2.210343387300090612e+00,1.000000000000000000e+00
2.072588078255757527e+00,1.000000000000000000e+00
1.809029958679044370e+00,1.000000000000000000e+00
2.290039662825267275e+00,1.000000000000000000e+00
1.802392669720100260e+00,1.000000000000000000e+00
2.214745081379989600e+00,1.000000000000000000e+00
2.076674858632489684e+00,1.000000000000000000e+00
2.044290070700449657e+00,1.000000000000000000e+00
2.218650000737857120e+00,1.000000000000000000e+00
2.231576406745950703e+00,1.000000000000000000e+00
1.786403438845359570e+00,1.000000000000000000e+00
2.160863791514813670e+00,1.000000000000000000e+00
1.889147300121660544e+00,1.000000000000000000e+00
2.197654394376787224e+00,1.000000000000000000e+00
1.852914582464261439e+00,1.000000000000000000e+00
2.183474908109023449e+00,1.000000000000000000e+00
2.285601112898442366e+00,1.000000000000000000e+00
1.738416279506608486e+00,1.000000000000000000e+00
2.190870424318832832e+00,1.000000000000000000e+00
2.282849276894512780e+00,1.000000000000000000e+00
2.291817161658289415e+00,1.000000000000000000e+00
2.391286806538841958e+00,1.000000000000000000e+00
2.160329667818602140e+00,1.000000000000000000e+00
2.129633611874270027e+00,1.000000000000000000e+00
2.071091522799933138e+00,1.000000000000000000e+00
1.911080619343277665e+00,1.000000000000000000e+00
2.235126081736691361e+00,1.000000000000000000e+00
2.003547075504278574e+00,1.000000000000000000e+00
2.201012059603492332e+00,1.000000000000000000e+00
2.001258802159974870e+00,1.000000000000000000e+00
1.916900814914908935e+00,1.000000000000000000e+00
2.239535740700597799e+00,1.000000000000000000e+00
2.022112258986193734e+00,1.000000000000000000e+00
2.032417319368859943e+00,1.000000000000000000e+00
2.364672458896414309e+00,1.000000000000000000e+00
2.478277540591663275e+00,1.000000000000000000e+00
1.941999487067549213e+00,1.000000000000000000e+00
1.833748358863871886e+00,1.000000000000000000e+00
1.900209166104833036e+00,1.000000000000000000e+00
2.148035764200288078e+00,1.000000000000000000e+00
2.338322250846075701e+00,1.000000000000000000e+00
2.121222296387816897e+00,1.000000000000000000e+00
2.234717530670158769e+00,1.000000000000000000e+00
2.160329315349974078e+00,1.000000000000000000e+00
2.338970117427390250e+00,1.000000000000000000e+00
1.966650930075414028e+00,1.000000000000000000e+00
2.184815017662159242e+00,1.000000000000000000e+00
2.071800844770419037e+00,1.000000000000000000e+00
2.107913066021287030e+00,1.000000000000000000e+00
2.137439042086953567e+00,1.000000000000000000e+00
2.095957081960792667e+00,1.000000000000000000e+00
1.745803534587748951e+00,1.000000000000000000e+00
2.142273692347350433e+00,1.000000000000000000e+00
2.065728858455158523e+00,1.000000000000000000e+00
2.086493160569040217e+00,1.000000000000000000e+00
2.025350429429422228e+00,1.000000000000000000e+00
2.153154456661878324e+00,1.000000000000000000e+00
1.741808642881919500e+00,1.000000000000000000e+00
2.142484912975884725e+00,1.000000000000000000e+00
1.982946487450597095e+00,1.000000000000000000e+00
2.065282119061277122e+00,1.000000000000000000e+00
2.157496495347035470e+00,1.000000000000000000e+00
