m,likelihood
1.581397705442040502e+00,1.000000000000000000e+00
1.488345969198779262e+00,1.000000000000000000e+00
1.719083096976881109e+00,1.000000000000000000e+00
1.282118309495863695e+00,1.000000000000000000e+00
1.255058149772676268e+00,1.000000000000000000e+00
1.648689768337235684e+00,1.000000000000000000e+00
1.199886874491419286e+00,1.000000000000000000e+00
1.634966169588782048e+00,1.000000000000000000e+00
1.595455526147481651e+00,1.000000000000000000e+00
9.547620722421121808e-01,1.000000000000000000e+00
1.301830240382805037e+00,1.000000000000000000e+00
1.194607104688550248e+00,1.000000000000000000e+00
1.145994236951354717e+00,1.000000000000000000e+00
1.051073375560152456e+00,1.000000000000000000e+00
1.274141218187143432e+00,1.000000000000000000e+00
1.514804818179021906e+00,1.000000000000000000e+00
1.244031205941246609e+00,1.000000000000000000e+00
1.115346288618283443e+00,1.000000000000000000e+00
1.455908650902723478e+00,1.000000000000000000e+00
1.289452233014638516e+00,1.000000000000000000e+00
1.633137761002033228e+00,1.000000000000000000e+00
9.419463314533316201e-01,1.000000000000000000e+00
1.526980964025309584e+00,1.000000000000000000e+00
1.465361465399659613e+00,1.000000000000000000e+00
1.440733374950235790e+00,1.000000000000000000e+00
1.340114636635295176e+00,1.000000000000000000e+00
1.238757281942925337e+00,1.000000000000000000e+00
1.559765350562341446e+00,1.000000000000000000e+00
1.665207831678926720e+00,1.000000000000000000e+00
1.451981443448443487e+00,1.000000000000000000e+00
1.541048557020811227e+00,1.000000000000000000e+00
1.563259230190992444e+00,1.000000000000000000e+00
1.263922989831426147e+00,1.000000000000000000e+00
1.379108361519348680e+00,1.000000000000000000e+00
1.855586853928631319e+00,1.000000000000000000e+00
1.782114677865187291e+00,1.000000000000000000e+00
1.263118377811832449e+00,1.000000000000000000e+00
1.321395010737550946e+00,1.000000000000000000e+00
9.143715950315882690e-01,1.000000000000000000e+00
1.442218138417438622e+00,1.000000000000000000e+00
1.220049338720005094e+00,1.000000000000000000e+00
1.720887852617314584e+00,1.000000000000000000e+00
1.679833538909355051e+00,1.000000000000000000e+00
1.114153962864891323e+00,1.000000000000000000e+00
1.547459067746036032e+00,1.000000000000000000e+00
1.852565489762664885e+00,1.000000000000000000e+00
1.198892461132420095e+00,1.000000000000000000e+00
1.323086146951719888e+00,1.000000000000000000e+00
1.375825884450387004e+00,1.000000000000000000e+00
1.269551835099535841e+00,1.000000000000000000e+00
1.354945524047543648e+00,1.000000000000000000e+00
1.259373025971759708e+00,1.000000000000000000e+00
1.511068277589729503e+00,1.000000000000000000e+00
1.324124569948360808e+00,1.000000000000000000e+00
1.843354578882947514e+00,1.000000000000000000e+00
1.566258072828847103e+00,1.000000000000000000e+00
1.443618736841327577e+00,1.000000000000000000e+00
1.645455658189487913e+00,1.000000000000000000e+00
1.027926819380826640e+00,1.000000000000000000e+00
1.480468925259666779e+00,1.000000000000000000e+00
1.635154743398083088e+00,1.000000000000000000e+00
1.183339788679473203e+00,1.000000000000000000e+00
1.764476786247916706e+00,1.000000000000000000e+00
1.341430755523749463e+00,1.000000000000000000e+00
1.416338288953821856e+00,1.000000000000000000e+00
1.496691460836669263e+00,1.000000000000000000e+00
1.261455161135289105e+00,1.000000000000000000e+00
1.006955140661057513e+00,1.000000000000000000e+00
1.359049129807530232e+00,1.000000000000000000e+00
1.812488095090660334e+00,1.000000000000000000e+00
1.891941734107772888e+00,1.000000000000000000e+00
1.198419527869775791e+00,1.000000000000000000e+00
1.247731297240603832e+00,1.000000000000000000e+00
1.354594757449366194e+00,1.000000000000000000e+00
1.518382094717080300e+00,1.000000000000000000e+00
1.306869346924761421e+00,1.000000000000000000e+00
1.717234812752777673e+00,1.000000000000000000e+00
1.737864395934498152e+00,1.000000000000000000e+00
1.685504935272679639e+00,1.000000000000000000e+00
1.327731327966835018e+00,1.000000000000000000e+00
1.476179551355380815e+00,1.000000000000000000e+00
1.623446530084460937e+00,1.000000000000000000e+00
1.127165531961230371e+00,1.000000000000000000e+00
1.144580689483404079e+00,1.000000000000000000e+00
1.425570156434518232e+00,1.000000000000000000e+00
1.526506950604838098e+00,1.000000000000000000e+00
1.111079134942322355e+00,1.000000000000000000e+00
1.621596464219219103e+00,1.000000000000000000e+00
1.620942384393631475e+00,1.000000000000000000e+00
8.255692956604826493e-01,1.000000000000000000e+00
1.174712593697058827e+00,1.000000000000000000e+00
1.703316107182350603e+00,1.000000000000000000e+00
1.043136001138047719e+00,1.000000000000000000e+00
1.183315941184280629e+00,1.000000000000000000e+00
1.636182352333128032e+00,1.000000000000000000e+00
1.611016823264696196e+00,1.000000000000000000e+00
1.454582882222915430e+00,1.000000000000000000e+00
1.268603285968763261e+00,1.000000000000000000e+00
1.627188299442563046e+00,1.000000000000000000e+00
1.589270430588078042e+00,1.000000000000000000e+00
