m,likelihood
8.624090191003146444e-01,1.000000000000000000e+00
2.039048283670156891e+00,1.000000000000000000e+00
1.017812877823986106e+00,1.000000000000000000e+00
1.073745786968080207e+00,1.000000000000000000e+00
1.771182361412567685e+00,1.000000000000000000e+00
1.753937664469335855e+00,1.000000000000000000e+00
2.348383335867474830e+00,1.000000000000000000e+00
1.582899769521646016e+00,1.000000000000000000e+00
1.247300104810635135e+00,1.000000000000000000e+00
2.369022624871922833e+00,1.000000000000000000e+00
1.491671906054337970e+00,1.000000000000000000e+00
9.992151608727878331e-01,1.000000000000000000e+00
1.818281200033492473e+00,1.000000000000000000e+00
1.172096937985241727e+00,1.000000000000000000e+00
1.873833102984387988e+00,1.000000000000000000e+00
1.688042195912787147e+00,1.000000000000000000e+00
1.150752393817621400e+00,1.000000000000000000e+00
1.297391978636913468e+00,1.000000000000000000e+00
1.887611804491687861e+00,1.000000000000000000e+00
6.681350013349887096e-01,1.000000000000000000e+00
1.832128150529998445e+00,1.000000000000000000e+00
1.525337561439750855e+00,1.000000000000000000e+00
1.459902661036035498e+00,1.000000000000000000e+00
1.705774416591920417e+00,1.000000000000000000e+00
9.937852817911027037e-01,1.000000000000000000e+00
1.472334072699637231e+00,1.000000000000000000e+00
1.746928713458181681e+00,1.000000000000000000e+00
1.885437303024272371e+00,1.000000000000000000e+00
1.080758121075206191e+00,1.000000000000000000e+00
1.339203122208682650e+00,1.000000000000000000e+00
1.754331549803543000e+00,1.000000000000000000e+00
1.465178021430008970e+00,1.000000000000000000e+00
2.078477567829834172e+00,1.000000000000000000e+00
2.110732450838519458e+00,1.000000000000000000e+00
1.273100648288192804e+00,1.000000000000000000e+00
2.115365384904558166e+00,1.000000000000000000e+00
2.158975269223431415e+00,1.000000000000000000e+00
1.349960297656595198e+00,1.000000000000000000e+00
1.457519903773923042e+00,1.000000000000000000e+00
1.188388398578534400e+00,1.000000000000000000e+00
1.502704090568221629e+00,1.000000000000000000e+00
1.763605925682171449e+00,1.000000000000000000e+00
1.658338949592117473e+00,1.000000000000000000e+00
1.443206725173776794e+00,1.000000000000000000e+00
1.700591767917245978e+00,1.000000000000000000e+00
1.226519889627802007e+00,1.000000000000000000e+00
1.749456670674443437e+00,1.000000000000000000e+00
1.427462666611754916e+00,1.000000000000000000e+00
2.128277109762223951e+00,1.000000000000000000e+00
9.098150497124737335e-01,1.000000000000000000e+00
1.087200628327330332e+00,1.000000000000000000e+00
1.038946840892389423e+00,1.000000000000000000e+00
1.573299768558827694e+00,1.000000000000000000e+00
1.031232281068636514e+00,1.000000000000000000e+00
1.225022303728855677e+00,1.000000000000000000e+00
1.839396246970080639e+00,1.000000000000000000e+00
1.350516937724238309e+00,1.000000000000000000e+00
1.251253808613836505e+00,1.000000000000000000e+00
1.501793694530015655e+00,1.000000000000000000e+00
1.155248254745728564e+00,1.000000000000000000e+00
1.674752462436787770e+00,1.000000000000000000e+00
1.690233143648798508e+00,1.000000000000000000e+00
1.569899370376869330e+00,1.000000000000000000e+00
1.862747246763727160e+00,1.000000000000000000e+00
1.797776516184923956e+00,1.000000000000000000e+00
1.177067523788773107e+00,1.000000000000000000e+00
1.229290218668188217e+00,1.000000000000000000e+00
1.452696211872339438e+00,1.000000000000000000e+00
2.108970438830324756e+00,1.000000000000000000e+00
1.170866931599197081e+00,1.000000000000000000e+00
1.887300068508300122e+00,1.000000000000000000e+00
1.934897120011693117e+00,1.000000000000000000e+00
1.752244141693871660e+00,1.000000000000000000e+00
1.711811081341049645e+00,1.000000000000000000e+00
1.539855766977561879e+00,1.000000000000000000e+00
1.632736349940106413e+00,1.000000000000000000e+00
1.668603227123160559e+00,1.000000000000000000e+00
2.091059424898775276e+00,1.000000000000000000e+00
1.631737105678618960e+00,1.000000000000000000e+00
1.757004848681851694e+00,1.000000000000000000e+00
1.228547500392793701e+00,1.000000000000000000e+00
2.419062370780627802e+00,1.000000000000000000e+00
2.018771443264435472e+00,1.000000000000000000e+00
1.579840007154268200e+00,1.000000000000000000e+00
2.539109951992859493e+00,1.000000000000000000e+00
1.433901016217914215e+00,1.000000000000000000e+00
1.498208976762779754e+00,1.000000000000000000e+00
1.642968320572532948e+00,1.000000000000000000e+00
1.189188927087294179e+00,1.000000000000000000e+00
1.621713732150004583e+00,1.000000000000000000e+00
1.492263824395553051e+00,1.000000000000000000e+00
1.546964574851452667e+00,1.000000000000000000e+00
3.762951580473854474e-01,1.000000000000000000e+00
1.181574799239653917e+00,1.000000000000000000e+00
1.756865098107225576e+00,1.000000000000000000e+00
1.079537243755892106e+00,1.000000000000000000e+00
1.260464430150851189e+00,1.000000000000000000e+00
1.889444125942340902e+00,1.000000000000000000e+00
1.882020683786163717e+00,1.000000000000000000e+00
1.624437557095121720e+00,1.000000000000000000e+00
