q, m, likelihood
6.784800787691187907e+01,1.642916898101940859e+00,1.000000000000000000e+00
6.888436286411237575e+01,1.702612493411991279e+00,1.000000000000000000e+00
6.903212262245315856e+01,2.690029194505690668e+00,1.000000000000000000e+00
6.787886039887618495e+01,1.873813711726918463e+00,1.000000000000000000e+00
6.869434241530403540e+01,1.274787708533196895e+00,1.000000000000000000e+00
6.984728920688930032e+01,2.404338464497412176e+00,1.000000000000000000e+00
6.816838339111832568e+01,1.452825289467436276e+00,1.000000000000000000e+00
6.943975885316724828e+01,2.151040219662514907e+00,1.000000000000000000e+00
6.859859570258562655e+01,2.782581842475874812e+00,1.000000000000000000e+00
7.054189084497392059e+01,2.124300509016665117e+00,1.000000000000000000e+00
7.054189084497392059e+01,2.124300509016665117e+00,1.000000000000000000e+00
6.909252212208710375e+01,1.706989498732977228e+00,1.000000000000000000e+00
6.970886060392952288e+01,2.224471754958204261e+00,1.000000000000000000e+00
6.825560502957817732e+01,2.453383555322640852e+00,1.000000000000000000e+00
6.889343362324726172e+01,2.786702932536469390e+00,1.000000000000000000e+00
6.835698995282110957e+01,2.567863935671883535e+00,1.000000000000000000e+00
6.951166993884238821e+01,2.262016423778117513e+00,1.000000000000000000e+00
6.929780593844179748e+01,1.537203426603362511e+00,1.000000000000000000e+00
6.931540473433032901e+01,1.089328859808239569e+00,1.000000000000000000e+00
6.854519324704901351e+01,1.015944102625818246e+00,1.000000000000000000e+00
6.825560502957817732e+01,2.453383555322640852e+00,1.000000000000000000e+00
6.950182142243208716e+01,1.389159055033923895e+00,1.000000000000000000e+00
6.809094114801685294e+01,2.666489604346009124e+00,1.000000000000000000e+00
6.912297422041532968e+01,2.303858527486362107e+00,1.000000000000000000e+00
6.961578416537334135e+01,2.711391921774939817e+00,1.000000000000000000e+00
6.984273808280076423e+01,2.563743980296804281e+00,1.000000000000000000e+00
6.828931906379803252e+01,1.947721427232427471e+00,1.000000000000000000e+00
6.989430209817108164e+01,1.718271317822656297e+00,1.000000000000000000e+00
6.918107195901929174e+01,2.116016082204756898e+00,1.000000000000000000e+00
6.872100791920338736e+01,1.086314454243392236e+00,1.000000000000000000e+00
6.872100791920338736e+01,1.086314454243392236e+00,1.000000000000000000e+00
6.872100791920338736e+01,1.086314454243392236e+00,1.000000000000000000e+00
6.951166993884238821e+01,2.262016423778117513e+00,1.000000000000000000e+00
6.954948345164115153e+01,2.464364340761501460e+00,1.000000000000000000e+00
6.970789595024859864e+01,1.056880153097742081e+00,1.000000000000000000e+00
7.047391278087422961e+01,2.704377113654524933e+00,1.000000000000000000e+00
6.889343362324726172e+01,2.786702932536469390e+00,1.000000000000000000e+00
6.943814748515163160e+01,1.474899664233632723e+00,1.000000000000000000e+00
6.929994339489832100e+01,1.425705450520288187e+00,1.000000000000000000e+00
7.006577921740752402e+01,1.466079763318431928e+00,1.000000000000000000e+00
6.918107195901929174e+01,2.116016082204756898e+00,1.000000000000000000e+00
6.914719422006005800e+01,1.803613637820764337e+00,1.000000000000000000e+00
6.887669205053553867e+01,1.539722894027106381e+00,1.000000000000000000e+00
6.970789595024859864e+01,1.056880153097742081e+00,1.000000000000000000e+00
6.872100791920338736e+01,1.086314454243392236e+00,1.000000000000000000e+00
6.916243250765060679e+01,2.831165139485133153e+00,1.000000000000000000e+00
7.006577921740752402e+01,1.466079763318431928e+00,1.000000000000000000e+00
6.970789595024859864e+01,1.056880153097742081e+00,1.000000000000000000e+00
6.954948345164115153e+01,2.464364340761501460e+00,1.000000000000000000e+00
6.897984816871485236e+01,1.242875245707778076e+00,1.000000000000000000e+00
7.033796401303752077e+01,1.828801100931710222e+00,1.000000000000000000e+00
6.986504828396867595e+01,1.583654021797178624e+00,1.000000000000000000e+00
6.913890235561356690e+01,1.130540396974930362e+00,1.000000000000000000e+00
6.918107195901929174e+01,2.116016082204756898e+00,1.000000000000000000e+00
6.893288534918858090e+01,1.199649644682459826e+00,1.000000000000000000e+00
6.998130599489448400e+01,1.094163573115532140e+00,1.000000000000000000e+00
6.872100791920338736e+01,1.086314454243392236e+00,1.000000000000000000e+00
6.804728343373798793e+01,1.007668620912739676e+00,1.000000000000000000e+00
6.854519324704901351e+01,1.015944102625818246e+00,1.000000000000000000e+00
6.920276885059587357e+01,2.482962983958945991e+00,1.000000000000000000e+00
6.784800787691187907e+01,1.642916898101940859e+00,1.000000000000000000e+00
7.054189084497392059e+01,2.124300509016665117e+00,1.000000000000000000e+00
6.984273808280076423e+01,2.563743980296804281e+00,1.000000000000000000e+00
6.889343362324726172e+01,2.786702932536469390e+00,1.000000000000000000e+00
6.891358862379438222e+01,1.308406331863596117e+00,1.000000000000000000e+00
6.929994339489832100e+01,1.425705450520288187e+00,1.000000000000000000e+00
