q, m, likelihood
9.558254027675234354e+00,2.826633978580523454e+00,1.000000000000000000e+00
9.327666028984163304e+00,2.262950083594800432e+00,1.000000000000000000e+00
9.578655144214765826e+00,2.250680653470137127e+00,1.000000000000000000e+00
9.752162007699096691e+00,2.196616326176381140e+00,1.000000000000000000e+00
9.426101895896593419e+00,1.060845597429025844e+00,1.000000000000000000e+00
9.644292983861062041e+00,2.650262004091661794e+00,1.000000000000000000e+00
9.440411322766861346e+00,1.829423194724953738e+00,1.000000000000000000e+00
9.379818529044339215e+00,2.271190288234714139e+00,1.000000000000000000e+00
9.421494049973826890e+00,2.271048006155801602e+00,1.000000000000000000e+00
9.943069464795350143e+00,1.027278784234382458e+00,1.000000000000000000e+00
9.555101030398180484e+00,1.344098626529655061e+00,1.000000000000000000e+00
9.553715666678071372e+00,2.900109407922600191e+00,1.000000000000000000e+00
9.547218494349651863e+00,2.914855764560793538e+00,1.000000000000000000e+00
9.557250362199917859e+00,1.852344648116411197e+00,1.000000000000000000e+00
9.644292983861062041e+00,2.650262004091661794e+00,1.000000000000000000e+00
9.277481682256841111e+00,2.307667731017811974e+00,1.000000000000000000e+00
9.623372326272592758e+00,1.807595545012479432e+00,1.000000000000000000e+00
9.421494049973826890e+00,2.271048006155801602e+00,1.000000000000000000e+00
9.433868014482936104e+00,2.664015219851519234e+00,1.000000000000000000e+00
9.496302379239633495e+00,1.453859903585646984e+00,1.000000000000000000e+00
9.304126798826152012e+00,1.977789766127802551e+00,1.000000000000000000e+00
9.421494049973826890e+00,2.271048006155801602e+00,1.000000000000000000e+00
9.691647652550793524e+00,2.049052484464738644e+00,1.000000000000000000e+00
9.290987121417428440e+00,2.686312962081205846e+00,1.000000000000000000e+00
9.379818529044339215e+00,2.271190288234714139e+00,1.000000000000000000e+00
9.302678549654276097e+00,2.490875972450305120e+00,1.000000000000000000e+00
9.758879926076653888e+00,2.795466490045763308e+00,1.000000000000000000e+00
9.641179716686687939e+00,2.490015576376876538e+00,1.000000000000000000e+00
9.379117677941787079e+00,2.010639161176820178e+00,1.000000000000000000e+00
9.277481682256841111e+00,2.307667731017811974e+00,1.000000000000000000e+00
9.388976748446086873e+00,2.006477133593894013e+00,1.000000000000000000e+00
9.498342656089327818e+00,2.095501201392258039e+00,1.000000000000000000e+00
9.517513303351732290e+00,2.507581832107770747e+00,1.000000000000000000e+00
9.707110936293785741e+00,1.783504140397491833e+00,1.000000000000000000e+00
9.861966451687898427e+00,1.448880934682810429e+00,1.000000000000000000e+00
9.440707874665289268e+00,2.402956331981499272e+00,1.000000000000000000e+00
9.387150397950639658e+00,1.954366374194612455e+00,1.000000000000000000e+00
9.388976748446086873e+00,2.006477133593894013e+00,1.000000000000000000e+00
9.233329695995477593e+00,2.180525694274249915e+00,1.000000000000000000e+00
9.440356644693670418e+00,1.898649773650197270e+00,1.000000000000000000e+00
9.607291021270151887e+00,2.318643855510025276e+00,1.000000000000000000e+00
9.578655144214765826e+00,2.250680653470137127e+00,1.000000000000000000e+00
9.495964805765392924e+00,1.322236650465517416e+00,1.000000000000000000e+00
9.607291021270151887e+00,2.318643855510025276e+00,1.000000000000000000e+00
9.828398554638400952e+00,2.515130850479028624e+00,1.000000000000000000e+00
9.397492106183353400e+00,1.869448511015960879e+00,1.000000000000000000e+00
9.444189467241214331e+00,1.704784260259955886e+00,1.000000000000000000e+00
9.460226061984092993e+00,1.128836274701533471e+00,1.000000000000000000e+00
9.600615603791872843e+00,2.243968229973665629e+00,1.000000000000000000e+00
9.475069882265550802e+00,2.092400121848710270e+00,1.000000000000000000e+00
9.397492106183353400e+00,1.869448511015960879e+00,1.000000000000000000e+00
9.397492106183353400e+00,1.869448511015960879e+00,1.000000000000000000e+00
9.678812579356375068e+00,2.940102703045113230e+00,1.000000000000000000e+00
9.553715666678071372e+00,2.900109407922600191e+00,1.000000000000000000e+00
9.623372326272592758e+00,1.807595545012479432e+00,1.000000000000000000e+00
9.417291138471474810e+00,1.613441954088195018e+00,1.000000000000000000e+00
9.103670322279569405e+00,1.327508555148510627e+00,1.000000000000000000e+00
9.417291138471474810e+00,1.613441954088195018e+00,1.000000000000000000e+00
9.547218494349651863e+00,2.914855764560793538e+00,1.000000000000000000e+00
9.274015563984965738e+00,2.514501973663470835e+00,1.000000000000000000e+00
9.602055093800748509e+00,2.968145913336973418e+00,1.000000000000000000e+00
9.444189467241214331e+00,1.704784260259955886e+00,1.000000000000000000e+00
9.691647652550793524e+00,2.049052484464738644e+00,1.000000000000000000e+00
9.586156933623421139e+00,2.358489159347286979e+00,1.000000000000000000e+00
9.444189467241214331e+00,1.704784260259955886e+00,1.000000000000000000e+00
9.440356644693670418e+00,1.898649773650197270e+00,1.000000000000000000e+00
9.440356644693670418e+00,1.898649773650197270e+00,1.000000000000000000e+00
9.395869244208661542e+00,1.037763869817172502e+00,1.000000000000000000e+00
9.186458869544948058e+00,2.975713508827571907e+00,1.000000000000000000e+00
9.387150397950639658e+00,1.954366374194612455e+00,1.000000000000000000e+00
9.290987121417428440e+00,2.686312962081205846e+00,1.000000000000000000e+00
9.758879926076653888e+00,2.795466490045763308e+00,1.000000000000000000e+00
9.834940129004705156e+00,2.499425522934525912e+00,1.000000000000000000e+00
9.678812579356375068e+00,2.940102703045113230e+00,1.000000000000000000e+00
9.180013664925388284e+00,1.067370404163656694e+00,1.000000000000000000e+00
9.373831116342348224e+00,2.431897404844473254e+00,1.000000000000000000e+00
9.274015563984965738e+00,2.514501973663470835e+00,1.000000000000000000e+00
9.951334274500139188e+00,2.245260816642691282e+00,1.000000000000000000e+00
9.553715666678071372e+00,2.900109407922600191e+00,1.000000000000000000e+00
9.728003911996232489e+00,2.617317608955073815e+00,1.000000000000000000e+00
9.524044714898593611e+00,2.666820023040103127e+00,1.000000000000000000e+00
9.633931422525089161e+00,2.900197531967920295e+00,1.000000000000000000e+00
9.340760892434641249e+00,2.604414468995227772e+00,1.000000000000000000e+00
9.781912343755555739e+00,1.153814533610525883e+00,1.000000000000000000e+00
9.444189467241214331e+00,1.704784260259955886e+00,1.000000000000000000e+00
9.517513303351732290e+00,2.507581832107770747e+00,1.000000000000000000e+00
9.567960893833188152e+00,1.395987945457686896e+00,1.000000000000000000e+00
9.470525510138340763e+00,1.172004050166081335e+00,1.000000000000000000e+00
9.524044714898593611e+00,2.666820023040103127e+00,1.000000000000000000e+00
9.584661931882493491e+00,2.264924074323587444e+00,1.000000000000000000e+00
9.552133491192025261e+00,1.939200047788365522e+00,1.000000000000000000e+00
9.517513303351732290e+00,2.507581832107770747e+00,1.000000000000000000e+00
9.440356644693670418e+00,1.898649773650197270e+00,1.000000000000000000e+00
9.463994752183900516e+00,2.551184293336284270e+00,1.000000000000000000e+00
9.641876151661060490e+00,1.521512923216350677e+00,1.000000000000000000e+00
9.508476337945516832e+00,1.337221363757501003e+00,1.000000000000000000e+00
9.508476337945516832e+00,1.337221363757501003e+00,1.000000000000000000e+00
9.691647652550793524e+00,2.049052484464738644e+00,1.000000000000000000e+00
9.626474747900202189e+00,2.775520196833353825e+00,1.000000000000000000e+00
9.652755658529910576e+00,1.181878022701653874e+00,1.000000000000000000e+00
