tm, m, likelihood
2.224123214112676550e+00,1.843226794549963410e+00,1.000000000000000000e+00
2.372624788358270731e+00,2.143803117957030047e+00,1.000000000000000000e+00
2.243042739006685604e+00,1.818378785202111159e+00,1.000000000000000000e+00
2.098179014796583530e+00,1.875394071534618234e+00,1.000000000000000000e+00
2.281226258056266332e+00,2.027807996944822833e+00,1.000000000000000000e+00
2.230205952942671654e+00,2.044588099044059248e+00,1.000000000000000000e+00
2.230205952942671654e+00,2.044588099044059248e+00,1.000000000000000000e+00
2.281226258056266332e+00,2.027807996944822833e+00,1.000000000000000000e+00
2.230205952942671654e+00,2.044588099044059248e+00,1.000000000000000000e+00
2.500893460283578840e+00,2.260275908780204013e+00,1.000000000000000000e+00
2.500893460283578840e+00,2.260275908780204013e+00,1.000000000000000000e+00
2.395860917143910029e+00,2.173589097080565136e+00,1.000000000000000000e+00
1.999638465237402851e+00,1.842368263496091840e+00,1.000000000000000000e+00
2.281226258056266332e+00,2.027807996944822833e+00,1.000000000000000000e+00
2.456702121006172579e+00,1.799165600946742938e+00,1.000000000000000000e+00
2.231107694071760239e+00,1.517272492757022473e+00,1.000000000000000000e+00
2.512347569853923268e+00,2.140646757016939628e+00,1.000000000000000000e+00
2.249383059387772388e+00,1.993525117323137419e+00,1.000000000000000000e+00
2.209439043462760210e+00,1.402037195186369933e+00,1.000000000000000000e+00
2.145090739860684437e+00,1.974257226489938954e+00,1.000000000000000000e+00
2.342495019351523933e+00,2.064661586066549592e+00,1.000000000000000000e+00
2.230205952942671654e+00,2.044588099044059248e+00,1.000000000000000000e+00
2.456702121006172579e+00,1.799165600946742938e+00,1.000000000000000000e+00
2.145090739860684437e+00,1.974257226489938954e+00,1.000000000000000000e+00
2.230205952942671654e+00,2.044588099044059248e+00,1.000000000000000000e+00
2.339029646615478963e+00,1.967823230763953379e+00,1.000000000000000000e+00
2.235756714319834249e+00,1.576647625116771589e+00,1.000000000000000000e+00
2.079427095009114712e+00,1.749328766611039310e+00,1.000000000000000000e+00
2.270924799457987309e+00,1.878163047185748891e+00,1.000000000000000000e+00
2.500893460283578840e+00,2.260275908780204013e+00,1.000000000000000000e+00
2.281226258056266332e+00,2.027807996944822833e+00,1.000000000000000000e+00
2.435869261260149798e+00,2.130384546303099924e+00,1.000000000000000000e+00
1.999638465237402851e+00,1.842368263496091840e+00,1.000000000000000000e+00
2.372624788358270731e+00,2.143803117957030047e+00,1.000000000000000000e+00
2.372624788358270731e+00,2.143803117957030047e+00,1.000000000000000000e+00
2.115578420215930233e+00,1.778168600545749989e+00,1.000000000000000000e+00
2.112969870034783426e+00,1.850451651146127530e+00,1.000000000000000000e+00
2.408835753427225335e+00,2.177842557149743286e+00,1.000000000000000000e+00
2.432329327939259045e+00,2.136913783109060994e+00,1.000000000000000000e+00
2.240302319059281011e+00,2.035898824033242960e+00,1.000000000000000000e+00
2.244286188532297110e+00,1.583407463737361187e+00,1.000000000000000000e+00
2.325491968060310999e+00,1.587538127615843564e+00,1.000000000000000000e+00
2.325491968060310999e+00,1.587538127615843564e+00,1.000000000000000000e+00
2.500893460283578840e+00,2.260275908780204013e+00,1.000000000000000000e+00
2.395860917143910029e+00,2.173589097080565136e+00,1.000000000000000000e+00
2.395860917143910029e+00,2.173589097080565136e+00,1.000000000000000000e+00
2.580620408704346502e+00,2.391722009029273899e+00,1.000000000000000000e+00
2.226309206701354793e+00,1.898132481072410283e+00,1.000000000000000000e+00
2.341896417101597461e+00,1.401362335204009213e+00,1.000000000000000000e+00
2.379800887620281191e+00,1.507698764754047849e+00,1.000000000000000000e+00
2.145090739860684437e+00,1.974257226489938954e+00,1.000000000000000000e+00
2.217066358479062860e+00,1.364851251614997985e+00,1.000000000000000000e+00
2.432329327939259045e+00,2.136913783109060994e+00,1.000000000000000000e+00
2.152500415016431745e+00,1.463002394900953629e+00,1.000000000000000000e+00
2.240302319059281011e+00,2.035898824033242960e+00,1.000000000000000000e+00
2.500893460283578840e+00,2.260275908780204013e+00,1.000000000000000000e+00
2.279928072143448059e+00,1.871701234054356622e+00,1.000000000000000000e+00
2.357522936914364209e+00,2.106393627322790341e+00,1.000000000000000000e+00
2.145090739860684437e+00,1.974257226489938954e+00,1.000000000000000000e+00
2.339029646615478963e+00,1.967823230763953379e+00,1.000000000000000000e+00
2.435869261260149798e+00,2.130384546303099924e+00,1.000000000000000000e+00
2.435869261260149798e+00,2.130384546303099924e+00,1.000000000000000000e+00
1.999638465237402851e+00,1.842368263496091840e+00,1.000000000000000000e+00
2.230205952942671654e+00,2.044588099044059248e+00,1.000000000000000000e+00
2.281226258056266332e+00,2.027807996944822833e+00,1.000000000000000000e+00
2.395860917143910029e+00,2.173589097080565136e+00,1.000000000000000000e+00
2.115578420215930233e+00,1.778168600545749989e+00,1.000000000000000000e+00
2.230205952942671654e+00,2.044588099044059248e+00,1.000000000000000000e+00
2.281226258056266332e+00,2.027807996944822833e+00,1.000000000000000000e+00
2.464846922929847750e+00,1.903983986153498620e+00,1.000000000000000000e+00
2.395860917143910029e+00,2.173589097080565136e+00,1.000000000000000000e+00
2.408835753427225335e+00,2.177842557149743286e+00,1.000000000000000000e+00
2.137595262035549393e+00,1.759642162978130919e+00,1.000000000000000000e+00
2.226309206701354793e+00,1.898132481072410283e+00,1.000000000000000000e+00
2.145090739860684437e+00,1.974257226489938954e+00,1.000000000000000000e+00
2.224123214112676550e+00,1.843226794549963410e+00,1.000000000000000000e+00
2.372624788358270731e+00,2.143803117957030047e+00,1.000000000000000000e+00
2.395860917143910029e+00,2.173589097080565136e+00,1.000000000000000000e+00
2.230205952942671654e+00,2.044588099044059248e+00,1.000000000000000000e+00
2.372624788358270731e+00,2.143803117957030047e+00,1.000000000000000000e+00
2.240302319059281011e+00,2.035898824033242960e+00,1.000000000000000000e+00
2.249383059387772388e+00,1.993525117323137419e+00,1.000000000000000000e+00
2.230205952942671654e+00,2.044588099044059248e+00,1.000000000000000000e+00
2.230205952942671654e+00,2.044588099044059248e+00,1.000000000000000000e+00
2.112969870034783426e+00,1.850451651146127530e+00,1.000000000000000000e+00
2.372624788358270731e+00,2.143803117957030047e+00,1.000000000000000000e+00
2.500893460283578840e+00,2.260275908780204013e+00,1.000000000000000000e+00
2.145090739860684437e+00,1.974257226489938954e+00,1.000000000000000000e+00
2.224123214112676550e+00,1.843226794549963410e+00,1.000000000000000000e+00
2.281226258056266332e+00,2.027807996944822833e+00,1.000000000000000000e+00
2.407650548233482901e+00,1.731151295765242626e+00,1.000000000000000000e+00
2.549143603025357585e+00,2.329185901902809164e+00,1.000000000000000000e+00
2.342495019351523933e+00,2.064661586066549592e+00,1.000000000000000000e+00
2.281226258056266332e+00,2.027807996944822833e+00,1.000000000000000000e+00
2.549143603025357585e+00,2.329185901902809164e+00,1.000000000000000000e+00
2.281226258056266332e+00,2.027807996944822833e+00,1.000000000000000000e+00
2.240302319059281011e+00,2.035898824033242960e+00,1.000000000000000000e+00
2.281226258056266332e+00,2.027807996944822833e+00,1.000000000000000000e+00
2.342495019351523933e+00,2.064661586066549592e+00,1.000000000000000000e+00
2.281226258056266332e+00,2.027807996944822833e+00,1.000000000000000000e+00
