tm, m, likelihood
1.526392310518708273e+00,1.097067064846747320e+00,1.000000000000000000e+00
1.592721689793566542e+00,1.112715830004247675e+00,1.000000000000000000e+00
1.638537061839725029e+00,1.284514326860446420e+00,1.000000000000000000e+00
1.614578877343912922e+00,1.063905752258874404e+00,1.000000000000000000e+00
1.639704741739506533e+00,1.023552948317720368e+00,1.000000000000000000e+00
1.595443432493009572e+00,1.168722331047860941e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.667944615492023885e+00,1.208795027712405767e+00,1.000000000000000000e+00
1.601745257657448906e+00,1.241405373461382577e+00,1.000000000000000000e+00
1.515668674474768496e+00,1.044122811583562349e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.617806637395995173e+00,1.233367301370437374e+00,1.000000000000000000e+00
1.579771251452487979e+00,1.222320382712380971e+00,1.000000000000000000e+00
1.504781636086863328e+00,1.028594535960642764e+00,1.000000000000000000e+00
1.598815627156596975e+00,1.067720671701667401e+00,1.000000000000000000e+00
1.588721333540488834e+00,1.279364163223277284e+00,1.000000000000000000e+00
1.621817244312085071e+00,1.309382375732325521e+00,1.000000000000000000e+00
1.595443432493009572e+00,1.168722331047860941e+00,1.000000000000000000e+00
1.633642770488748619e+00,1.250674645325924761e+00,1.000000000000000000e+00
1.597786127730397077e+00,1.185629122472100949e+00,1.000000000000000000e+00
1.587522527098785607e+00,1.288010225215358684e+00,1.000000000000000000e+00
1.689148692483402270e+00,1.342311232991971970e+00,1.000000000000000000e+00
1.695024195841131176e+00,1.278493490334126514e+00,1.000000000000000000e+00
1.689148692483402270e+00,1.342311232991971970e+00,1.000000000000000000e+00
1.588721333540488834e+00,1.279364163223277284e+00,1.000000000000000000e+00
1.640033161197665068e+00,1.127737250839845551e+00,1.000000000000000000e+00
1.540700706905446804e+00,1.008611765560621931e+00,1.000000000000000000e+00
1.638537061839725029e+00,1.284514326860446420e+00,1.000000000000000000e+00
1.694079445730402922e+00,1.350825478282989822e+00,1.000000000000000000e+00
1.540700706905446804e+00,1.008611765560621931e+00,1.000000000000000000e+00
1.604973844751226730e+00,1.244344210629668046e+00,1.000000000000000000e+00
1.613046217321215225e+00,1.223770135811987458e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.604973844751226730e+00,1.244344210629668046e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.614578877343912922e+00,1.063905752258874404e+00,1.000000000000000000e+00
1.575219053395422453e+00,1.193727543640605626e+00,1.000000000000000000e+00
1.585033112496994967e+00,1.017069836996460364e+00,1.000000000000000000e+00
1.488309527299168433e+00,1.196254123223839283e+00,1.000000000000000000e+00
1.587522527098785607e+00,1.288010225215358684e+00,1.000000000000000000e+00
1.588721333540488834e+00,1.279364163223277284e+00,1.000000000000000000e+00
1.587522527098785607e+00,1.288010225215358684e+00,1.000000000000000000e+00
1.582598472687515745e+00,1.090787003851338977e+00,1.000000000000000000e+00
1.714324191592675239e+00,1.386078721502560951e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.623708207593316910e+00,1.123269414106850661e+00,1.000000000000000000e+00
1.689148692483402270e+00,1.342311232991971970e+00,1.000000000000000000e+00
1.624175787133485871e+00,1.310981777821513594e+00,1.000000000000000000e+00
1.651497458882082103e+00,1.102926156148594128e+00,1.000000000000000000e+00
1.579865716919501839e+00,1.110842573297600389e+00,1.000000000000000000e+00
1.601745257657448906e+00,1.241405373461382577e+00,1.000000000000000000e+00
1.672841336090297837e+00,1.208208530005981496e+00,1.000000000000000000e+00
1.588721333540488834e+00,1.279364163223277284e+00,1.000000000000000000e+00
1.652566104623366616e+00,1.230227632108807034e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.669424908170511257e+00,1.019050012383018622e+00,1.000000000000000000e+00
1.695375818238951560e+00,1.364417525902974493e+00,1.000000000000000000e+00
1.547999095320152563e+00,1.156012801258337053e+00,1.000000000000000000e+00
1.639704741739506533e+00,1.023552948317720368e+00,1.000000000000000000e+00
1.640600193179817978e+00,1.268560026583888778e+00,1.000000000000000000e+00
1.693439014706361379e+00,1.059429832279312089e+00,1.000000000000000000e+00
1.695115984192169023e+00,1.262939880276089166e+00,1.000000000000000000e+00
1.504781636086863328e+00,1.028594535960642764e+00,1.000000000000000000e+00
1.528766372764048587e+00,1.044217009866587942e+00,1.000000000000000000e+00
1.604973844751226730e+00,1.244344210629668046e+00,1.000000000000000000e+00
1.672841336090297837e+00,1.208208530005981496e+00,1.000000000000000000e+00
1.638537061839725029e+00,1.284514326860446420e+00,1.000000000000000000e+00
1.694079445730402922e+00,1.350825478282989822e+00,1.000000000000000000e+00
1.659897696133071809e+00,1.253859440136082970e+00,1.000000000000000000e+00
1.515668674474768496e+00,1.044122811583562349e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.610499144513995784e+00,1.060611781143377952e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.640033161197665068e+00,1.127737250839845551e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.638628234145439011e+00,1.029087461703391604e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.585033112496994967e+00,1.017069836996460364e+00,1.000000000000000000e+00
1.638628234145439011e+00,1.029087461703391604e+00,1.000000000000000000e+00
1.565207609715155268e+00,1.182491013063889929e+00,1.000000000000000000e+00
1.662024320132644339e+00,1.362770117895861333e+00,1.000000000000000000e+00
1.667944615492023885e+00,1.208795027712405767e+00,1.000000000000000000e+00
1.592454294987477814e+00,1.201474606454093763e+00,1.000000000000000000e+00
1.604973844751226730e+00,1.244344210629668046e+00,1.000000000000000000e+00
1.587522527098785607e+00,1.288010225215358684e+00,1.000000000000000000e+00
