tm, m, likelihood
2.686802780761651466e+00,1.454903107775260329e+00,1.000000000000000000e+00
2.684081574359663325e+00,1.245996470855884386e+00,1.000000000000000000e+00
2.682572659721465413e+00,1.187033169642427888e+00,1.000000000000000000e+00
2.629029179833755947e+00,1.103711863401624971e+00,1.000000000000000000e+00
2.584345379798994813e+00,1.135512711790324092e+00,1.000000000000000000e+00
2.668741915881720494e+00,1.435736373942130939e+00,1.000000000000000000e+00
2.632266644647474507e+00,1.327080009044815601e+00,1.000000000000000000e+00
2.654172335189036502e+00,1.235508889572447311e+00,1.000000000000000000e+00
2.596140354146818652e+00,1.169399933800533864e+00,1.000000000000000000e+00
2.668741915881720494e+00,1.435736373942130939e+00,1.000000000000000000e+00
2.686246926527830148e+00,1.441313391556461543e+00,1.000000000000000000e+00
2.584455978141046550e+00,1.338358165215508766e+00,1.000000000000000000e+00
2.593298570367625899e+00,1.276365365099966898e+00,1.000000000000000000e+00
2.625059824845876300e+00,1.259958569649943572e+00,1.000000000000000000e+00
2.555475509602594286e+00,1.192634336315836929e+00,1.000000000000000000e+00
2.596140354146818652e+00,1.169399933800533864e+00,1.000000000000000000e+00
2.681598234199263686e+00,1.160911376330819866e+00,1.000000000000000000e+00
2.629029179833755947e+00,1.103711863401624971e+00,1.000000000000000000e+00
2.625059824845876300e+00,1.259958569649943572e+00,1.000000000000000000e+00
2.590369520498676970e+00,1.115043863421029791e+00,1.000000000000000000e+00
2.635240171686185295e+00,1.102707746456951465e+00,1.000000000000000000e+00
2.618150384117686968e+00,1.216647003264057281e+00,1.000000000000000000e+00
2.681900821234439292e+00,1.458304017231626837e+00,1.000000000000000000e+00
2.714149384157490630e+00,1.494383552808382642e+00,1.000000000000000000e+00
2.686802780761651466e+00,1.454903107775260329e+00,1.000000000000000000e+00
2.686802780761651466e+00,1.454903107775260329e+00,1.000000000000000000e+00
2.625059824845876300e+00,1.259958569649943572e+00,1.000000000000000000e+00
2.639487574796633318e+00,1.283652691250109168e+00,1.000000000000000000e+00
2.686802780761651466e+00,1.454903107775260329e+00,1.000000000000000000e+00
2.694046468422247820e+00,1.343488811553810613e+00,1.000000000000000000e+00
2.686802780761651466e+00,1.454903107775260329e+00,1.000000000000000000e+00
2.632266644647474507e+00,1.327080009044815601e+00,1.000000000000000000e+00
2.714149384157490630e+00,1.494383552808382642e+00,1.000000000000000000e+00
