tm, m, likelihood
1.666411671728248889e+00,1.490231369548379314e+00,1.000000000000000000e+00
1.657631106999577053e+00,1.382681486794833159e+00,1.000000000000000000e+00
1.668543804860151081e+00,1.471379289663622636e+00,1.000000000000000000e+00
1.654480487922584508e+00,1.431329378766635685e+00,1.000000000000000000e+00
1.664682694395340556e+00,1.306020230392042514e+00,1.000000000000000000e+00
1.661938185974897397e+00,1.402279497788193385e+00,1.000000000000000000e+00
1.670474036774647786e+00,1.485420669705098451e+00,1.000000000000000000e+00
1.659767904028954577e+00,1.433792653804148998e+00,1.000000000000000000e+00
1.660990412698429175e+00,1.484702687172937408e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.660124818055152440e+00,1.259680040708591520e+00,1.000000000000000000e+00
1.661047541587664877e+00,1.446046433596047898e+00,1.000000000000000000e+00
1.661047541587664877e+00,1.446046433596047898e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.660990412698429175e+00,1.484702687172937408e+00,1.000000000000000000e+00
1.669849415727638675e+00,1.482982794645682167e+00,1.000000000000000000e+00
1.663253628945425611e+00,1.448472829104522352e+00,1.000000000000000000e+00
1.663253628945425611e+00,1.448472829104522352e+00,1.000000000000000000e+00
1.669216467361326561e+00,1.247837814500225573e+00,1.000000000000000000e+00
1.662780050650711550e+00,1.462490558538104946e+00,1.000000000000000000e+00
1.666411671728248889e+00,1.490231369548379314e+00,1.000000000000000000e+00
1.663940502187792658e+00,1.371541144437267157e+00,1.000000000000000000e+00
1.662780050650711550e+00,1.462490558538104946e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.666411671728248889e+00,1.490231369548379314e+00,1.000000000000000000e+00
1.656053923468821631e+00,1.329298452680955922e+00,1.000000000000000000e+00
1.660990412698429175e+00,1.484702687172937408e+00,1.000000000000000000e+00
1.661938185974897397e+00,1.402279497788193385e+00,1.000000000000000000e+00
1.669849415727638675e+00,1.482982794645682167e+00,1.000000000000000000e+00
1.668543804860151081e+00,1.471379289663622636e+00,1.000000000000000000e+00
1.665152147025335427e+00,1.435059083088702891e+00,1.000000000000000000e+00
1.660990412698429175e+00,1.484702687172937408e+00,1.000000000000000000e+00
1.660990412698429175e+00,1.484702687172937408e+00,1.000000000000000000e+00
1.658668127386880631e+00,1.441194853031922962e+00,1.000000000000000000e+00
1.659767904028954577e+00,1.433792653804148998e+00,1.000000000000000000e+00
1.659715428475289078e+00,1.232761264167797410e+00,1.000000000000000000e+00
1.673445277370946727e+00,1.074227206962101944e+00,1.000000000000000000e+00
1.654652764531516995e+00,1.447466346977232199e+00,1.000000000000000000e+00
1.663253628945425611e+00,1.448472829104522352e+00,1.000000000000000000e+00
1.666341857607451793e+00,1.426286654327702852e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.666411671728248889e+00,1.490231369548379314e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.660990412698429175e+00,1.484702687172937408e+00,1.000000000000000000e+00
1.662780050650711550e+00,1.462490558538104946e+00,1.000000000000000000e+00
1.660990412698429175e+00,1.484702687172937408e+00,1.000000000000000000e+00
1.666941489609860882e+00,1.085303674253544015e+00,1.000000000000000000e+00
1.659767904028954577e+00,1.433792653804148998e+00,1.000000000000000000e+00
1.660990412698429175e+00,1.484702687172937408e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.666411671728248889e+00,1.490231369548379314e+00,1.000000000000000000e+00
1.660990412698429175e+00,1.484702687172937408e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.663253628945425611e+00,1.448472829104522352e+00,1.000000000000000000e+00
1.670474036774647786e+00,1.485420669705098451e+00,1.000000000000000000e+00
1.664281258807039254e+00,1.417904373014533093e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.664112189142631815e+00,1.054744243649457847e+00,1.000000000000000000e+00
1.675176977126587197e+00,1.477645358185437185e+00,1.000000000000000000e+00
1.654197842547898034e+00,1.242555518436844419e+00,1.000000000000000000e+00
1.665806560207034881e+00,1.361559147010710902e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.669255580394868765e+00,1.428646663649086213e+00,1.000000000000000000e+00
1.666411671728248889e+00,1.490231369548379314e+00,1.000000000000000000e+00
1.657904579414715585e+00,1.223004214476698825e+00,1.000000000000000000e+00
1.658668127386880631e+00,1.441194853031922962e+00,1.000000000000000000e+00
1.661938185974897397e+00,1.402279497788193385e+00,1.000000000000000000e+00
1.662519205605592632e+00,1.230949587357318187e+00,1.000000000000000000e+00
1.660990412698429175e+00,1.484702687172937408e+00,1.000000000000000000e+00
1.665250382193434575e+00,1.318350040991145722e+00,1.000000000000000000e+00
1.669849415727638675e+00,1.482982794645682167e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.672578159124585850e+00,1.496916742550386203e+00,1.000000000000000000e+00
1.666411671728248889e+00,1.490231369548379314e+00,1.000000000000000000e+00
1.662780050650711550e+00,1.462490558538104946e+00,1.000000000000000000e+00
1.660990412698429175e+00,1.484702687172937408e+00,1.000000000000000000e+00
1.666411671728248889e+00,1.490231369548379314e+00,1.000000000000000000e+00
