tm, m, likelihood
2.270603976171964966e+00,1.744497930077288039e+00,1.000000000000000000e+00
2.261627195771600540e+00,1.511502439633993777e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.316117219554314044e+00,1.728588588008487470e+00,1.000000000000000000e+00
2.230629120114868247e+00,1.131264272261389703e+00,1.000000000000000000e+00
2.266681406965764811e+00,1.736349690982283533e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.246629614594072510e+00,1.355027499055565965e+00,1.000000000000000000e+00
2.266681406965764811e+00,1.736349690982283533e+00,1.000000000000000000e+00
2.270603976171964966e+00,1.744497930077288039e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.304524853620762759e+00,1.048647888681047968e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.185157172520979074e+00,1.617095527812081546e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.270603976171964966e+00,1.744497930077288039e+00,1.000000000000000000e+00
2.266681406965764811e+00,1.736349690982283533e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.425571044960300071e+00,1.600706233703247605e+00,1.000000000000000000e+00
2.266681406965764811e+00,1.736349690982283533e+00,1.000000000000000000e+00
2.244556091593605807e+00,1.174117384435340528e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.329276104852083140e+00,1.450709904881979817e+00,1.000000000000000000e+00
2.361595954611994230e+00,1.689538596280258043e+00,1.000000000000000000e+00
2.270603976171964966e+00,1.744497930077288039e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.276408534320309762e+00,1.202320212751794459e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.327836905381624355e+00,1.098188076177532890e+00,1.000000000000000000e+00
2.365123924155923429e+00,1.645350635313808763e+00,1.000000000000000000e+00
2.279705204051013734e+00,1.382555814900537694e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.452951087710220524e+00,1.758823360933838398e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.348460298329122509e+00,1.751046453895246602e+00,1.000000000000000000e+00
2.270603976171964966e+00,1.744497930077288039e+00,1.000000000000000000e+00
2.196688616143874118e+00,1.091593664212708870e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.304524853620762759e+00,1.048647888681047968e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.266681406965764811e+00,1.736349690982283533e+00,1.000000000000000000e+00
2.348810228079341478e+00,1.207234984370976427e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.316117219554314044e+00,1.728588588008487470e+00,1.000000000000000000e+00
2.290148063055657879e+00,1.024326489781369975e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.327836905381624355e+00,1.098188076177532890e+00,1.000000000000000000e+00
2.436910266672149383e+00,1.604257649238816086e+00,1.000000000000000000e+00
2.270603976171964966e+00,1.744497930077288039e+00,1.000000000000000000e+00
2.270603976171964966e+00,1.744497930077288039e+00,1.000000000000000000e+00
2.348810228079341478e+00,1.207234984370976427e+00,1.000000000000000000e+00
2.379164564395298331e+00,1.102508456465563169e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.270603976171964966e+00,1.744497930077288039e+00,1.000000000000000000e+00
2.292600242079366524e+00,1.323866577728332050e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.401772188298408661e+00,1.185599983761997267e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.397462381369069639e+00,1.073661449724316874e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.306481481835654268e+00,1.716234170208642329e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.270603976171964966e+00,1.744497930077288039e+00,1.000000000000000000e+00
2.348460298329122509e+00,1.751046453895246602e+00,1.000000000000000000e+00
2.304524853620762759e+00,1.048647888681047968e+00,1.000000000000000000e+00
2.279705204051013734e+00,1.382555814900537694e+00,1.000000000000000000e+00
2.208973586071777628e+00,1.216866841763290408e+00,1.000000000000000000e+00
2.332134704312323947e+00,1.444394959008967749e+00,1.000000000000000000e+00
2.251812368579133583e+00,1.655679733944574572e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.379164564395298331e+00,1.102508456465563169e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.332134704312323947e+00,1.444394959008967749e+00,1.000000000000000000e+00
2.316767661447879600e+00,1.790508984387587876e+00,1.000000000000000000e+00
2.222416929985906009e+00,1.445097629996304089e+00,1.000000000000000000e+00
2.246086789554675001e+00,1.332681998727814676e+00,1.000000000000000000e+00
2.335653312295077999e+00,1.797586459010009685e+00,1.000000000000000000e+00
2.266681406965764811e+00,1.736349690982283533e+00,1.000000000000000000e+00
2.365123924155923429e+00,1.645350635313808763e+00,1.000000000000000000e+00
2.476033839985596785e+00,1.881431058909771359e+00,1.000000000000000000e+00
2.279705204051013734e+00,1.382555814900537694e+00,1.000000000000000000e+00
2.365123924155923429e+00,1.645350635313808763e+00,1.000000000000000000e+00
2.270603976171964966e+00,1.744497930077288039e+00,1.000000000000000000e+00
