tm, m, likelihood
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.111833850590799422e+00,2.885564347588123191e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
3.105090468509625889e+00,2.936401775196840536e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.008699874381147055e+00,2.809640660828826242e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
2.670588322442246643e+00,2.385664722103979063e+00,1.000000000000000000e+00
2.854237485068757518e+00,2.593119276231799830e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.008699874381147055e+00,2.809640660828826242e+00,1.000000000000000000e+00
3.105090468509625889e+00,2.936401775196840536e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
2.854237485068757518e+00,2.593119276231799830e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
2.960784146795628402e+00,2.705417012902033846e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
2.854237485068757518e+00,2.593119276231799830e+00,1.000000000000000000e+00
3.008699874381147055e+00,2.809640660828826242e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
2.875364035185516531e+00,1.655892947639650892e+00,1.000000000000000000e+00
2.833567836419818242e+00,2.498534093321220340e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.105090468509625889e+00,2.936401775196840536e+00,1.000000000000000000e+00
2.958986279403970521e+00,2.109278513687466550e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
2.833567836419818242e+00,2.498534093321220340e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
2.854237485068757518e+00,2.593119276231799830e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
2.960784146795628402e+00,2.705417012902033846e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.008699874381147055e+00,2.809640660828826242e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
2.960784146795628402e+00,2.705417012902033846e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
3.111833850590799422e+00,2.885564347588123191e+00,1.000000000000000000e+00
3.071296970027069584e+00,2.617975683212434568e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
2.990804480623561190e+00,2.539096577075260264e+00,1.000000000000000000e+00
2.670588322442246643e+00,2.385664722103979063e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.008699874381147055e+00,2.809640660828826242e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
2.960784146795628402e+00,2.705417012902033846e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.105090468509625889e+00,2.936401775196840536e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.105090468509625889e+00,2.936401775196840536e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
3.031314360646616191e+00,2.769046983997113909e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.031314360646616191e+00,2.769046983997113909e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
2.646348203733436932e+00,1.789062179525889196e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
2.534977007195136967e+00,2.359620608058834890e+00,1.000000000000000000e+00
3.105090468509625889e+00,2.936401775196840536e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.020141783832418270e+00,2.875275964030207021e+00,1.000000000000000000e+00
2.854237485068757518e+00,2.593119276231799830e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.105090468509625889e+00,2.936401775196840536e+00,1.000000000000000000e+00
3.105090468509625889e+00,2.936401775196840536e+00,1.000000000000000000e+00
2.960784146795628402e+00,2.705417012902033846e+00,1.000000000000000000e+00
3.026620637608495645e+00,2.878208095104595188e+00,1.000000000000000000e+00
3.105090468509625889e+00,2.936401775196840536e+00,1.000000000000000000e+00
2.837306645668267624e+00,2.699206318477015198e+00,1.000000000000000000e+00
3.008699874381147055e+00,2.809640660828826242e+00,1.000000000000000000e+00
