tm, m, likelihood
2.186060761289526866e+00,1.756744148926975502e+00,1.000000000000000000e+00
2.173175874299959176e+00,1.369629730303949744e+00,1.000000000000000000e+00
2.183182316757362962e+00,1.897259571297475578e+00,1.000000000000000000e+00
2.149697920021610642e+00,1.659894553936476447e+00,1.000000000000000000e+00
2.155042185333094551e+00,1.820343347331873751e+00,1.000000000000000000e+00
2.157320792571169044e+00,1.880708992063570895e+00,1.000000000000000000e+00
2.155042185333094551e+00,1.820343347331873751e+00,1.000000000000000000e+00
2.172782755771983876e+00,1.498574636492914891e+00,1.000000000000000000e+00
2.155586866728600892e+00,1.050153863883339200e+00,1.000000000000000000e+00
2.162714408259256427e+00,1.885578541949570752e+00,1.000000000000000000e+00
2.165928850579704079e+00,1.214554766488307624e+00,1.000000000000000000e+00
2.186200959615737904e+00,1.769029955273166754e+00,1.000000000000000000e+00
2.149924058101676749e+00,1.423548963917389276e+00,1.000000000000000000e+00
2.179124331454957098e+00,1.846796250972131404e+00,1.000000000000000000e+00
2.170182638231902050e+00,1.507537753115635759e+00,1.000000000000000000e+00
2.150265457855705886e+00,1.672538744794369592e+00,1.000000000000000000e+00
2.161305956797348049e+00,1.106157284161383592e+00,1.000000000000000000e+00
2.156512041403936042e+00,1.718620517971150008e+00,1.000000000000000000e+00
2.157320792571169044e+00,1.880708992063570895e+00,1.000000000000000000e+00
2.185785981907601094e+00,1.331683361423031897e+00,1.000000000000000000e+00
2.179124331454957098e+00,1.846796250972131404e+00,1.000000000000000000e+00
2.157320792571169044e+00,1.880708992063570895e+00,1.000000000000000000e+00
2.153328578548155736e+00,1.645843662473167601e+00,1.000000000000000000e+00
2.183182316757362962e+00,1.897259571297475578e+00,1.000000000000000000e+00
2.171323403226268489e+00,1.804015667655360922e+00,1.000000000000000000e+00
2.185785981907601094e+00,1.331683361423031897e+00,1.000000000000000000e+00
2.185658084004487467e+00,1.475466880016859772e+00,1.000000000000000000e+00
2.186060761289526866e+00,1.756744148926975502e+00,1.000000000000000000e+00
2.162714408259256427e+00,1.885578541949570752e+00,1.000000000000000000e+00
2.155586866728600892e+00,1.050153863883339200e+00,1.000000000000000000e+00
2.169306388441210487e+00,1.101481437358472926e+00,1.000000000000000000e+00
2.162714408259256427e+00,1.885578541949570752e+00,1.000000000000000000e+00
2.162714408259256427e+00,1.885578541949570752e+00,1.000000000000000000e+00
2.173175874299959176e+00,1.369629730303949744e+00,1.000000000000000000e+00
2.183182316757362962e+00,1.897259571297475578e+00,1.000000000000000000e+00
2.171395008385351488e+00,1.603042494679390195e+00,1.000000000000000000e+00
2.179498891460271981e+00,1.669330670447065623e+00,1.000000000000000000e+00
2.170418884457441688e+00,1.818074147003131191e+00,1.000000000000000000e+00
2.157320792571169044e+00,1.880708992063570895e+00,1.000000000000000000e+00
2.162714408259256427e+00,1.885578541949570752e+00,1.000000000000000000e+00
2.184299999237666157e+00,1.638225690742914242e+00,1.000000000000000000e+00
