tm, m, likelihood
2.216515201484831721e+00,1.809682975782929804e+00,1.000000000000000000e+00
2.181374161372495291e+00,1.436880557863656982e+00,1.000000000000000000e+00
2.192770299082352103e+00,1.124723696259585459e+00,1.000000000000000000e+00
2.162528340761724177e+00,1.247136028543553099e+00,1.000000000000000000e+00
2.240378386366363550e+00,1.265844090061450711e+00,1.000000000000000000e+00
2.177403463433274844e+00,1.771877774880218581e+00,1.000000000000000000e+00
2.177403463433274844e+00,1.771877774880218581e+00,1.000000000000000000e+00
2.177403463433274844e+00,1.771877774880218581e+00,1.000000000000000000e+00
2.177032982949195894e+00,1.733480068824512443e+00,1.000000000000000000e+00
2.198315562475264162e+00,1.548218285053530652e+00,1.000000000000000000e+00
2.186764667487626213e+00,1.421526169870325207e+00,1.000000000000000000e+00
2.159030034685275101e+00,1.571815709765200353e+00,1.000000000000000000e+00
2.282365155412168001e+00,1.842845508043410963e+00,1.000000000000000000e+00
2.143812625739327959e+00,1.721811327010140724e+00,1.000000000000000000e+00
2.171384817035812986e+00,1.650781372293131266e+00,1.000000000000000000e+00
2.177403463433274844e+00,1.771877774880218581e+00,1.000000000000000000e+00
2.216515201484831721e+00,1.809682975782929804e+00,1.000000000000000000e+00
2.222427175011718603e+00,1.747056280555042473e+00,1.000000000000000000e+00
2.203318204868156105e+00,1.661114560382182637e+00,1.000000000000000000e+00
2.192770299082352103e+00,1.124723696259585459e+00,1.000000000000000000e+00
2.216515201484831721e+00,1.809682975782929804e+00,1.000000000000000000e+00
2.177403463433274844e+00,1.771877774880218581e+00,1.000000000000000000e+00
2.222427175011718603e+00,1.747056280555042473e+00,1.000000000000000000e+00
2.169246441472146625e+00,1.642574078295498952e+00,1.000000000000000000e+00
2.203318204868156105e+00,1.661114560382182637e+00,1.000000000000000000e+00
2.167684404996459424e+00,1.621339818942482358e+00,1.000000000000000000e+00
2.216515201484831721e+00,1.809682975782929804e+00,1.000000000000000000e+00
2.169246441472146625e+00,1.642574078295498952e+00,1.000000000000000000e+00
2.216515201484831721e+00,1.809682975782929804e+00,1.000000000000000000e+00
2.177403463433274844e+00,1.771877774880218581e+00,1.000000000000000000e+00
2.253793886197254182e+00,1.367690423897761853e+00,1.000000000000000000e+00
2.191237797405424459e+00,1.423438363522736783e+00,1.000000000000000000e+00
2.216515201484831721e+00,1.809682975782929804e+00,1.000000000000000000e+00
2.224349522091223275e+00,1.304978019361930253e+00,1.000000000000000000e+00
2.143812625739327959e+00,1.721811327010140724e+00,1.000000000000000000e+00
