tm, m, likelihood
1.841446780106103409e+00,1.275762880224501794e+00,1.000000000000000000e+00
1.956094298594028169e+00,1.159670684917536443e+00,1.000000000000000000e+00
2.094438118632490298e+00,1.433343217416264581e+00,1.000000000000000000e+00
1.949798080035696879e+00,1.358824393087089133e+00,1.000000000000000000e+00
1.926834228690836870e+00,1.075951297118134198e+00,1.000000000000000000e+00
1.975868026357429308e+00,1.106822333379100076e+00,1.000000000000000000e+00
1.956094298594028169e+00,1.159670684917536443e+00,1.000000000000000000e+00
2.115865106502448967e+00,1.386755432606273652e+00,1.000000000000000000e+00
2.035723205944156344e+00,1.244529345527877195e+00,1.000000000000000000e+00
1.860462047292850141e+00,1.231799867419427263e+00,1.000000000000000000e+00
1.879119331829875339e+00,1.153404190630201054e+00,1.000000000000000000e+00
1.781814952400825991e+00,1.213581632265358090e+00,1.000000000000000000e+00
2.118503395291055913e+00,1.500352724067022914e+00,1.000000000000000000e+00
1.841446780106103409e+00,1.275762880224501794e+00,1.000000000000000000e+00
2.068644826024005123e+00,1.069640884085801158e+00,1.000000000000000000e+00
2.118503395291055913e+00,1.500352724067022914e+00,1.000000000000000000e+00
2.074844136702525876e+00,1.364985154841440007e+00,1.000000000000000000e+00
2.042268196536217495e+00,1.256868675485818931e+00,1.000000000000000000e+00
2.068948216909576310e+00,1.163668264495112403e+00,1.000000000000000000e+00
2.074844136702525876e+00,1.364985154841440007e+00,1.000000000000000000e+00
1.906933977588323170e+00,1.223735214065564181e+00,1.000000000000000000e+00
1.854424915610449531e+00,1.088757818588870219e+00,1.000000000000000000e+00
2.092734575143164300e+00,1.108261497197862822e+00,1.000000000000000000e+00
1.841446780106103409e+00,1.275762880224501794e+00,1.000000000000000000e+00
1.941976000303778482e+00,1.212530623775116112e+00,1.000000000000000000e+00
1.906641219935881759e+00,1.071540114508710007e+00,1.000000000000000000e+00
2.074595818603767405e+00,1.353963958328035400e+00,1.000000000000000000e+00
1.949798080035696879e+00,1.358824393087089133e+00,1.000000000000000000e+00
2.098363680979678403e+00,1.437742235042249517e+00,1.000000000000000000e+00
1.901643930956733453e+00,1.305453839965051488e+00,1.000000000000000000e+00
1.930066167436157221e+00,1.319728109923992587e+00,1.000000000000000000e+00
1.975042626718213734e+00,1.132515277292377665e+00,1.000000000000000000e+00
1.934775002292731250e+00,1.230544396830219211e+00,1.000000000000000000e+00
2.111082060575631303e+00,1.099112721714783580e+00,1.000000000000000000e+00
2.111082060575631303e+00,1.099112721714783580e+00,1.000000000000000000e+00
2.061770978417195366e+00,1.139632259149935933e+00,1.000000000000000000e+00
1.879119331829875339e+00,1.153404190630201054e+00,1.000000000000000000e+00
1.901643930956733453e+00,1.305453839965051488e+00,1.000000000000000000e+00
2.074844136702525876e+00,1.364985154841440007e+00,1.000000000000000000e+00
1.981527384209939013e+00,1.249963493993600183e+00,1.000000000000000000e+00
2.223108803658508492e+00,1.384161899627665449e+00,1.000000000000000000e+00
2.068948216909576310e+00,1.163668264495112403e+00,1.000000000000000000e+00
1.975798316842334312e+00,1.224983644941303851e+00,1.000000000000000000e+00
1.901643930956733453e+00,1.305453839965051488e+00,1.000000000000000000e+00
1.949703754318408366e+00,1.237499420451861010e+00,1.000000000000000000e+00
1.975868026357429308e+00,1.106822333379100076e+00,1.000000000000000000e+00
2.079371749088114285e+00,1.289328723329382198e+00,1.000000000000000000e+00
2.074844136702525876e+00,1.364985154841440007e+00,1.000000000000000000e+00
1.949798080035696879e+00,1.358824393087089133e+00,1.000000000000000000e+00
1.824972624202761518e+00,1.239019775731077688e+00,1.000000000000000000e+00
1.853615641962131244e+00,1.172578052268123505e+00,1.000000000000000000e+00
2.205693052408238319e+00,1.309558736993930106e+00,1.000000000000000000e+00
1.949798080035696879e+00,1.358824393087089133e+00,1.000000000000000000e+00
2.067216322279795460e+00,1.044228206570471329e+00,1.000000000000000000e+00
1.841446780106103409e+00,1.275762880224501794e+00,1.000000000000000000e+00
2.068644826024005123e+00,1.069640884085801158e+00,1.000000000000000000e+00
1.901643930956733453e+00,1.305453839965051488e+00,1.000000000000000000e+00
1.728087067029372204e+00,1.071885585296486365e+00,1.000000000000000000e+00
2.099219673224163696e+00,1.306757294302236749e+00,1.000000000000000000e+00
1.879119331829875339e+00,1.153404190630201054e+00,1.000000000000000000e+00
1.824972624202761518e+00,1.239019775731077688e+00,1.000000000000000000e+00
2.118503395291055913e+00,1.500352724067022914e+00,1.000000000000000000e+00
1.934775002292731250e+00,1.230544396830219211e+00,1.000000000000000000e+00
1.906933977588323170e+00,1.223735214065564181e+00,1.000000000000000000e+00
2.118503395291055913e+00,1.500352724067022914e+00,1.000000000000000000e+00
1.975798316842334312e+00,1.224983644941303851e+00,1.000000000000000000e+00
2.152899341874965344e+00,1.189079339971362836e+00,1.000000000000000000e+00
1.999818683708524558e+00,1.341803758194491270e+00,1.000000000000000000e+00
1.841446780106103409e+00,1.275762880224501794e+00,1.000000000000000000e+00
2.090048439563513050e+00,1.359955213893924375e+00,1.000000000000000000e+00
1.934775002292731250e+00,1.230544396830219211e+00,1.000000000000000000e+00
2.118503395291055913e+00,1.500352724067022914e+00,1.000000000000000000e+00
1.949798080035696879e+00,1.358824393087089133e+00,1.000000000000000000e+00
2.089796634367487638e+00,1.192317955292158782e+00,1.000000000000000000e+00
1.841446780106103409e+00,1.275762880224501794e+00,1.000000000000000000e+00
1.781814952400825991e+00,1.213581632265358090e+00,1.000000000000000000e+00
1.989345912244416370e+00,1.042766326114466846e+00,1.000000000000000000e+00
2.067216322279795460e+00,1.044228206570471329e+00,1.000000000000000000e+00
1.864428441248470181e+00,1.151998925270617535e+00,1.000000000000000000e+00
1.860462047292850141e+00,1.231799867419427263e+00,1.000000000000000000e+00
2.046850346400421294e+00,1.245897883134669870e+00,1.000000000000000000e+00
2.061770978417195366e+00,1.139632259149935933e+00,1.000000000000000000e+00
1.926834228690836870e+00,1.075951297118134198e+00,1.000000000000000000e+00
2.074595818603767405e+00,1.353963958328035400e+00,1.000000000000000000e+00
1.841446780106103409e+00,1.275762880224501794e+00,1.000000000000000000e+00
2.098363680979678403e+00,1.437742235042249517e+00,1.000000000000000000e+00
1.999818683708524558e+00,1.341803758194491270e+00,1.000000000000000000e+00
1.901643930956733453e+00,1.305453839965051488e+00,1.000000000000000000e+00
2.090048439563513050e+00,1.359955213893924375e+00,1.000000000000000000e+00
2.035723205944156344e+00,1.244529345527877195e+00,1.000000000000000000e+00
