tm, m, likelihood
1.614271429257743584e+00,1.352305121959756606e+00,1.000000000000000000e+00
1.615540909666358438e+00,1.245168075893624549e+00,1.000000000000000000e+00
1.611188074070989629e+00,1.244381664242543595e+00,1.000000000000000000e+00
1.612296262354127041e+00,1.296008810374240650e+00,1.000000000000000000e+00
1.621929952607521708e+00,1.006630054993336687e+00,1.000000000000000000e+00
1.617945330694542827e+00,1.233004125168074783e+00,1.000000000000000000e+00
1.622483545735090349e+00,1.348612313240476146e+00,1.000000000000000000e+00
1.612296262354127041e+00,1.296008810374240650e+00,1.000000000000000000e+00
1.622274726871470341e+00,1.338722552210448891e+00,1.000000000000000000e+00
1.622565187554813493e+00,1.195756213614197261e+00,1.000000000000000000e+00
1.622274726871470341e+00,1.338722552210448891e+00,1.000000000000000000e+00
1.622483545735090349e+00,1.348612313240476146e+00,1.000000000000000000e+00
1.613307542652196114e+00,1.085888960331023334e+00,1.000000000000000000e+00
1.622483545735090349e+00,1.348612313240476146e+00,1.000000000000000000e+00
1.622297280626819660e+00,1.321082145521236484e+00,1.000000000000000000e+00
1.614695589149756305e+00,1.236643062782571967e+00,1.000000000000000000e+00
1.619754975296691546e+00,1.115464547023245601e+00,1.000000000000000000e+00
1.614755308296448311e+00,1.221926332305227625e+00,1.000000000000000000e+00
1.615206142341846451e+00,1.315654236381828213e+00,1.000000000000000000e+00
1.616953681688883426e+00,1.342476758376169643e+00,1.000000000000000000e+00
1.619445002118253374e+00,1.208804624644958636e+00,1.000000000000000000e+00
1.614271429257743584e+00,1.352305121959756606e+00,1.000000000000000000e+00
1.614271429257743584e+00,1.352305121959756606e+00,1.000000000000000000e+00
1.617945330694542827e+00,1.233004125168074783e+00,1.000000000000000000e+00
1.614271429257743584e+00,1.352305121959756606e+00,1.000000000000000000e+00
1.620896363641282534e+00,1.159748569682770514e+00,1.000000000000000000e+00
1.611845588928662476e+00,1.216118921513641649e+00,1.000000000000000000e+00
1.611188074070989629e+00,1.244381664242543595e+00,1.000000000000000000e+00
1.619754975296691546e+00,1.115464547023245601e+00,1.000000000000000000e+00
1.615540909666358438e+00,1.245168075893624549e+00,1.000000000000000000e+00
1.631611981711180936e+00,1.288616275368442476e+00,1.000000000000000000e+00
1.613396705384138041e+00,1.243205607371942634e+00,1.000000000000000000e+00
1.618383506184754461e+00,1.345269445177938561e+00,1.000000000000000000e+00
1.614271429257743584e+00,1.352305121959756606e+00,1.000000000000000000e+00
