m,likelihood
1.333269939801412507e+00,1.000000000000000000e+00
1.331619422023196497e+00,1.000000000000000000e+00
1.332430688576631939e+00,1.000000000000000000e+00
1.334571913042517100e+00,1.000000000000000000e+00
1.333236182152615523e+00,1.000000000000000000e+00
1.330799212744119941e+00,1.000000000000000000e+00
1.332741317910983714e+00,1.000000000000000000e+00
1.334757611251102594e+00,1.000000000000000000e+00
1.333718745042453691e+00,1.000000000000000000e+00
1.333841207871064194e+00,1.000000000000000000e+00
1.331962355406216991e+00,1.000000000000000000e+00
1.333293663287519637e+00,1.000000000000000000e+00
1.335167061393949250e+00,1.000000000000000000e+00
1.334086069782655759e+00,1.000000000000000000e+00
1.333012813632991289e+00,1.000000000000000000e+00
1.333820546250179762e+00,1.000000000000000000e+00
1.333834172446539457e+00,1.000000000000000000e+00
1.331630022118674317e+00,1.000000000000000000e+00
1.335938688113946338e+00,1.000000000000000000e+00
1.333312043005408620e+00,1.000000000000000000e+00
1.333659836026633405e+00,1.000000000000000000e+00
1.333964758652944393e+00,1.000000000000000000e+00
1.332792315057079291e+00,1.000000000000000000e+00
1.333163174816249796e+00,1.000000000000000000e+00
1.332090804692547037e+00,1.000000000000000000e+00
1.330983785102785921e+00,1.000000000000000000e+00
1.333060696750639762e+00,1.000000000000000000e+00
1.332696689090913988e+00,1.000000000000000000e+00
1.333076981439610842e+00,1.000000000000000000e+00
1.333913827151609555e+00,1.000000000000000000e+00
1.333275811713973136e+00,1.000000000000000000e+00
1.333323723225236401e+00,1.000000000000000000e+00
1.332410328810685884e+00,1.000000000000000000e+00
1.333686261540416140e+00,1.000000000000000000e+00
1.334305195850407300e+00,1.000000000000000000e+00
1.331764518310679879e+00,1.000000000000000000e+00
1.333777588137210479e+00,1.000000000000000000e+00
1.335073252124544751e+00,1.000000000000000000e+00
1.333013219815103900e+00,1.000000000000000000e+00
1.333306247198827732e+00,1.000000000000000000e+00
1.333253797269695395e+00,1.000000000000000000e+00
1.333603158099029073e+00,1.000000000000000000e+00
1.333767681412579842e+00,1.000000000000000000e+00
1.332857838064186451e+00,1.000000000000000000e+00
1.332322259013373200e+00,1.000000000000000000e+00
1.332390947263350833e+00,1.000000000000000000e+00
1.331106358109984233e+00,1.000000000000000000e+00
1.334330467185622648e+00,1.000000000000000000e+00
1.332703475227242640e+00,1.000000000000000000e+00
1.334337804484704293e+00,1.000000000000000000e+00
1.333337677446422731e+00,1.000000000000000000e+00
1.333313504364618707e+00,1.000000000000000000e+00
1.335314611493326531e+00,1.000000000000000000e+00
1.334451462483162265e+00,1.000000000000000000e+00
1.333409221950967671e+00,1.000000000000000000e+00
1.331358657801880563e+00,1.000000000000000000e+00
1.332781325261680472e+00,1.000000000000000000e+00
1.332314191626672750e+00,1.000000000000000000e+00
1.333487238248511231e+00,1.000000000000000000e+00
1.331929665761464543e+00,1.000000000000000000e+00
1.332126398355741648e+00,1.000000000000000000e+00
1.332473517957064368e+00,1.000000000000000000e+00
1.333997695125981320e+00,1.000000000000000000e+00
1.331305968848577104e+00,1.000000000000000000e+00
1.332599677526658200e+00,1.000000000000000000e+00
1.334664050997343088e+00,1.000000000000000000e+00
1.332482027790390822e+00,1.000000000000000000e+00
1.333215804086195222e+00,1.000000000000000000e+00
1.332333888329752414e+00,1.000000000000000000e+00
1.333210688538300825e+00,1.000000000000000000e+00
1.332691008182817605e+00,1.000000000000000000e+00
1.332669179216770639e+00,1.000000000000000000e+00
1.333800188082422400e+00,1.000000000000000000e+00
1.332191595281352781e+00,1.000000000000000000e+00
1.332797473503356755e+00,1.000000000000000000e+00
1.333344076741339590e+00,1.000000000000000000e+00
1.332486272783782733e+00,1.000000000000000000e+00
1.333963650435674220e+00,1.000000000000000000e+00
1.333905304333296904e+00,1.000000000000000000e+00
1.333941130627490423e+00,1.000000000000000000e+00
1.332922655548290258e+00,1.000000000000000000e+00
1.333959833997431232e+00,1.000000000000000000e+00
1.334623504168104713e+00,1.000000000000000000e+00
1.332788455936027461e+00,1.000000000000000000e+00
1.334723747759755108e+00,1.000000000000000000e+00
1.333927881463839116e+00,1.000000000000000000e+00
1.332318735039181856e+00,1.000000000000000000e+00
1.333664100379086337e+00,1.000000000000000000e+00
1.331737998611891349e+00,1.000000000000000000e+00
1.332754294334463019e+00,1.000000000000000000e+00
1.333457365150670704e+00,1.000000000000000000e+00
1.332984225489381114e+00,1.000000000000000000e+00
1.333141145299332475e+00,1.000000000000000000e+00
1.332393068475199005e+00,1.000000000000000000e+00
1.333036781513632585e+00,1.000000000000000000e+00
1.333632781771431075e+00,1.000000000000000000e+00
1.333775287202522808e+00,1.000000000000000000e+00
1.333257777474261330e+00,1.000000000000000000e+00
1.332548164591208062e+00,1.000000000000000000e+00
1.331725375812211620e+00,1.000000000000000000e+00
